	pH	OC	N	P	K	EK	ENa	ECa	EMg	Al	H	Elev	Slope	Aspect	GEO	VEG
1	3.45000005	126	133.5	5.76000023	108.5	0.44999999	0.09	0.36000001	0.60000002	6.05999994	1.21000004	1240	20	145	1	1
2	3.54999995	165	184.5	6.05000019	113	0.5	0.08	0.3899	0.60000002	5.36000013	0.80000001	1205	35	145	1	1
3	3.4000001	172	129.5	10.9399004	138	0.55000001	0.11	0.19	0.63999999	6.55999994	1.26999998	1190	20	120	1	1
4	3.20000005	162.5	133	7.11000013	154	0.61000001	0.11	0.44999999	0.77990001	7.53000021	1.92999995	1180	30	135	1	1
5	3.5999999	178.5	286.5	16.25	126	0.52990001	0.15000001	0.50999999	0.58990002	6.75	1.01999998	1170	20	125	2	2
6	3.1500001	80.5	177.5	4.23000002	115.5	0.44	0.06	0.44	0.51999998	6.55999994	1.41999996	1155	10	132.5	2	2
7	3.4000001	121.5	129	3.04999995	101.5	0.49000001	0.09	0.52990001	0.46000001	5.61000013	1.20000005	1140	10	155	3	2
8	3.20000005	134.5	94	4.92999983	120.5	0.58990002	0.09	0.55000001	0.63999999	7.0999999	1.76999998	1130	5	155	3	2
9	3.29999995	129	139	11.92000008	143.5	0.54000002	0.07	0.81	0.56	5.32999992	1.12	990	5	80	2	2
10	3.5	98.5	178	4.21990013	101.5	0.41999999	0.06	0.63	0.54000002	5.96990013	0.81	970	2	60	2	2
11	3.3499999	87	138	3.52999997	84.5	0.37	0.05	0.2	0.36000001	5.92000008	1.00999999	980	2	60	2	2
12	3.6500001	147.5	159.5	9.6899004	102.5	0.41	0.09	0.61000001	0.47	5.07999992	0.75999999	970	2	60	2	2
13	3.8499999	54	122	6.21990013	52.5	0.22	0.05	0.23	0.34	7.23000002	0.79000002	890	10	125	3	3
14	3.95000005	80	149	6.5999999	88.5	0.38	0.06	0.02	0.43000001	10.23999977	1.36000001	880	10	125	3	3
15	3.79999995	89	182.5	9.64000034	93.5	0.38	0.06	0.09	0.41	9.14000034	1.21000004	880	5	165	3	3
16	3.6500001	99	208.5	8.56999969	70	0.23999999	0.11	0.1	0.43000001	9.6899004	1.39999998	870	5	120	3	3
17	5.44999981	146.5	275	13.02000046	150.5	0.58990002	0.06	28.36000061	6.53000021	0.09	0.02	630	3	135	1	4
18	4.69999981	53	145	7.80000019	68.5	0.31	0.04	8.47990036	2.8900001	0.51999998	0.09	610	5	135	1	4
19	4.30000019	82	282.5	14.52000046	136.5	0.51999998	0.05	4.19999981	2.55999994	3.25999999	0.44999999	580	10	135	1	4
20	4.1500001	60	165	11.77000046	62	0.25999999	0.07	2.06999993	0.94999999	3.0999999	0.46000001	550	15	135	1	4
