	Acerkawa	Acerserr	Adinform	Ardisieb	Beileryt	Cametenu	Castcarl	Cinncamp	Cinnsuba	Cleyjapo	Cratform	Quersess	Querglau	Querlong	Dapholdh	Denddent	Diosmorr	Elaejapo	Engeroxb	Euonlaxi	Euryjapo	Fatspoly	Fraxgrif	Glocrubr	Gordaxil	Heliform	Ilexform	Ilexgosh	Ilexloni	Ilexpube	Ilexrotu	Illiarbo	Illianis	Iteaparv	Lagesubc	Liguliuk	Lindcomm	Litsacum	Litsmush	Melirhoi	Melisqua	Michcomp	Myrirubr	Myrssegu	Neolacic	Osmamats	Lithharl	Lithkawa	Pasatern	Perraris	Machkusa	Machthun	Pournota	Pruncamp	Prunphae	Pyreshin	Randcoch	Rhodlept	Sauroldh	Scheocto	Cyatlepi	Styrsube	Sympcoch	Sympglau	Sympluci	Sympcaud	Sympwiks	Syzybuxi	Terngymn	Tricdubi	Trocaral	Turpform	Oreopedu	Wendform	Antidens	Blascoch	Callrand	Euryacum	Eurycren	Hydrangu
1	5.9000001	0	0	0	0	0.30000001	0	0	0	1.10000002	0	2.9000001	0	8.80000019	0.30000001	0.60000002	0	0	0	0	0	1.89999998	0	0	0	0	0	0.69999999	0	0	0	0	0.30000001	2.5999999	0	0	0	14	0.30000001	0	0	0	0	0	0.89999998	0.60000002	0	0	0	0	0	31	0	0	8.30000019	0	0	0	0	0	0	0	1.5	0	0.69999999	0	0.30000001	0	0.5	0	7.9000001	0	0	0	0	0.30000001	0.60000002	0	1.20000005	3.9000001
2	0.30000001	0	0.80000001	0	0	0.60000002	0	0	0	0	0	2.9000001	0	2	0.89999998	0.69999999	0.30000001	5.9000001	0	0	0	1.20000005	0	0	0	0	0	0.60000002	1.20000005	0	0.30000001	0	0	9.10000038	0	0	0	9.19999981	0	0	0	0	0	0	6.19999981	1.29999995	0	0	0	0	0	31	0.30000001	1.29999995	6.0999999	0	0	0	0	0	0	0	1	0	0	0	0	0	0.40000001	0	0	0	0	0	0	0	0	0	0	13
3	4	0.5	1.60000002	0	0	0	0	0	0	0	0	5.80000019	0	13	0	2.79999995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.39999998	0	8.89999962	0	0	0	7.19999981	0	0	0	0	0.30000001	0	1.60000002	0	0	0	0	0	0	25	0.2	1.29999995	8	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.60000002	13
4	1.89999998	0	0	0	0	0.60000002	0	0	0	2.20000005	0	20	0	7.69999981	0.5	0	0	0.2	0	0	0	0.40000001	0	0	0	0	0	0	0	0	3.20000005	0	2.4000001	3.5999999	0	1.29999995	0	10	3.4000001	0	0	0.5	0	0	3.70000005	0.5	0	0	0	0	0	23	0.40000001	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	1.60000002	0	0	0	0	0.40000001	0	0	1	3.70000005
5	0	0	3.70000005	0	0	0	0	0	1.20000005	0.5	0	16	0	12	0.60000002	0.40000001	11	1.20000005	0	0	0	0.1	0	0	0	0	0.40000001	0.2	0	0	3	10	0	0.5	0	1.20000005	0	1.10000002	0	0	0	0.1	0.80000001	0.69999999	0.89999998	1	0	0	0	0	0	9	1.10000002	0	1.79999995	3.5	0	0.80000001	0	0	0	0	0.30000001	0.1	0.30000001	3.20000005	0.40000001	3.70000005	1	0.30000001	0	0	0	0	0.2	0	1.29999995	2.5999999	0.1	0
6	0	1.89999998	2.29999995	0	0	0	0	0	1	0	0	4.9000001	0	23	1.5	1.89999998	4.5	1.20000005	0	0	0	0	0	0	0	0.69999999	1.20000005	0	0	0	0.30000001	12	0	1.79999995	0	0.80000001	0	2.0999999	0	0	0.2	0.2	0	0.5	0	0	0	0	0	0	0	11	0	0	1.60000002	2.9000001	0	0	0	0	0	0	0	0	1.10000002	0.89999998	0	4	1.10000002	0.30000001	9.19999981	0	0	0	0	0	0	0.30000001	0.69999999	1.39999998
7	0.30000001	0	3.70000005	0	0	0.1	0	0	0.40000001	0.1	0	8.69999981	0	17	1.39999998	0.80000001	9.89999962	0.69999999	0	0	0	0.30000001	0	0	0	0	0.80000001	0.40000001	0.69999999	0	1.70000005	13	0	1.20000005	0	0.60000002	0	1.60000002	0	0	4.5	0.80000001	0	0.60000002	0	0.30000001	0	0	0	0	0	7.0999999	1.10000002	0	1.70000005	2.79999995	0	3.20000005	0	0	0	0	0	0	0.40000001	3.20000005	3.79999995	1.5	0.60000002	1.10000002	0.2	0	0	0	0	0	0	0.69999999	0.5	1
8	0.1	0	0.30000001	0	0	0.40000001	0.69999999	0	0	1.39999998	0	10	0	12	0.80000001	0.2	5.69999981	2.70000005	0	0	0	0	0	0	0	0	1.39999998	0	0	0	0.40000001	20	0	0.30000001	0	1.70000005	0	1.60000002	0	0	5	1.29999995	0	2.29999995	0.5	0.5	0	0	0	0	0	9.5	1.29999995	0	5	3.70000005	0	0.30000001	0	0	0	0	0	0	0.60000002	1	0.30000001	2.79999995	0.30000001	1.60000002	0	0	0	0	0.60000002	0	0.69999999	0.69999999	1.10000002	0
9	0	0	1.10000002	0	0	0	4	0	0.80000001	0.5	0	11	0	10	1.60000002	0	4.5999999	0.2	0	0.2	0	0	0	0	0	0	1.5	0	0	0	0.89999998	14	0	4.19999981	0	0.40000001	0	6.4000001	0	0	3.79999995	4.19999981	0.40000001	0.89999998	0	0	4.5999999	0	0	0	0	12	0	0.5	1.29999995	1.29999995	0	0	0	0	0	0	0.2	0.40000001	1.20000005	0.69999999	0	1.79999995	0	0.89999998	0	0.2	0	0	0	0	0	0.89999998	0	0
10	0	0	1.60000002	0	0	0	5.19999981	0	0.30000001	1.29999995	0	12	0	10	1.79999995	0	5.5999999	0	0	0.30000001	0	0	0	0	0	0	0	0	0.30000001	0	0	10	0	6.9000001	0	0	0	4.5999999	0	0	1.10000002	2.70000005	0	0.5	0	0	5.4000001	0	0	0	0	17	0	1.89999998	2.0999999	2.9000001	0	0	0	0	0	0	0.30000001	0.30000001	1.29999995	0	0	0	0.5	0.5	0	0	0	0	0	0	0	2.20000005	0	0
11	0	0	2.70000005	0	0	0	5.9000001	0.69999999	0	1.39999998	0	3	0	10	0	0	7.69999981	0	0	0.2	0	0	0	0	0	0	0.89999998	0	0.2	0	0.30000001	15	0	5.19999981	0	0	0	4.80000019	0	0	3.29999995	3.9000001	0	1	0	0	0	0	0	0	0	13	0	0	1	4.5	0	0	0	0.30000001	0	0	0	0.30000001	2.5999999	0	0	1.79999995	0	0.30000001	0	0	0	0	1.89999998	0	0	3.5999999	0	0
12	0	0	3	0	0	0	3.4000001	0	0.89999998	0	0	7	0	13	0.89999998	0.1	6.5	0	0	0.30000001	0	0.1	0	0	0.1	0.5	1.39999998	0	0.2	0.5	0.80000001	12	0	3.5	0	0.1	0	0.89999998	0	0	8.5	5.69999981	1.79999995	2.0999999	0	0.1	1	0	0	0	0	9	0	1.60000002	0.5	4.19999981	0	0	0	0.69999999	0	0	0	0.30000001	2.4000001	0.5	0	2.20000005	0.40000001	0.5	0	0.40000001	0	0	0.2	0	0.1	1.5	0.1	0
13	0	1.10000002	4.0999999	0	0	0	8.5	5.9000001	0	1.39999998	0	0	0	5.0999999	0	0	7.69999981	1	5.5999999	0	0	0	2.20000005	0	0.5	0	1.39999998	0.40000001	0	0.2	0.5	11	0	4.4000001	0	0	0	0.30000001	0	0.60000002	0.30000001	2.4000001	0	2.4000001	0	0	2.5	0	0	0	0	2.0999999	0	0	0	3.29999995	2.5999999	0	0	6.0999999	0	5.30000019	0	0	0	0.2	0	5.5999999	0.30000001	0	0	0	0	0	0	0.69999999	0	2.0999999	0	0
14	0	0	0.30000001	0	0	0	3.4000001	1.70000005	0	0.60000002	0	0	0.69999999	8.39999962	1.20000005	0	4.0999999	4.30000019	2	4.9000001	0	0	0	0	3.29999995	0	0.1	2.79999995	0	1.10000002	0	5.80000019	0	0	0	0	0	0.1	0	0	2.5	2	4.19999981	22	0	0.1	0.30000001	0	0	0	0	1.60000002	0	0.1	0	1.79999995	0.69999999	0.40000001	0	3.79999995	0	0	0.2	0	0	0.2	2	10	0.69999999	0.30000001	0	0.1	0	0.1	0	0.2	0	0.1	0.1	0
15	0.2	0	5.9000001	0	0	0	2.79999995	0.2	0.1	1.10000002	0	0	0	6.80000019	2	0.30000001	4.5	6.4000001	2	4.5	0	0	1	0	8.19999981	0	0	4.19999981	0	1	0	3.9000001	0	0.1	0	0	0	0.40000001	0	0	2.0999999	3.70000005	0	11	0	0	0.69999999	0	0.60000002	0	0	2.9000001	0	0	0	0.40000001	1.79999995	0.5	0	3.29999995	0	2.20000005	0.1	0	0.2	0.1	4	5.5	0.60000002	0.5	0	0	0	0	0.1	0	0	0.40000001	0	0
16	0	0	1.29999995	0.80000001	0	0	5.30000019	11	0.80000001	0.5	0	0	0	2.5999999	1.29999995	0	7.0999999	4.69999981	6.4000001	0.89999998	0	0	0	0	1	0	0.30000001	0.30000001	0	0	0	13	0	0	0	0	0	1	0	0	0.60000002	3.0999999	0	6.5999999	0	0	7.19999981	0	0	0	0	2.5999999	0	0	0	2.9000001	1.70000005	0	0	5.30000019	0	0	2.29999995	0	0	0	1.79999995	2.0999999	0	0.30000001	0	0	0	0	0	0	0	1.5	0	0
17	0	11	0	17	0	0	0	0	0	1.20000005	1.79999995	0	0	0	0	0	0	0	0	0	0	0	0	1.60000002	0	0	1.39999998	0	0	0	0	0	0	3.70000005	9.39999962	0	3.5999999	0	0	2	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	2.0999999	8.39999962	0	0	0	0	0	0	0	0	0	0	0	5	7.30000019	0	0	0	0	0	0	0
18	0	15	0	7.9000001	0	0	0	0	0	3.0999999	0	0	2.20000005	0	0.40000001	0	0	0	0	0	0.69999999	0	0	1.5	0	7	0	0	0	0	0	0	0	0	5.5	0	0	0	0	0	0	0	0	0	0	0	7.0999999	0	1.39999998	2.5	4.5999999	0	0	0	0	0	0	0	2.20000005	13	7.19999981	0	0.40000001	0	0	0	0	0	0	0	0	8.30000019	1.70000005	0	0	3.70000005	0	0	0	0
19	0	2.5999999	0	1.89999998	4.0999999	0	0	0	0	1.60000002	0.40000001	0	0	0	0	0	0	0	0	0	1.89999998	0	0	1.10000002	0	3.79999995	0	0	0	0	0	0	0	0.40000001	0	0	0	0	0	0	0	0	1.79999995	0	0	0	0	0	9.89999962	0	23	0	0	0	0	0	0	0	3.20000005	10	5.80000019	0	0	0	0	0	0	0	0	0	0	7	4.5	0.40000001	0	15	0	0	0	0
20	0	5	0	11	0.40000001	0	9.60000038	0	0	1.20000005	0	0	0	5.69999981	1	0	0	0.40000001	3.79999995	0	0.5	0	0	1.5	0	2.0999999	0	0	0	0	0	3.29999995	0	0	0	0	2.0999999	0	0	2.29999995	0	0	0	0	0	0	0	2.5999999	0	0	12	0.5	0	0	0	0	0.40000001	0	1.10000002	3.9000001	5.30000019	0.69999999	0	1.10000002	0	0	0	0	0	1	0	8.69999981	1.10000002	2.9000001	0	2.4000001	0	0	0	0
