x	y	Al	B	Ca	Cu	Fe	K	Mg	Mn	P	Zn	N	N(min)	pH
10	10	700.183	1.290	2222.991	7.650	134.452	169.252	347.672	353.458	1.102	3.723	14.712	-1.206	4.654
10	30	767.635	0.991	1849.796	7.138	121.253	154.502	290.658	262.728	1.306	3.517	14.923	-1.982	4.558
10	50	908.544	0.631	1293.939	6.141	118.904	141.820	239.721	189.711	1.746	2.424	15.462	-2.444	4.313
10	70	963.023	0.545	1200.332	5.709	122.383	133.608	226.218	198.682	1.967	2.240	16.121	-1.675	4.168
10	90	944.634	0.604	1382.979	5.805	130.915	136.558	244.079	254.627	1.994	2.354	17.248	0.167	4.203
10	110	887.165	0.726	1658.742	6.163	140.339	147.536	276.613	333.619	1.904	2.240	18.712	2.255	4.331
10	130	848.281	0.809	1776.497	6.428	144.313	152.720	302.550	379.701	1.892	2.039	20.047	4.220	4.414
10	150	859.748	0.817	1698.828	6.453	141.052	144.421	319.720	354.927	2.110	2.425	21.044	6.325	4.401
10	170	870.878	0.834	1676.889	6.516	136.496	136.583	338.770	324.249	2.286	2.725	21.764	7.489	4.359
10	190	923.598	0.735	1520.822	6.595	138.589	121.957	303.240	338.994	2.248	2.554	21.401	5.726	4.266
10	210	990.634	0.604	1320.391	6.681	142.974	104.109	244.459	377.222	2.060	2.289	20.342	2.021	4.135
10	230	1039.008	0.544	1217.296	6.736	145.655	90.970	209.371	412.785	1.838	2.244	19.188	-0.957	4.030
10	250	1068.034	0.517	1133.798	6.614	146.711	84.078	198.549	425.630	1.594	2.247	17.941	-1.522	3.975
10	270	1076.508	0.496	1000.686	6.443	144.934	75.533	183.616	424.575	1.360	2.220	16.913	-0.451	3.929
10	290	1072.946	0.493	1104.620	6.313	142.744	80.346	192.156	434.329	1.398	2.209	16.962	0.971	3.997
10	310	1051.815	0.503	1318.086	6.185	138.414	89.678	205.397	439.561	1.584	2.165	17.690	3.471	4.118
10	330	1010.927	0.527	1473.123	6.161	135.115	93.895	213.748	419.495	1.941	2.086	18.498	8.182	4.208
10	350	964.229	0.629	1730.021	6.366	136.908	99.343	239.352	398.475	2.670	2.286	19.447	14.528	4.284
10	370	917.842	0.730	2165.820	6.511	135.588	102.278	262.076	363.055	3.356	2.583	20.119	19.863	4.327
10	390	925.552	0.533	1879.896	6.288	132.261	96.525	248.874	294.083	3.193	2.432	19.605	20.567	4.272
10	410	947.663	0.266	1361.476	5.853	126.429	85.830	219.425	217.370	2.551	2.065	18.466	18.235	4.159
10	430	928.517	0.201	1180.978	5.670	124.463	83.295	216.289	190.480	2.007	1.811	17.481	14.857	4.102
10	450	911.293	0.299	1333.060	6.083	136.697	88.020	218.418	235.411	1.533	2.153	16.538	10.184	4.147
10	470	885.690	0.393	1457.848	6.606	148.749	88.698	212.702	291.981	1.121	2.200	15.821	5.768	4.200
10	490	890.797	0.467	1567.735	7.130	156.846	96.442	229.095	338.299	0.963	2.369	15.515	2.761	4.231
30	10	690.250	1.328	2278.677	7.532	129.857	167.356	344.316	342.946	1.182	4.020	16.024	-3.004	4.662
30	30	750.670	1.007	1865.751	7.060	113.897	150.734	279.062	243.918	1.387	3.994	16.138	-3.857	4.577
30	50	935.942	0.530	1050.842	5.799	112.759	136.118	212.294	152.207	1.989	1.925	16.619	-4.263	4.265
30	70	985.523	0.462	989.667	5.393	116.883	125.930	195.295	167.701	2.210	1.820	17.118	-3.041	4.104
30	90	960.133	0.545	1276.744	5.515	126.730	131.969	216.879	226.235	2.218	2.187	18.271	-0.351	4.173
30	110	898.908	0.686	1690.113	5.837	136.580	148.856	250.062	308.238	2.082	2.086	19.793	2.729	4.349
30	130	853.368	0.789	1896.609	6.109	140.764	159.946	278.204	363.098	2.011	1.675	21.123	5.326	4.463
30	150	864.954	0.815	1725.976	6.188	137.546	150.841	310.397	336.289	2.262	2.441	22.135	7.743	4.433
30	170	858.981	0.895	1748.761	6.381	132.525	145.419	354.869	305.060	2.449	3.017	23.142	9.132	4.410
30	190	923.046	0.780	1535.021	6.538	137.431	126.727	308.992	333.705	2.365	2.683	22.611	6.314	4.335
30	210	1003.330	0.616	1250.575	6.656	143.791	104.006	234.293	381.437	2.141	2.187	21.361	1.163	4.214
30	230	1056.135	0.550	1106.809	6.757	147.085	88.329	194.020	423.731	1.907	2.013	20.207	-2.916	4.114
30	250	1086.788	0.558	1075.959	6.687	149.495	82.693	196.299	446.347	1.661	2.219	18.902	-3.720	4.086
30	270	1092.218	0.545	866.982	6.542	147.875	70.169	178.057	444.839	1.351	2.173	17.663	-2.646	4.017
