Site ID	Pt	Bp	Ab	Ll	Pb	Pc	Pm	Pg
1	0	0	0	0.091445086	0	0	0.908554914	0
2	0.827951376	0	0	0	0	0	0	0.172048624
3	0	0	0	0	0	0	1	0
4	0.858566556	0	0	0	0	0	0.033505664	0.10792778
5	0.730213127	0	0	0	0	0	0	0.269786873
6	0	0	0	0	0	0	0	1
7	0.430685434	0	0	0	0	0	0	0.569314566
8	0	0	0	0	0	0	1	0
9	0.096706813	0	0	0	0	0	0	0.903293187
10	0	0	0	0	0	0	1	0
11	0.211720689	0	0	0	0	0	0.626461659	0.161817652
12	0.154356103	0	0	0	0	0	0.592911149	0.252732747
13	0	0	0	0	0	0	1	0
14	0.358623825	0	0	0	0	0	0.066772513	0.574603662
15	0	0	0	0	0.132921586	0	0.235433256	0.631645158
16	0	0	0	0	0	0	0	1
17	0	0	0	0.236151998	0	0	0	0.763848002
18	0	0	0	0	0	0	0.062348628	0.937651372
19	0	0	0	0	0	0	1	0
20	0	0	0	0	0	0	1	0
21	0.227991991	0	0	0	0	0	0	0.772008009
22	0	0	0	0.466991596	0	0	0.533008404	0
23	0	0	0	0	0	0	0.235360813	0.764639187
24	0.588058038	0	0	0	0	0	0	0.411941962
25	0.32355647	0	0	0	0.29545986	0	0	0.380983669
26	0.292494872	0	0	0	0	0	0	0.707505128
27	0	0	0	0	0	0	1	0
28	0	0.315212105	0	0	0	0	0.684787895	0
29	0	0	0	0	0	0	1	0
30	0.788594121	0	0	0	0	0	0	0.211405879
31	0.026808928	0	0	0	0.10241675	0.275303868	0.595470454	0
32	0	0	0	0	0	0	1	0
33	0.164237595	0	0	0	0	0	0.573067497	0.262694908
34	0.557266993	0	0	0	0	0	0	0.442733007
35	0	0	0	0	0.575458252	0	0	0.424541748
36	0.867757894	0	0	0	0	0	0	0.132242106
37	0.106986797	0	0	0	0	0	0.893013203	0
38	0	0	0	0	0	0	1	0
39	0.427265965	0	0	0	0	0	0	0.572734035
40	0.632885933	0	0	0	0	0	0	0.367114067
41	0.352687381	0	0	0	0	0	0.055728121	0.591584498
42	0	0	0	0	0	0	1	0
43	0.98812375	0	0	0	0	0	0	0.01187625
44	0.874584761	0	0	0	0.06418262	0	0	0.061232619
45	0	0	0	0	0	0	1	0
46	0	0	0	0	0	0	0.777076101	0.222923899
47	0.473169734	0	0	0	0.074087842	0	0	0.452742424
48	0.660416404	0	0	0	0	0	0	0.339583596
49	0.653620453	0	0	0	0	0	0	0.346379547
50	0.581705655	0	0	0	0.130578124	0	0	0.28771622
51	0.795626778	0	0	0	0	0	0	0.204373222
52	0.980217345	0	0	0	0	0	0	0.019782655
53	0	0	0	0	0	0	0.109482707	0.890517293
54	0.684742555	0	0	0	0	0	0	0.315257445
