	AnePing	AtrUndu	AulPalu	BraGlar	BraMild	BraRivu	BryPseu	CalCord	CalGiga	CalStram	CalCusp	CamStel	ChiPoly	CirPili	CliDend	CraComm	CraFili	DicBonj	DreCoss	DreExan	EucVert	EurHian	FisAdia	HomNite	HypPrat	LopBide	MarPoly	PelEndi	PelEpip	PhiCalc	PhiFont	PlaAffi	PlaUndu	PolComm	RhySqua	RhyTriq	SphFalla	SphFlex	SphPalu	SphSubs	SphTere	SphWarn	ThuPhil
Baladi	2	0	0	0	0	0	5	0	0	0	3	7	0	0	0	7	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Bukovec	2	2	3	0	6	0	2	0	3	0	5	2	0	3	3	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	3	3	0	0	7	0	0	0	0	0	7	0	2
Cudrak	2	0	5	0	0	0	3	0	0	0	6	2	0	2	2	0	0	0	2	0	0	0	2	7	3	0	0	0	0	0	6	6	0	0	3	2	0	1	0	0	0	1	0
Dubcova	0	0	0	0	0	0	2	0	0	0	0	3	0	0	6	3	3	0	0	0	0	0	5	0	0	2	0	0	2	0	0	7	3	0	0	0	0	0	0	0	0	0	0
Grigovci	0	0	6	0	0	0	7	0	5	0	3	0	0	2	5	1	0	0	7	0	0	0	0	0	5	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0
Grun	0	0	0	0	0	0	6	0	0	0	6	5	0	0	0	7	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
HLplos	2	0	6	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	7	0	0
HLrosn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7	6	6	0	5	0	0
Hrncarky	0	0	0	0	0	2	6	0	0	0	6	2	0	0	0	8	3	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
HrubBrod	0	0	7	0	0	0	3	2	0	0	3	2	0	0	5	0	0	3	0	0	0	0	0	6	3	0	0	0	0	0	2	2	0	0	2	0	0	0	0	0	0	0	0
HuteDol	0	0	0	0	0	3	6	0	0	0	7	5	0	0	0	6	5	0	0	0	2	0	0	0	0	0	0	2	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0
ChmelLou	0	0	0	0	0	3	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ChmelStu	0	0	0	0	0	0	7	0	0	0	2	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0
Chmura	0	0	5	0	0	0	6	0	0	0	0	7	0	0	3	0	0	0	6	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jasenka	2	0	0	0	0	0	5	0	0	0	3	7	0	0	0	5	2	0	2	0	0	0	6	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0
Javoruvk	0	0	0	0	0	2	2	0	0	0	7	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
Kalabova	0	0	0	0	0	0	3	0	0	0	3	3	0	0	0	7	0	0	7	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Klubina	0	0	0	0	0	0	3	0	0	0	5	5	0	0	0	8	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Kralovec	0	0	0	0	0	0	5	0	0	0	5	7	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0
Krocil	0	0	5	0	0	0	6	0	3	0	5	3	0	0	5	0	0	0	6	0	0	0	0	0	5	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0
Lany	0	0	0	0	0	2	3	0	0	0	3	7	0	0	0	6	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0
Machala	3	0	0	0	0	0	6	0	0	0	3	3	0	0	0	6	2	0	0	0	0	0	2	8	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0
Machova	2	0	0	0	0	0	3	0	0	0	7	7	0	0	0	5	2	0	0	0	0	0	5	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0
Mechnac	2	0	0	0	0	0	3	0	0	0	7	3	2	0	3	6	0	0	0	0	0	0	2	5	0	0	0	0	2	2	0	7	0	0	2	2	0	0	0	0	0	0	0
Milonov	0	0	2	0	0	0	6	0	2	0	3	6	0	2	3	0	2	0	7	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	2	0	0	0	0	0	0	0	0
NizKel	2	0	2	0	0	0	2	0	0	0	6	5	0	0	3	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	6	0
Obidova	0	0	0	0	0	0	6	0	0	0	3	6	0	0	6	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Pisojov	0	0	6	0	0	0	3	0	0	0	2	0	0	0	7	0	0	3	0	0	0	0	0	6	3	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	2
PivoLou	0	0	0	0	0	0	6	0	0	0	7	0	0	0	3	6	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	2
Pivovari	0	0	5	0	0	0	0	2	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	6	0	3	7	0	0
Rajnoch	0	0	0	0	0	2	7	0	0	0	6	2	0	2	2	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Semetin	0	0	0	0	0	0	6	0	3	0	3	7	0	0	3	2	0	0	7	0	0	0	0	0	0	0	2	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0
Skanzen	0	0	0	0	0	2	2	0	0	0	3	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
Solan	0	0	0	2	0	0	5	0	0	0	7	5	0	2	0	5	2	0	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Spanie	0	0	0	0	0	0	3	0	0	0	3	7	0	0	0	5	3	0	7	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
StudVrch	0	0	0	0	0	0	3	0	0	0	3	6	0	0	0	7	0	0	0	0	0	0	3	6	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
