Meadow,AneuPing,AulaPalu,BrachRiv,BryumPse,CallCusp,CallGiga,CallStra,CampStel,CirrPili,ClimDend,CratoCom,CratoFil,DrepRevo,FissAdia,HomaNite,HypnPrat,PhilCalc,PhilFont,PlagElat,PlagUndu,PolyComm,RhytSqua,SclePuru,SphgCapi,SphgFall,SphgFlex,SphgTere,SphgPalu,SphgWarn,ThuiPhil
S1      ,0,0,0,6,7,0,0,0,0,3,6,0,0,3,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,2
S2      ,0,7,0,3,3,0,0,3,0,3,0,0,6,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,3,3
S3      ,0,0,0,3,3,0,0,3,0,0,7,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
S4      ,0,0,0,3,3,0,0,7,0,0,5,3,7,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
S5      ,0,0,0,7,7,0,0,5,0,2,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
S6      ,0,0,3,6,7,0,0,5,0,0,6,5,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0
S7      ,0,0,2,2,7,0,0,0,0,2,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
S8      ,0,0,0,3,5,0,0,5,0,0,8,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
S9      ,2,0,0,3,7,0,0,3,0,3,6,0,0,2,5,0,2,0,7,0,0,2,0,0,0,0,0,0,0,0
S10     ,0,0,0,0,8,0,0,2,0,0,0,6,0,0,2,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0
S11     ,0,0,2,5,7,0,0,5,2,0,5,2,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
S12     ,2,0,3,3,7,0,0,3,0,3,6,3,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0
S13     ,0,0,2,6,7,0,0,5,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
S14     ,0,0,3,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S15     ,2,0,7,0,5,0,0,0,0,0,7,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
S16     ,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S17     ,2,0,0,3,3,0,0,3,0,0,5,0,5,2,8,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
S18     ,0,0,0,3,3,0,0,6,0,0,7,0,0,3,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
S19     ,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0
S20     ,0,0,0,3,5,0,0,0,0,3,0,0,0,0,0,5,0,0,3,0,0,3,0,0,0,0,8,0,5,0
S21     ,0,5,0,6,0,0,0,7,0,3,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S22     ,0,0,0,6,3,3,0,7,0,3,2,0,7,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0
S23     ,0,0,0,6,3,0,0,6,0,6,1,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
S24     ,0,6,0,7,3,5,0,0,2,5,1,0,7,0,0,5,0,3,5,0,0,0,0,0,0,0,0,0,0,0
S25     ,2,3,6,2,5,3,0,2,3,3,0,0,0,0,5,3,0,3,3,0,0,7,0,0,0,0,7,0,0,2
S26     ,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0
S27     ,2,0,2,5,3,0,0,8,0,0,6,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
S28     ,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,7,2,6,0
S29     ,0,0,0,7,5,0,0,5,0,6,0,0,3,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,2
S30     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,0
S31     ,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S32     ,2,5,0,3,6,0,0,2,2,2,0,0,2,2,7,3,0,6,6,0,0,3,0,0,0,1,0,0,1,0
S33     ,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,7,0,5,0,0
S34     ,0,0,0,0,7,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0
S35     ,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,2,0,0
S36     ,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,3,0,0
S37     ,0,0,2,3,7,0,0,6,2,0,3,0,0,5,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0
S38     ,2,3,2,5,3,0,0,3,2,5,2,2,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0
S39     ,0,0,0,2,0,0,0,3,0,6,3,3,0,5,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0
S40     ,0,0,0,3,7,0,0,2,0,3,0,0,0,2,0,3,0,0,6,0,0,2,0,0,0,0,0,0,0,2
S41     ,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0
S42     ,2,6,0,3,7,2,5,3,0,6,0,0,2,0,3,0,0,2,2,0,0,0,0,5,2,2,3,3,2,2
S43     ,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,7,0,0,2,0,0
S44     ,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,7,2,0,5,0,0
S45     ,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,8,7,0,3,0,0
S46     ,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,6,0,0,6,0,0
S47     ,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,8,0,2,0,0
S48     ,0,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
S49     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,0,0,8,0,0
S50     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,0,0,9,0,0
S51     ,3,0,0,6,3,0,0,3,0,0,6,2,0,2,8,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0
S52     ,2,0,0,5,3,0,0,7,0,0,7,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
S53     ,0,0,2,6,6,0,0,2,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
S54     ,0,0,2,7,6,0,0,2,2,2,3,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
S55     ,0,5,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,7,0,0,0
S56     ,0,6,0,3,2,0,0,0,0,7,0,0,0,0,6,3,0,0,3,0,0,3,0,0,0,0,0,0,0,2
S57     ,2,0,0,5,3,0,0,7,0,0,5,2,2,6,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
S58     ,0,7,0,3,3,0,0,2,0,5,0,0,0,0,6,3,0,2,2,0,0,2,0,0,0,0,0,0,0,0
S59     ,2,0,0,3,7,0,0,7,0,0,5,2,0,5,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0
S60     ,0,0,2,3,3,0,0,7,0,0,6,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
S61     ,0,0,0,5,5,0,0,7,0,2,6,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
S62     ,0,5,0,6,5,3,0,3,0,5,0,0,6,0,0,5,0,6,3,0,0,0,0,0,0,0,0,0,0,0
S63     ,0,2,0,6,3,2,0,6,2,3,0,2,7,0,0,0,2,0,5,0,0,2,0,0,0,0,0,0,0,0
S64     ,2,6,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,7,0,0,0
S65     ,0,0,0,6,6,0,0,5,0,0,7,2,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
S66     ,0,0,0,7,2,0,0,0,0,0,6,6,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
S67     ,0,0,2,2,3,0,0,5,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
S68     ,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,0,3,0,8,0,0
S69     ,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0
S70     ,2,0,0,5,6,0,0,0,2,5,3,0,0,3,0,0,0,0,6,3,0,5,5,0,0,0,0,0,0,0
