Meadow	Ca      	Mg      	Fe      	K       	Na      	Si      	SO4     	PO4     	NO3     	NH3     	Cl      	Corg    	pH      	conduct 	slope   
1	7.607	0.691	0.969	0.262	0.786	2.946	0.281	0.00042	0.005	0.176	0.135	5.3	7.3	373	10
2	0.255	0.048	0.107	0.042	0.271	0.435	0.166	0.00063	0.002	0.046	0.045	2.6	6.2	145	2
3	5.297	0.363	0.067	0.048	0.311	0.245	0.572	0.00084	0.026	0.1	0.102	4.5	7.4	838	0
4	7.923	0.355	0.011	0.033	0.271	0.179	0.447	0.00084	0.003	0.141	0.104	3.1	7.3	644	15
5	7.097	0.445	0.809	0.127	0.134	1.689	0.53	0.00042	0.003	0.078	0.093	4.8	6.9	552	0
6	3.139	0.201	0.162	0.036	0.211	0.318	0.312	0.00011	0.002	0.085	0.113	9.4	6.8	466	2
7	2.662	0.218	0.837	0.05	0.441	0.745	0.385	0.00032	0.002	0.071	0.028	9	7.3	560	4
8	8.351	0.579	0.804	0.158	0.489	1.894	0.676	0.00084	0.058	0.098	0.11	10.1	7.3	434	3
9	6.423	0.16	0.854	0.107	0.425	0.465	0.302	0.00189	0.013	0.095	0.107	5	5.8	38	10
10	8.001	0.885	0.001	0.096	0.408	0.235	0.26	0.00063	0.005	0.141	0.124	2.9	8.5	409	7
11	8.059	0.858	0.019	0.063	0.307	0.305	0.073	0.00105	0.006	0.273	0.127	8.2	7.9	590	2
12	7.912	0.196	0.291	0.144	0.42	0.363	0.468	0.00084	0.026	0.09	0.135	6	7.4	503	0
13	6.875	0.555	0.873	0.065	0.468	1.038	1.373	0.00021	0.002	0.105	0.068	7.1	6.8	522	2
14	4.779	0.46	0.904	0.061	0.715	0.606	0.686	0.00053	0.003	0.108	0.034	8.8	6.9	580	0
15	7.972	0.349	0.855	0.066	0.144	0.803	0.322	0.00032	0.002	0.1	0.259	5	7.2	481	10
16	0.092	0.027	0.476	0.046	0.077	0.207	0.281	0.00105	0.029	0.283	0.003	1.4	8.6	456	2
17	3.546	0.426	0.174	0.048	0.173	0.276	0.073	0.00053	0.008	0.228	0.116	9	6.8	484	0
18	8.051	0.513	0.126	0.02	0.046	0.262	0.25	0.00042	0.005	0.26	0.11	5.5	8.1	484	1
19	0.126	0.047	0.571	0.026	0.06	0.204	0.114	0.00011	0.016	0.249	0.203	28.3	7.1	143	5
20	0.57	0.066	0.483	0.086	0.193	0.563	0.312	0.00011	0.002	0.036	0.087	7.3	5.4	58	2
21	1.642	0.13	0.422	0.039	0.26	0.182	0.031	0.00042	0.002	0.033	0.076	11.6	7.2	414	1
22	1.547	0.096	0.768	0.095	0.623	0.301	0.073	0.00011	0.002	0.107	0.133	26.7	7.2	300	1
23	1.715	0.194	2.703	0.066	0.266	0.502	0.052	0.00578	0.002	0.138	0.353	19.6	6.8	335	0
24	1.988	0.141	1.59	0.059	0.502	0.636	0.083	0.0021	0.002	0.06	0.149	14.2	7	344	0
25	1.366	0.141	1.185	0.021	0.119	0.446	0.052	0.00011	0.002	0.072	0.127	5.6	7	400	0
26	0.333	0.048	0.115	0.148	0.096	0.697	0.655	0.00578	0.045	0.244	0.321	24.5	5.5	53	1
27	2.625	0.561	0.131	0.194	0.486	1.621	1.04	0.00126	0.003	0.046	0.254	4.7	7.5	498	6
28	0.682	0.052	2.059	0.043	0.082	0.435	0.125	0.00021	0.013	0.301	0.197	9.2	5.8	55	3
29	1.953	0.144	0.363	0.114	0.284	0.435	0.094	0.00231	0.005	0.066	0.09	21.1	7.1	279	1
30	0.09	0.016	1.566	0.016	0.008	0.1	0.125	0.00063	0.002	0.103	0.13	18.7	6.5	102	3
31	0.396	0.039	2.981	0.03	0.05	0.316	0.27	0.00095	0.014	0.25	0.547	14.6	6.1	111	5
32	1.167	0.089	0.559	0.087	0.254	0.212	0.073	0.00053	0.005	0.087	0.169	14.6	6.8	310	5
33	0.167	0.024	0.032	0.037	0.072	0.323	0.187	0.00032	0.013	0.118	0.135	15.6	6.9	32	2
34	0.167	0.024	0.032	0.037	0.072	0.323	0.187	0.00032	0.013	0.118	0.135	8.5	6	75	3
35	0.165	0.02	0.158	0.127	0.054	0.101	0.114	0.00168	0.019	0.168	0.189	23.6	7.8	364	1
36	0.25	0.042	0.204	0.041	0.191	0.305	0.437	0.00693	0.043	0.359	0.305	18.9	6.7	328	1
37	2.362	0.171	0.352	0.032	0.345	0.401	0.395	0.00042	0.005	0.047	0.048	7	6.2	215	2
38	6.168	0.753	0.84	0.106	0.663	1.898	0.302	0.00042	0.005	0.215	0.093	4.5	7.1	533	2
39	2.05	0.305	0.814	0.212	1.931	1.111	0.489	0.00063	0.023	0.068	0.099	16	7.4	648	2
40	2.605	0.464	0.868	0.114	0.522	1.868	0.187	0.00053	0.002	0.087	0.09	13.8	6.5	96	2
41	1.131	0.08	1.026	0.053	0.286	1.368	0.27	0.00126	0.056	0.301	0.589	11	7.7	508	0
42	0.257	0.083	0.804	0.053	0.187	0.203	0.406	0.00011	0.01	0.115	0.245	7.7	6	60	4
