	type_of_food
recipe_0001	Cookies
recipe_0002	Cookies
recipe_0003	Cookies
recipe_0004	Cookies
recipe_0005	Cookies
recipe_0006	Cookies
recipe_0007	Cookies
recipe_0008	Cookies
recipe_0009	Cookies
recipe_0010	Cookies
recipe_0011	Cookies
recipe_0012	Cookies
recipe_0013	Cookies
recipe_0014	Cookies
recipe_0015	Cookies
recipe_0016	Cookies
recipe_0017	Cookies
recipe_0018	Cookies
recipe_0019	Cookies
recipe_0020	Cookies
recipe_0021	Cookies
recipe_0022	Cookies
recipe_0023	Cookies
recipe_0024	Cookies
recipe_0025	Cookies
recipe_0026	Cookies
recipe_0027	Cookies
recipe_0028	Cookies
recipe_0029	Cookies
recipe_0030	Cookies
recipe_0031	Cookies
recipe_0032	Cookies
recipe_0033	Cookies
recipe_0034	Cookies
recipe_0035	Cookies
recipe_0036	Cookies
recipe_0037	Cookies
recipe_0038	Cookies
recipe_0039	Cookies
recipe_0040	Cookies
recipe_0041	Cookies
recipe_0042	Cookies
recipe_0043	Cookies
recipe_0044	Cookies
recipe_0045	Cookies
recipe_0046	Cookies
recipe_0047	Cookies
recipe_0048	Cookies
recipe_0049	Cookies
recipe_0050	Cookies
recipe_0051	Cookies
recipe_0052	Cookies
recipe_0053	Cookies
recipe_0054	Cookies
recipe_0055	Cookies
recipe_0056	Cookies
recipe_0057	Cookies
recipe_0058	Cookies
recipe_0059	Cookies
recipe_0060	Cookies
recipe_0061	Cookies
recipe_0062	Cookies
recipe_0063	Cookies
recipe_0064	Cookies
recipe_0065	Cookies
recipe_0066	Cookies
recipe_0067	Cookies
recipe_0068	Cookies
recipe_0069	Cookies
recipe_0070	Cookies
recipe_0071	Cookies
recipe_0072	Cookies
recipe_0073	Cookies
recipe_0074	Cookies
recipe_0075	Cookies
recipe_0076	Cookies
recipe_0077	Cookies
recipe_0078	Cookies
recipe_0079	Cookies
recipe_0080	Cookies
recipe_0081	Cookies
recipe_0082	Cookies
recipe_0083	Cookies
recipe_0084	Cookies
recipe_0085	Cookies
recipe_0086	Cookies
recipe_0087	Cookies
recipe_0088	Cookies
recipe_0089	Cookies
recipe_0090	Cookies
recipe_0091	Cookies
recipe_0092	Cookies
recipe_0093	Cookies
recipe_0094	Cookies
recipe_0095	Cookies
recipe_0096	Cookies
recipe_0097	Cookies
recipe_0098	Cookies
recipe_0099	Cookies
recipe_0100	Cookies
recipe_0101	Cookies
recipe_0102	Cookies
recipe_0103	Cookies
recipe_0104	Cookies
recipe_0105	Cookies
recipe_0106	Cookies
recipe_0107	Cookies
recipe_0108	Cookies
recipe_0109	Cookies
recipe_0110	Cookies
recipe_0111	Cookies
recipe_0112	Cookies
recipe_0113	Cookies
recipe_0114	Cookies
recipe_0115	Cookies
recipe_0116	Cookies
recipe_0117	Cookies
recipe_0118	Cookies
recipe_0119	Cookies
recipe_0120	Cookies
recipe_0121	Cookies
recipe_0122	Cookies
recipe_0123	Cookies
recipe_0124	Cookies
recipe_0125	Cookies
recipe_0126	Cookies
recipe_0127	Cookies
recipe_0128	Cookies
recipe_0129	Cookies
recipe_0130	Cookies
recipe_0131	Cookies
recipe_0132	Cookies
recipe_0133	Cookies
recipe_0134	Cookies
recipe_0135	Cookies
recipe_0136	Cookies
recipe_0137	Cookies
recipe_0138	Cookies
recipe_0139	Cookies
recipe_0140	Cookies
recipe_0141	Cookies
recipe_0142	Cookies
recipe_0143	Cookies
recipe_0144	Cookies
recipe_0145	Cookies
recipe_0146	Cookies
recipe_0147	Cookies
recipe_0148	Cookies
recipe_0149	Cookies
recipe_0150	Cookies
recipe_0151	Cookies
recipe_0152	Cookies
recipe_0153	Cookies
recipe_0154	Cookies
recipe_0155	Cookies
recipe_0156	Cookies
recipe_0157	Cookies
recipe_0158	Cookies
recipe_0159	Cookies
recipe_0160	Cookies
recipe_0161	Cookies
recipe_0162	Cookies
recipe_0163	Cookies
recipe_0164	Cookies
recipe_0165	Cookies
recipe_0166	Cookies
recipe_0167	Cookies
recipe_0168	Cookies
recipe_0169	Cookies
recipe_0170	Cookies
recipe_0171	Cookies
recipe_0172	Cookies
recipe_0173	Cookies
recipe_0174	Cookies
recipe_0175	Cookies
recipe_0176	Cookies
recipe_0177	Cookies
recipe_0178	Cookies
recipe_0179	Cookies
recipe_0180	Cookies
recipe_0181	Cookies
recipe_0182	Cookies
recipe_0183	Cookies
recipe_0184	Cookies
recipe_0185	Cookies
recipe_0186	Cookies
recipe_0187	Cookies
recipe_0188	Cookies
recipe_0189	Cookies
recipe_0190	Cookies
recipe_0191	Cookies
recipe_0192	Cookies
recipe_0193	Cookies
recipe_0194	Cookies
recipe_0195	Cookies
recipe_0196	Cookies
recipe_0197	Cookies
recipe_0198	Cookies
recipe_0199	Cookies
recipe_0200	Cookies
recipe_0201	Cookies
recipe_0202	Cookies
recipe_0203	Cookies
recipe_0204	Cookies
recipe_0205	Cookies
recipe_0206	Cookies
recipe_0207	Cookies
recipe_0208	Cookies
recipe_0209	Cookies
recipe_0210	Cookies
recipe_0211	Cookies
recipe_0212	Cookies
recipe_0213	Cookies
recipe_0214	Cookies
recipe_0215	Cookies
recipe_0216	Cookies
recipe_0217	Cookies
recipe_0218	Cookies
recipe_0219	Cookies
recipe_0220	Cookies
recipe_0221	Cookies
recipe_0222	Cookies
recipe_0223	Cookies
recipe_0224	Cookies
recipe_0225	Cookies
recipe_0226	Cookies
recipe_0227	Cookies
recipe_0228	Cookies
recipe_0229	Cookies
recipe_0230	Cookies
recipe_0231	Cookies
recipe_0232	Cookies
recipe_0233	Cookies
recipe_0234	Cookies
recipe_0235	Cookies
recipe_0236	Cookies
recipe_0237	Cookies
recipe_0238	Cookies
recipe_0239	Cookies
recipe_0240	Cookies
recipe_0241	Cookies
recipe_0242	Cookies
recipe_0243	Cookies
recipe_0244	Cookies
recipe_0245	Cookies
recipe_0246	Cookies
recipe_0247	Cookies
recipe_0248	Cookies
recipe_0249	Cookies
recipe_0250	Cookies
recipe_0251	Cookies
recipe_0252	Cookies
recipe_0253	Cookies
recipe_0254	Cookies
recipe_0255	Cookies
recipe_0256	Cookies
recipe_0257	Cookies
recipe_0258	Cookies
recipe_0259	Cookies
recipe_0260	Cookies
recipe_0261	Cookies
recipe_0262	Cookies
recipe_0263	Cookies
recipe_0264	Cookies
recipe_0265	Cookies
