"X"	"Y"
"708"	8	8
"716"	8	16
"724"	8	24
"732"	8	32
"740"	8	40
"748"	8	48
"756"	8	56
"764"	8	64
"772"	8	72
"780"	8	80
"788"	8	88
"796"	8	96
"1508"	16	8
"1516"	16	16
"1524"	16	24
"1532"	16	32
"1540"	16	40
"1548"	16	48
"1556"	16	56
"1564"	16	64
"1572"	16	72
"1580"	16	80
"1588"	16	88
"1596"	16	96
"2308"	24	8
"2316"	24	16
"2324"	24	24
"2332"	24	32
"2340"	24	40
"2348"	24	48
"2356"	24	56
"2364"	24	64
"2372"	24	72
"2380"	24	80
"2388"	24	88
"2396"	24	96
"3108"	32	8
"3116"	32	16
"3124"	32	24
"3132"	32	32
"3140"	32	40
"3148"	32	48
"3156"	32	56
"3164"	32	64
"3172"	32	72
"3180"	32	80
"3188"	32	88
"3196"	32	96
"3908"	40	8
"3916"	40	16
"3924"	40	24
"3932"	40	32
"3940"	40	40
"3948"	40	48
"3956"	40	56
"3964"	40	64
"3972"	40	72
"3980"	40	80
"3988"	40	88
"3996"	40	96
"4708"	48	8
"4716"	48	16
"4724"	48	24
"4732"	48	32
"4740"	48	40
"4748"	48	48
"4756"	48	56
"4764"	48	64
"4772"	48	72
"4780"	48	80
"4788"	48	88
"4796"	48	96
"5508"	56	8
"5516"	56	16
"5524"	56	24
"5532"	56	32
"5540"	56	40
"5548"	56	48
"5556"	56	56
"5564"	56	64
"5572"	56	72
"5580"	56	80
"5588"	56	88
"5596"	56	96
"6308"	64	8
"6316"	64	16
"6324"	64	24
"6332"	64	32
"6340"	64	40
"6348"	64	48
"6356"	64	56
"6364"	64	64
"6372"	64	72
"6380"	64	80
"6388"	64	88
"6396"	64	96
"7108"	72	8
"7116"	72	16
"7124"	72	24
"7132"	72	32
"7140"	72	40
"7148"	72	48
"7156"	72	56
"7164"	72	64
"7172"	72	72
"7180"	72	80
"7188"	72	88
"7196"	72	96
"7908"	80	8
"7916"	80	16
"7924"	80	24
"7932"	80	32
"7940"	80	40
"7948"	80	48
"7956"	80	56
"7964"	80	64
"7972"	80	72
"7980"	80	80
"7988"	80	88
"7996"	80	96
"8708"	88	8
"8716"	88	16
"8724"	88	24
"8732"	88	32
"8740"	88	40
"8748"	88	48
"8756"	88	56
"8764"	88	64
"8772"	88	72
"8780"	88	80
"8788"	88	88
"8796"	88	96
"9508"	96	8
"9516"	96	16
"9524"	96	24
"9532"	96	32
"9540"	96	40
"9548"	96	48
"9556"	96	56
"9564"	96	64
"9572"	96	72
"9580"	96	80
"9588"	96	88
"9596"	96	96
