plot	area	openings	yield	veg.type	Light	Temp	Cont	Moist	React	Nutr
1	10	45	5	A	7.03	5.4	3.64	4.43	6.71	4.22
2	10	60	12	A	7	5.57	3.57	4.58	6.3	4.55
3	25	50	5	A	7.1	5.46	3.85	4.58	7.07	4.52
4	10	50	8	A	7	5.55	4.25	4.57	7.13	3.95
5	25	20	38	B	6.87	5.56	3.54	5.07	6.58	5.8
6	10	45	12	C	6.84	5.45	3.35	5.43	6.75	5.63
7	10	60	28	C	6.79	5.45	3.59	5.56	6.71	5.62
8	16	35	30	C	6.76	5.5	3.63	5.6	6.69	5.04
9	10	40	5	A	7.03	5.36	3.54	4.52	6.81	4.28
10	10	55	5	A	7	5.5	3.63	4.54	6.87	4.3
11	25	40	30	C	6.56	5.45	3.3	5.84	6.73	5.37
12	16	35	18	B	6.88	5.38	4	5.24	6.79	5.5
13	10	45	20	C	6.91	5.45	3.59	5.3	6.87	5.72
14	16	55	8	C	6.91	5.36	3.65	5.75	7.07	5
15	16	40	5	A	7.16	5.43	3.68	4.54	7.19	4.76
16	16	60	8	B	7	5.45	3.75	5.29	7.14	4.77
17	25	50	25	C	6.76	5.5	3.37	5.52	6.92	5.52
18	25	45	8	B	6.96	5.5	3.63	4.85	6.8	5.54
19	10	25	45	D	6.85	5.2	3.71	6.19	6.6	5.7
20	10	65	10	B	6.72	5.6	3.68	5.46	6.73	5.36
21	10	45	42	C	6.76	5.36	3.46	5.8	6.71	5.5
22	16	30	18	B	6.76	5.43	3.35	5.27	6.78	5.95
23	16	35	20	C	7	5.44	3.67	5.22	6.7	5.5
24	16	60	5	A	6.86	5.17	3.78	4.6	7	4.76
25	16	45	45	C	6.78	5.2	3.71	6.17	6.4	5.91
