	Achillea millefolium	Ajuga reptans	Alchemilla vulgaris	Alopecurus pratensis	Angelica sylvestris	Anthriscus silvestris	Arrhenatherum elatius	Bellis perennis	Brachypodium pinnatum	Briza media	Bromus erectus	Campanula glomerata	Campanula rotundifolia	Cardamine pratensis	Carex acutiformis	Carex flacca	Carex gracilis	Carex hirta	Carex panicea	Centaurea jacea	Cerastium caespitosum	Chenopodium album	Chrysanthemum leucanthemum	Cirsium oleraceum	Crepis biennis	Dactylis glomerata	Daucus carota	Deschampsia caespitosa	Dianthus superbus	Euphrasia odontites	Festuca arundinacea	Festuca ovina	Festuca pratensis	Festuca rubra	Filipendula ulmaria	Galium boreale	Galium mollugo	Galium uliginosum	Galium verum	Geranium pratense	Geum rivale	Glechoma hederacea	Glyceria fluitans	Helictotrichon pubescens	Heracleum sphondylium	Holcus lanatus	Knautia arvensis	Koeleria pyramidata	Lamium album	Lathyrus pratensis	Leontodon hispidus	Linum catharticum	Lolium perenne	Lotus corniculatus	Lychnis flos-cuculi	Lysimachia nummularia	Medicago lupulina	Melandrium diurnum	Myosotis arvensis	Myosotis palustris	Pastinaca sativa	Phalaris arundinacea	Phleum pratense	Phragmites communis	Pimpinella magna	Pimpinella saxifraga	Plantago lanceolata	Plantago media	Poa pratensis	Poa trivialis	Polygonum bistorta	Polygonum convolvulus	Potentilla reptans	Prunella vulgaris	Ranunculus acer	Ranunculus repens	Rumex acetosa	Rumex crispus	Salvia pratensis	Sanguisorba officinalis	Scabiosa columbaria	Senecio jacobaea	Silaus pratensis	Silene inflata	Taraxacum officinale	Thymus serpyllum	Tragopogon pratensis	Trifolium pratense	Trifolium repens	Trisetum flavescens	Veronica chamaedrys	Vicia cracca	Vicia sepium	Viola hirta
1	6	0	0	0	0	0	0.1	0	0	1	50	0.1	1	0	0	2	0	0	0	0.1	0.1	0	1	0	0	5	1	0	0	0	0	2	0	15	0	0	3	0	0	0	0	0	0	1	0.1	0	0	3	0	0	0	0.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0.1	4	0	0	0	0	0	0.1	0	0.1	0	0	0	0.1	0	0	0	0.1	1	0	0.1	0.1	0	0.1	0	0	0
2	0.1	0.1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0.1	0	0.1	0	0.1	5	1	0	0	0	0	1	5	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	1	0.1	74	0	0	0	0	0	0.1	0	0	0	0	0	2	0	0	2	0	0.1	0	0.1	0	2	0	0	0	0
3	3	0	0	0	0	0	2	0.1	0	0	35	1	0.1	0	0	0	0	0	0	6	0	0	3	0	0.1	15	1	0	0.1	0	0	0	3	0	0	0	7	0	0	0	0	0	0	0	1	0	1	0	0	0	0.1	0.1	0	0.1	0	0	0.1	0	0	0	0	0	0	0	0	0	1	0.1	10	0	0	0	0	0	0.1	0	0	0	4	0	0	0	0	0	0.1	0.1	0	1	0	5	0.1	0	0.1	0.1
4	1	0	0	0	0	0	2	0	0	0	74	1	1	0	0	3	0	0	0	0	0.1	0	0.1	0	0	5	0.1	0	1	0	0	0	0	2	0	0.1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0.1	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0.1	1	0.1	5	0	0	0	0	0	0	0	0.1	0	0	0	1	0	0	0	0.1	0.1	0	0.1	0	0	0.1	0	0.1	0
5	2	0.1	0	2	0	2	4	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0.1	0.1	2	12	0.1	0	0	0	0	0	20	0.1	0	0	3	0	0	0	0	0.1	0	20	3	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0.1	4	0	0	0	0	0	1	0	0.1	0	0	0	0	0	0	0	3	0	2	4	2	8	0.1	0	1	0
6	0	0.1	0	8	1	0	4	0.1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	12	1	12	1	0	0	0	0	0	3	0	3	0	24	0	0	0	2	0	0	8	0.1	1	0	0	0	1	0	0	0	0	0	0.1	0.1	2	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0.1	1	0	1	1	0.1	0	1	0	0	0
7	1	1	0	0	2	0	4	0	0	0	0	0	0	0	10	0	0	0	0	3	0	0	2	20	0	4	1	11	0	0	0	0	2	0	0	0	6	0	0	0	1	0.1	0	3	4	1	0	0	0	0.1	4	0	0	0	0	0	0	1	0.1	0	0	0	0	0	0.1	0	4	1	3	2	1	0	0	0.1	2	0	1	0	0	0	0	0	0	0	3	0	0.1	1	0	0	1	0	0.1	0
8	0	3	0	10	0	0	4	0.1	0	0	0	0	0.1	0	0	0	0	0	0	0	0.1	0	1	20	8	10	5	2	0	0	0	0	8	0.1	2	1	4	0	0	0	5	0.1	0	0	0	2	0	0	0	0.1	0	0	0	0.1	0.1	1	0	0	0	0	0	0	0	0	0	0	4	0.1	4	0	0	0	0	2	0.1	0	3	0	0	0	0	0	0	0	1	0	0	0.1	0.1	0	0.1	0	0	0
9	2	1	0	0	0	0	5	0.1	0	2	47	1	0.1	0	0	0	0	0	0	0	0.1	0	2	0	0	2	1	0	0	0	0	1	5	3	0	0	2	0	0	0	0	0	0	4	0	0	0	3	0	0.1	0	0.1	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0.1	1	0	10	0	0	0	0	0.1	0.1	0	0	0	2	0	0	0.1	0	0	0	0	0	0	1	3	0.1	0	0	2
10	8	0	0	0	0	0.1	8	1	0	1	21	0	1	0	0	0	0	0	0	0	0	0	5	0	0	6	1	0	0	0	0	2	2	4	0	1	12	0	0	0	0	0	0	0.1	0	0	0	3	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0	1	0.1	3	0	0	0	5	0	0.1	0	0	0	0.1	2	0	0	0	0	1	0.1	0.1	3
11	0	1	0	6	0	0	9	0	0	0	0	0	0	0.1	4	0	0	6	0	0	0.1	0	0.1	3	0.1	12	0	28	0	0	0	0	10	2	0	0	5	0	0	0	3	0.1	0	0	0	2	0	0	0	0.1	0	0	0	0	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0	0.1	0	6	0	0	0	0	0	1	0	2	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0.1	0	0	0
12	1	1	0	0	0	0	10	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	3	0	1	32	0.1	0	0	0	0	0	10	2	0	0	6	0	0	0.1	0.1	0.1	0	1	0	0	0	0	0	0.1	0	0	0	0	0	0.1	0.1	0.1	0	0.1	0	0	0.1	0	0	0	1	1	25	0	0.1	0	0	0	0.1	0	1	0	0	0	0	0.1	0	0	0.1	0	0.1	0	0	0	1	0	0	0
