	Ca	Mg	Fe	K	Na	Si	SO4	PO4	N-NO3	N-NH3	Cl	pH	conduct	redox
Baladi	285.85	14.17	44.37	4.12	17.98	18.33	48	0.11	0.1	1.23	2.7	7.6	530	-80
Bukovec	54.64	3.45	65.81	0.82	2.74	12.52	5	0.01	0.1	1.22	4.5	7	400	-250
Cudrak	46.68	2.16	31.03	3.4	5.85	5.96	7	0.05	0.3	1.48	6	6.8	310	-20
Dubcova	82.01	7.45	45.21	8.27	44.39	31.22	47	0.06	1.4	1.15	3.5	7.4	648	-204
Grigovci	79.52	3.43	88.35	2.32	11.54	17.87	8	0.2	0.1	1.02	5.3	7	344	-95
Grun	273.85	10.68	38.14	3.34	7.37	27.68	46	0.07	2.4	1.13	6.5	8.1	472	30
HLplos	19.19	1.13	17.56	1.54	2.36	5.86	20	0.1	1	13.62	5.6	5.9	104	-190
HLrosn	10.01	1.02	11.34	1.59	4.39	8.58	42	0.66	2.7	6.1	10.8	6.7	328	-182
Hrncarky	262.23	10.87	18.7	1.99	16.68	8.09	54	0.05	0.2	1.76	52.2	7.1	690	30
HrubBrod	78.88	7.05	20.95	4.7	16.44	17.73	42	0.13	0.2	1.56	3.2	7.1	480	-230
HuteDol	318.89	8.51	47.5	2.59	3.3	22.55	31	0.03	0.1	1.7	9.2	7.2	481	-130
ChmelLou	191.16	11.22	50.24	2.39	16.44	17.03	66	0.05	0.2	1.84	1.2	6.9	580	90
ChmelStu	173.57	21.13	43.52	10.38	36.61	33.25	5	0.19	0.3	2.6	3.3	7.7	420	70
Chmura	65.67	3.18	23.46	1.51	5.97	5.1	3	0.04	0.1	0.56	2.7	7.2	414	-194
Jasenka	92.77	5.66	46.47	4.72	21.37	12.05	1	0.12	0.5	1.23	7.4	7.2	591	-110
Javoruvk	94.49	4.17	19.53	1.25	7.92	11.25	38	0.04	0.3	0.8	1.7	6.2	215	-12
Kalabova	211.88	8.85	3.71	1.88	7.15	6.88	55	0.08	1.6	1.7	3.6	7.4	838	-150
Klubina	78.11	3.52	20.19	4.47	6.52	12.22	9	0.22	0.3	1.12	3.2	7.1	279	-156
Kralovec	334.02	14.11	44.65	6.16	11.23	53.21	65	0.08	3.6	1.66	3.9	7.3	434	80
Krocil	298.51	14.79	41.51	4.55	11.35	29.91	130	0.05	0.3	2.7	3.2	7.7	709	-40
Lany	69.04	2.27	159.01	2.01	8.67	11.61	8	0.6	0.2	2.29	8.8	6.5	250	-158
Machala	290.95	11.1	31.03	2.7	7.78	18.74	34	0.01	0.2	2.46	1.9	8.2	470	20
Machova	173.9	15.99	40.87	1.92	5.5	6.73	2	0.15	0.1	1.35	3.1	7.7	526	-60
Mechnac	78.08	9.24	1.73	0.94	4.23	5.49	62	0.06	4.4	0.42	4.3	7.2	422	190
Milonov	256.92	3.9	47.46	4.19	9.76	13.05	29	0.18	0.8	1.61	3.8	5.8	38	0
NizKel	179.64	3.74	86.57	9.25	15.68	34.99	4	0.05	0.1	1.68	0.1	7	395	-10
Obidova	10.28	2.02	44.69	2.06	4.29	5.69	39	0.01	0.6	1.96	8.7	6	60	0
Pisojov	68.59	4.72	150.18	2.56	6.11	14.11	5	0.55	0.1	2.35	12.5	6.8	335	-75
PivoLou	34.49	2.26	40.53	0.76	3.54	9.81	25	0.01	0.1	1.5	1.9	6.6	200	53
Pivovari	304.27	16.85	53.82	10.25	18.06	82.75	27	0.04	0.3	3	4.8	7.3	373	186
Rajnoch	26.91	1.47	38.44	1.62	4.82	35.64	8	0.04	0.3	6.83	0.1	5.8	131	-120
Semetin	108.65	10.01	41.14	3.95	12.28	26.89	15	0.03	0.1	1.78	3.2	7	470	-110
Skanzen	61.86	2.33	42.64	3.71	14.32	8.46	7	0.01	0.1	1.82	4.7	7.2	300	-159
Solan	126.39	16.08	46.61	9.46	11.95	73.15	22	0.06	0.1	1.3	2.3	3.8	25	153
Spanie	320.05	21.59	0.07	3.74	9.37	6.61	25	0.06	0.3	2.39	4.4	8.5	409	0
StudVrch	316.93	8.67	0.63	1.28	6.22	5.04	43	0.08	0.2	2.39	3.7	7.3	644	-50
Tlsta	322.02	12.51	7.02	0.78	1.05	7.36	24	0.04	0.3	4.42	3.9	8.1	484	115
Trubiska	246.72	18.37	46.66	4.13	15.23	53.32	29	0.04	0.3	3.65	3.3	7.1	533	-80
U Pavliku	104.19	11.32	48.2	4.46	11.99	52.46	18	0.05	0.1	1.48	3.2	6.5	96	130
ValKlob	316.46	4.78	16.14	5.62	9.66	10.19	45	0.08	1.6	1.53	4.8	7.4	503	-200
Vlarsky	141.84	10.38	9.65	1.89	3.98	7.76	7	0.05	0.5	3.87	4.1	6.8	484	-100
VresStra	13.32	1.16	6.4	5.79	2.21	19.58	63	0.55	2.8	4.15	11.4	5.5	53	-130
VrchPre	27.27	1.27	114.4	1.69	1.88	12.22	12	0.02	0.8	5.12	7	5.8	55	130
