Abbrev	Lat		Long		Elev	Precip
parqueer	24 35	S	64 42	W	1000	1500
riachuel	27 00	S	58 00	W	60	1000
salta	24 40	S	64 30	W	1350	712
davies	17 05	S	145 34	E	770	2300
calabate	14 55	S	68 20	W	1525	2000
chaquima	14 34	S	68 28	W	1000	1600
curuyuqu	18 46	S	62 14	W	350	450
curuyuqr	18 45	S	62 18	W	350	450
encanto	14 38	S	60 42	W	280	1700
incahuar	15 55	S	67 35	W	1540	3500
madidi	13 35	S	68 46	W	280	3000
madidiri	13 35	S	68 46	W	370	3000
nuevomun	10 39	S	66 46	W	160	1820
persever	14 38	S	62 37	W	100	1350
quiapaca	18 20	S	59 30	W	300	900
rionegro	09 50	S	65 40	W	100	1820
sacram	16 18	S	67 48	W	2415	2450
santacru	17 46	S	63 04	W	375	1200
santiago	18 20	S	59 30	W	750	990
yanaigua	19 42	S	62 06	W	250	400
alterdoc	02 30	S	54 58	W	50	2000
boraceia	23 23	S	46 00	W	800	3500
campinas	22 50	S	47 08	W	575	1400
carajas	05 30	S	51 00	W	620	1850
carlosbo	24 15	S	46 56	W	555	3100
ducke	03 00	S	59 58	W	80	2200
camorin	22 56	S	43 22	W	200	1500
linhares	19 18	S	40 04	W	45	1400
manaus	03 08	S	60 01	W	85	2000
belem	01 30	S	47 59	W	20	2760
banyong	05 00	N	09 10	E	420	2600
korup	05 44	N	08 42	E	100	5460
mtcam	04 05	N	09 00	E	225	8000
kitlope1	53 04	N	127 50	W	20	2100
kitlope2	52 12	N	127 48	W	10	2100
mtsthila	45 37	N	73 35	W	NA	750
ndakani	02 22	N	16 09	E	390	1400
ndakanni	02 22	N	16 19	E	400	1400
mirador	40 14	S	73 18	W	800	4000
martin	39 30	S	73 10	W	30	2316
puyehue	40 43	S	72 18	W	490	3000
providen	13 21	N	81 22	W	230	2500
cuevas	06 40	N	76 30	W	1670	4000
altosapa	07 10	N	75 54	W	2660	4500
altodemi	10 55	N	73 50	W	1180	2500
anchicay	03 45	N	76 50	W	300	3100
antado	07 15	N	75 55	W	1560	4500
arcating	00 35	S	72 19	W	250	3500
araracua	00 25	S	72 20	W	200	3250
calima	03 55	N	77 00	W	100	7470
cueva	11 05	N	73 28	W	350	2000
campano	11 08	N	74 01	W	1685	1250
sietecue	04 35	N	73 40	W	2350	3000
carpanta	04 35	N	73 40	W	2900	3000
cedral	04 45	N	75 33	W	2140	3000
kennedy	11 05	N	74 01	W	2600	1000
cerroesp	10 28	N	72 50	W	2260	1750
colosoi	09 30	N	75 48	W	300	1000
farall	03 30	N	76 35	W	1930	1500
fincam	02 16	N	76 12	W	2287.5	2290
fincaz	03 32	N	76 35	W	1960	1647
galeraz	10 48	N	75 15	W	10	500
hachimal	03 38	N	76 33	W	1860	1500
laplanad	01 08	N	77 58	W	1800	4300
laraya	08 20	N	74 55	W	65	3000
colorado	09 58	N	75 10	W	225	1000
manaure	10 22	N	73 08	W	540	1500
mariquit	05 15	N	74 50	W	560	1920
murri	06 35	N	76 50	W	910	4200
neusa	05 10	N	74 08	W	3050	985
riomanso	07 30	N	76 05	W	200	4000
sabanaru	10 30	N	72 55	W	2940	1500
santotom	04 55	N	74 50	W	320	1500
tayrona	11 20	N	74 02	W	50	1500
tutunend	05 46	N	76 35	W	90	9000
ucumari	04 00	N	75 30	W	2620	3000
guanup	10 32	N	85 18	W	100	1600
guangf	10 30	N	85 10	W	100	1600
laselva	10 26	N	84 01	W	100	4000
magsasay	10 24	N	84 03	W	150	3884
carara	09 46	N	84 32	W	130	3500
ranchoqu	08 42	N	83 33	W	300	3125
osasiren	08 30	N	83 55	W	30	3800
sierraro	22 50	S	83 00	W	380	2200
