	Lat	Long	Elev	Precip
ankarif	-16.32	46.82	85	1400
banyong	5	9.17	420	2600
beza1	-23.63	44.57	150	600
beza2	-23.63	44.57	175	600
brisefer	-20.38	57.43	550	2400
korup	5.73	8.7	100	5460
makokou1	0.57	12.87	480	1755
makokou2	0.57	12.87	480	1755
mtcam	4.8	9	225	8000
ndakani	2.37	16.15	390	1400
ndakanni	2.37	16.32	400	1400
nosymang	-15.5	49.77	275	3500
omofor	7	5	150	1800
perinet	-18.92	48.42	980	1200
pugu	-6.83	39.8	175	1236
allacher	48.7	11.5	530	866
liesjvar	60.67	23.92	50	600
ruissalo	60.53	22.47	20	500
suderhac	54.6	9.28	20	695
uppsala	59.85	17.63	20	500
benito	15.33	-92.25	2100	1500
bosquede	19.5	-96.95	1200	1514
carara	9.77	-84.53	130	3500
cerroelp	13	-85.92	1420	2000
cerroolu	12.3	-85.4	840	2000
curundu	8.98	-79.55	20	1830
chamela1	19.5	-105.5	297	748
chamela2	19.5	-105.5	279	748
chamela3	19.5	-105.5	297	748
laselva	10.43	-84.2	100	4000
lasjoyas	19.58	-104.13	1950	1000
luquillo	18.18	-65.83	300	3500
madden	9.1	-79.6	50	2433
magsasay	10.4	-84.5	150	3884
mogote	18.42	-66.25	50	1500
motozint	15.33	-92.2	1600	500
osasiren	8.5	-83.92	30	3800
pipeline	9.17	-79.75	300	3000
providen	13.35	-81.37	230	2500
quinceoc	19.73	-104.25	1800	1000
ranchoqu	8.7	-83.55	300	3125
roundslo	17.33	-77.42	150	1200
roundtop	17.33	-77.42	300	1200
sierraro	22.83	-83	380	2200
tuxtlas	18.58	-95.13	185	4953
allpahua	-3.95	-73.42	155	3100
alterdoc	-2.5	-54.97	50	2000
altodemi	10.92	-73.83	1180	2500
altosapa	7.17	-75.9	2660	4500
amotape	-4.15	-80.62	820	NA
anchicay	3.75	-76.83	300	3100
antado	7.25	-75.92	1560	4500
araracua	-0.42	-72.33	200	3250
belem	-1.5	-47.98	20	2760
berbicer	5.5	-58.8	160	2200
bilsa	0.62	-79.85	280	2500
blohmr	8.57	-67.58	100	1400
boraceia	-23.38	-46	800	3500
cabezade	-10.33	-75.3	320	4000
calima	3.92	-77	100	7470
camorin	-22.93	-43.37	200	1500
campano	11.13	-74.2	1685	1250
candamo	-13.5	-69.83	790	6760
capeira	-2	-79.97	50	804
carajas	-5.5	-51	620	1850
carlosbo	-24.25	-46.93	555	3100
carpanta	4.58	-73.67	2900	3000
cedral	4.75	-75.55	2140	3000
centinel	-0.58	-79.33	725	4500
ceroneb1	0.83	-66.18	140	3000
ceroneb2	0.83	-66.18	140	3000
cerroayp	-4.58	-79.53	2770	1800
cerroesp	10.47	-72.83	2260	1750
cochacas	-11.85	-71.32	380	2000
colorado	9.97	-75.17	225	1000
colosoi	9.5	-75.8	300	1000
constanc	-4.25	-72.75	160	3100
cuangos	-3.48	-78.23	1550	2500
cueva	11.8	-73.47	350	2000
cuevas	6.67	-76.5	1670	4000
curuyuqr	-18.75	-62.3	350	450
cutervo	-6.17	-78.67	2225	1400
cuyas	-4.53	-79.73	2410	700
cuzcoama	-12.58	-69.15	200	2350
ducke	-3	-59.97	80	2200
encanto	-14.63	-60.7	280	1700
esmerald	0.9	-79.62	150	1750
farall	3.5	-76.58	1930	1500
fincam	2.27	-76.2	2287.5	2290
galeraz	10.8	-75.25	10	500
huamani	-0.67	-77.67	1150	3500
humboldt	-8.83	-75	270	2500
chaquima	-14.57	-68.47	1000	1600
chirinos	-5.42	-78.88	1780	1400
incahuar	-15.92	-67.58	1540	3500
indiana	-3.52	-73.7	130	3100
jatunsac	-1.7	-77.6	450	4100
jauneche	-1.1	-79.63	75	1855
jejuimi	-24.13	-55.53	150	1800
jenarohe	-4.92	-73.75	130	2520
kennedy	11.8	-74.2	2600	1000
lagenoa	-11.8	-75.42	1140	2000
laplanad	1.13	-77.97	1800	4300
laraya	8.33	-74.92	65	3000
linhares	-19.3	-40.7	45	1400
madidi	-13.58	-68.77	280	3000
madidiri	-13.58	-68.77	370	3000
manaus	-3.13	-60.2	85	2000
maquipuc	0.12	-78.62	1630	3000
mariquit	5.25	-74.83	560	1920
martin	-39.5	-73.17	30	2316
miazi	-4.3	-78.67	850	2000
mirador	-40.23	-73.3	800	4000
mishnfl	-3.78	-73.5	130	3100
mishws	-3.78	-73.5	140	3100
murri	6.58	-76.83	910	4200
nuevomun	-10.65	-66.77	160	1820
parqueer	-24.58	-64.7	1000	1500
perromue	-1.6	-80.7	450	1550
persever	-14.63	-62.62	100	1350
puyehue	-40.72	-72.3	490	3000
quiapaca	-18.33	-59.5	300	900
riachuel	-27	-58	60	1000
rioheath	-12.83	-68.83	200	2200
riomanso	7.5	-76.8	200	4000
rionegro	-9.83	-65.67	100	1820
riopal1	-0.57	-79.33	200	2650
riopal2	-0.57	-79.33	185	2650
riotavar	-13.35	-69.67	400	6760
sabanaru	10.5	-72.92	2940	1500
sacram	-16.3	-67.8	2415	2450
salta	-24.67	-64.5	1350	712
sansebas	-1.6	-80.7	550	2000
santacru	-17.77	-63.7	375	1200
santotom	4.92	-74.83	320	1500
saul	3.63	-53.2	300	2358
shiringa	-10.33	-75.17	300	5000
sietecue	4.58	-73.67	2350	3000
tahuampa	-3.78	-73.5	130	3100
tamblat2	-12.78	-69.28	250	2200
tambo	-12.78	-69.28	260	2200
tamboall	-12.83	-69.28	260	2200
tambupl	-12.82	-69.72	280	2200
tarapoto	-6.58	-76.42	445	1400
tayrona	11.33	-74.3	50	1500
tutunend	5.77	-76.58	90	9000
ucumari	4	-75.5	2620	3000
uchire	10.15	-65.43	150	1200
vencer	-5.75	-77.67	1850	1300
yanaigua	-19.7	-62.1	250	400
yanam1	-3.43	-72.85	140	3100
yanam2	-3.43	-72.85	140	3100
yanamtah	-3.47	-72.83	125	3100
bablersp	38.53	-90.67	150	930
bankamp	40.5	-81.3	250	875
burling	38.95	-77.17	60	1053
cary	46.83	-73.75	210	1020
cedarblu	39.77	-86.15	251	1000
cuivre	39.2	-91	140	930
heustobm	39.55	-84.72	200	1000
heustomf	39.55	-84.72	200	1000
indianca	40.5	-95.72	320	900
jonesmil	40.8	-79.35	500	1100
kanealle	41.67	-78.8	500	1000
kitlope1	53.7	-127.83	20	2100
kitlope2	52.2	-127.8	10	2100
laurelri	39.95	-79.37	670	1000
montgome	43.17	-77.62	210	874
mtsthila	45.62	-73.58	NA	750
nwbranch	39.3	-77.3	20	1060
potomac	38.8	-76.57	33	875
sanfelas	29.68	-82.43	30	1375
tidroute	41.7	-79.4	310	1000
tysongla	38.5	-90.52	150	932
tysonwoo	38.5	-90.52	150	932
