"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"
"1"	0	0	0	1	0	4	23	15	6	5	0	0	0	0	1	6	9	20	5	2	0	0	0	1	1	12	15	17	10	5	0	0	1	0	5	9	16	11	13	1	0	0	0	1	2	15	13	11	5	4
"2"	0	0	2	3	7	9	37	24	7	8	0	0	0	3	6	14	24	33	13	2	0	1	0	3	2	9	15	18	10	2	0	0	4	2	6	20	22	14	12	6	0	0	1	4	5	13	19	15	3	1
"3"	0	0	0	3	3	12	51	19	13	6	0	0	0	4	3	11	32	8	10	1	0	0	1	2	6	20	30	25	3	0	0	0	1	2	7	20	17	15	8	0	0	0	1	6	9	27	34	13	2	5
"4"	0	0	1	5	5	21	33	18	10	2	0	0	0	3	11	20	26	14	9	0	0	1	4	5	6	27	16	13	8	2	0	0	4	3	15	20	21	17	3	4	0	1	0	3	5	22	27	12	6	2
"5"	0	0	1	2	10	26	27	9	12	3	0	1	0	3	20	15	26	11	8	0	0	1	2	3	10	19	26	15	8	1	0	0	5	7	27	23	28	13	3	3	0	0	0	5	5	16	24	17	3	1
"6"	1	0	3	3	10	15	21	27	4	0	0	1	2	6	21	10	30	13	6	2	0	1	1	16	14	26	18	12	6	0	2	0	6	11	11	26	20	11	7	2	0	0	3	2	11	19	10	15	5	0
"7"	1	2	4	6	16	19	29	12	3	2	0	2	4	8	16	16	19	5	3	0	2	0	9	10	15	21	19	5	1	0	0	0	7	7	22	19	12	6	6	0	2	2	0	7	13	22	27	16	8	1
"8"	0	1	1	3	20	18	14	9	2	0	0	2	9	14	28	10	16	7	3	0	2	5	16	13	21	18	12	4	0	0	2	7	9	18	19	20	8	7	1	0	0	4	5	17	19	25	20	7	0	0
"9"	1	3	12	11	20	11	19	7	1	0	0	3	19	10	19	11	16	8	1	0	0	5	17	15	16	16	10	5	0	0	2	2	12	13	15	16	8	4	0	2	6	9	10	19	11	19	13	3	0	0
"10"	4	12	25	19	10	21	16	5	2	0	0	9	21	17	14	12	6	2	5	1	5	18	14	13	19	10	8	0	0	0	6	14	14	14	13	14	9	1	0	0	1	16	17	18	9	8	13	3	3	0
"11"	8	8	22	15	7	14	1	2	0	0	2	15	22	8	6	12	11	0	1	0	1	12	10	15	6	7	3	0	1	1	6	16	12	12	10	6	5	1	0	1	1	12	18	11	11	11	6	1	0	0
"12"	2	4	21	2	6	5	2	2	0	0	2	9	19	6	2	0	3	0	0	0	2	7	8	5	8	1	3	0	0	0	5	10	7	11	3	3	5	0	2	0	1	2	7	6	3	0	2	2	1	0
"13"	0	0	0	0	2	10	42	30	7	6	0	0	0	1	0	9	26	28	20	3	0	0	0	2	9	11	19	24	31	5	0	0	0	0	3	10	21	15	13	2	0	0	0	5	4	14	20	23	5	7
"14"	0	0	0	2	4	17	34	16	10	16	0	0	0	0	8	9	26	31	18	0	0	0	0	1	3	19	18	27	11	2	0	0	0	1	6	12	29	26	12	7	0	0	1	1	1	20	29	22	10	5
"15"	0	1	3	1	5	27	34	27	12	6	0	0	0	0	4	9	27	23	14	0	0	0	2	3	5	22	25	25	22	2	0	0	0	4	19	11	12	14	10	3	0	0	0	6	9	18	31	15	10	7
"16"	0	0	2	4	14	16	36	25	16	7	0	1	5	1	5	22	25	26	10	2	0	0	2	1	5	23	25	23	12	4	0	0	1	6	14	15	21	21	7	2	0	0	0	3	10	19	32	21	9	7
"17"	0	0	1	2	13	28	28	15	10	5	0	2	4	4	11	18	23	11	12	0	0	0	1	7	10	34	20	28	11	3	0	2	2	7	9	28	20	29	5	2	0	0	1	5	5	28	18	14	11	0
"18"	0	0	1	8	7	34	32	9	6	3	0	2	2	4	16	28	35	16	3	2	1	0	3	8	14	29	20	19	6	0	0	1	6	11	16	16	15	11	5	0	0	0	2	5	9	23	23	14	7	4
"19"	1	3	1	8	15	25	13	9	6	6	0	1	6	1	13	23	30	5	8	4	2	3	4	6	17	21	17	16	1	0	1	1	8	13	23	32	23	11	4	0	0	5	4	12	24	21	20	16	2	0
"20"	2	0	10	11	31	26	17	12	4	1	2	1	8	13	22	20	18	14	3	1	2	7	7	16	11	13	13	8	0	2	0	2	6	18	20	35	8	13	2	0	1	4	8	19	15	21	16	14	2	0
"21"	3	6	19	10	22	17	14	5	0	0	2	10	16	15	18	7	11	1	4	1	2	7	14	8	12	21	14	3	0	1	3	12	7	17	27	13	16	9	0	0	2	7	18	16	24	21	15	4	2	0
"22"	4	12	17	12	16	11	9	2	1	1	2	9	35	18	12	15	12	5	3	0	4	10	12	12	8	11	4	1	0	0	9	16	17	26	22	15	11	8	0	0	6	14	16	33	18	16	11	2	2	0
"23"	4	13	22	20	15	12	7	3	3	0	1	11	34	16	18	8	3	1	5	0	5	21	17	11	11	12	5	0	0	0	9	7	26	24	11	17	4	1	1	0	8	21	26	21	17	14	7	1	3	0
"24"	7	12	17	4	0	5	0	3	0	0	4	10	20	7	3	9	5	1	0	0	7	12	14	6	2	3	7	0	0	0	3	21	22	16	3	6	3	0	0	0	4	9	16	7	5	6	4	0	0	0
"25"	0	0	1	1	4	11	34	33	10	6	0	0	0	0	1	10	25	28	19	6	0	0	2	9	1	12	19	22	29	2	0	0	1	0	8	15	13	22	22	7	1	0	0	1	4	20	22	22	13	5
"26"	0	1	1	1	3	10	29	24	8	6	0	0	0	2	10	14	21	38	14	4	0	0	2	0	11	11	15	29	14	3	0	0	0	2	15	19	31	26	18	7	0	0	0	1	3	27	32	27	11	6
"27"	0	0	1	2	8	25	37	23	9	5	0	0	2	0	11	11	36	30	17	2	0	1	1	1	4	17	18	21	17	1	0	1	0	4	4	15	18	37	8	5	0	0	1	2	7	21	28	12	6	1
"28"	0	1	4	2	11	18	42	17	9	3	0	0	2	3	10	13	29	21	15	1	0	0	2	2	9	27	35	22	8	2	0	0	0	5	13	22	18	22	10	6	0	0	1	2	6	26	37	10	7	7
"29"	0	0	1	2	11	21	27	17	6	2	0	0	3	8	14	19	21	24	3	0	0	0	4	18	9	14	28	10	8	0	0	7	4	8	16	20	24	25	4	3	0	1	2	8	11	20	24	15	9	2
"30"	2	3	2	12	18	26	30	14	7	2	0	2	5	12	10	19	32	8	5	0	0	1	8	10	14	37	13	11	9	0	1	2	8	10	15	16	21	11	4	2	0	2	10	7	20	25	11	13	3	7
"31"	2	4	3	11	21	21	23	11	6	0	0	1	3	12	9	25	16	9	4	0	0	0	8	4	20	29	21	6	6	3	3	1	3	18	16	27	15	6	6	3	1	3	5	11	18	25	12	16	3	0
"32"	2	1	6	10	18	16	12	7	1	4	0	5	7	13	14	11	25	7	4	0	1	4	13	6	13	22	18	3	0	4	1	4	13	15	13	21	21	8	2	0	0	5	6	15	21	23	17	7	5	0
"33"	3	4	16	20	24	14	11	6	1	0	2	5	14	20	16	11	10	7	2	0	2	9	23	12	17	14	10	5	0	0	5	6	16	22	21	15	15	10	1	0	2	12	13	21	28	18	10	3	3	1
"34"	4	11	29	10	17	18	7	5	1	0	1	10	16	25	13	10	8	6	0	2	7	14	22	13	15	11	10	2	1	0	3	13	21	27	10	24	11	7	0	0	0	11	9	28	10	23	10	2	2	1
"35"	2	17	28	13	22	13	3	3	0	0	0	12	21	23	4	6	3	1	1	0	3	11	13	16	11	10	9	0	0	0	7	18	12	34	20	10	8	6	1	0	5	15	18	26	13	16	10	2	0	0
"36"	4	6	10	10	10	10	0	3	0	0	3	4	13	16	7	9	3	0	0	1	6	5	7	7	13	6	2	0	0	0	12	9	14	17	6	12	5	1	1	0	4	16	17	7	14	12	1	0	1	1
"37"	0	0	0	0	2	10	36	15	16	3	0	0	0	2	5	13	34	32	19	1	0	0	0	3	4	11	20	19	9	4	0	0	0	4	7	13	23	16	8	8	3	2	0	1	1	13	28	26	11	6
"38"	0	0	2	1	7	12	30	22	11	4	0	1	0	2	7	7	33	55	18	2	0	0	0	4	4	18	32	35	5	0	0	0	2	8	2	16	30	25	9	3	0	0	5	0	0	23	30	23	8	4
"39"	0	0	1	0	5	31	43	25	5	1	0	0	2	4	6	12	27	33	14	0	0	0	1	1	7	17	30	17	11	3	0	0	1	7	5	11	30	25	9	4	0	0	0	2	14	24	26	25	16	4
"40"	1	0	3	4	13	25	31	21	10	4	0	1	0	5	10	12	22	20	17	0	0	1	1	1	8	24	16	16	18	7	0	0	5	1	12	21	25	21	8	5	0	0	0	12	10	23	32	16	13	5
"41"	0	1	3	1	18	23	20	16	12	7	0	1	2	4	12	20	28	27	11	0	0	0	3	5	9	14	21	14	9	2	1	7	2	5	7	22	16	12	11	4	0	2	3	5	19	22	28	20	6	7
"42"	1	1	8	11	8	15	20	13	2	3	1	1	2	7	13	18	29	13	7	0	0	3	8	10	26	30	15	15	0	0	1	1	8	6	22	18	14	16	10	2	1	0	1	4	17	18	22	13	0	1
"43"	0	0	9	10	16	24	22	6	3	1	2	2	10	10	12	21	30	5	3	5	1	0	17	9	20	16	21	14	2	1	0	2	6	18	20	24	18	12	6	2	0	1	5	27	31	17	12	6	1	0
"44"	5	8	12	17	20	27	16	9	4	0	0	2	7	17	20	18	22	3	2	0	1	4	10	14	24	13	14	11	1	0	2	6	13	19	17	17	13	10	6	0	1	5	5	21	14	17	18	7	3	0
"45"	0	4	16	10	21	18	20	4	3	2	5	5	12	16	19	15	9	5	1	0	9	3	9	11	17	10	8	3	1	0	5	3	12	13	30	28	17	9	3	0	0	7	6	23	20	8	8	4	4	3
"46"	1	7	11	15	16	11	16	8	4	0	3	9	19	27	14	10	8	2	6	1	3	8	14	12	15	11	15	2	1	0	3	4	21	14	19	15	17	6	3	1	2	9	9	9	22	14	15	3	3	2
"47"	10	8	13	23	9	16	6	4	2	0	5	10	17	24	9	14	8	8	1	1	9	10	16	26	20	15	4	0	2	0	5	9	9	29	21	17	5	6	0	0	1	22	20	17	10	18	13	6	2	0
"48"	1	9	11	11	8	9	5	2	4	0	2	12	16	20	8	6	0	3	1	1	1	3	9	10	7	7	6	2	0	0	2	7	6	9	10	7	2	4	2	1	4	5	16	12	9	6	3	0	2	2
"49"	0	0	1	2	10	12	23	27	8	5	0	0	0	0	2	7	47	28	9	2	0	0	0	3	7	5	18	17	16	4	0	2	0	2	8	14	22	12	12	3	2	0	1	1	6	22	24	35	8	3
"50"	0	0	0	4	11	20	27	15	24	2	0	0	0	9	12	15	29	27	14	0	0	0	0	6	7	16	23	28	14	1	0	0	3	2	12	21	21	28	11	4	1	2	3	5	6	13	26	16	13	5
"51"	0	0	3	5	7	13	21	20	1	4	0	0	6	4	9	23	31	31	17	1	0	0	0	7	7	19	23	13	19	0	0	1	3	3	10	14	21	18	10	1	0	1	2	5	12	23	38	41	9	2
"52"	1	1	3	3	3	19	32	11	10	6	0	0	0	10	12	10	25	19	17	1	0	1	0	5	4	19	33	12	16	4	0	1	3	3	8	15	26	19	13	0	0	0	3	4	11	22	26	25	9	4
