"FT"	"GY"	"LJ"	"PL"	"WJ"	"YLN"	"YYH"
"plot.no"	25	25	25	25	25	25	25
"Acalypha.suirenbiensis"	1	0	0	0	0	0	0
"Acer.kawakamii"	0	1	0	0	0	0	0
"Acer.morrisonense"	0	0	1	0	0	0	0
"Acer.palmatum.v..pubescens"	0	0	0	2	0	0	0
"Acer.serrulatum"	0	0	0	1	0	0	0
"Adinandra.formosana"	0	0	0	0	7	0	0
"Adinandra.lasiostyla"	0	0	0	0	0	0	0
"Aglaia.formosana"	0	0	0	0	0	0	0
"Alnus.formosana"	0	0	0	0	0	0	0
"Antidesma.japonicum.v..acutisepalum"	0	0	0	0	0	0	0
"Aralia.bipinnata"	0	0	0	0	0	0	0
"Aralia.decaisneana"	0	0	0	0	0	0	0
"Archidendron.lucidum"	0	0	0	0	0	2	0
"Ardisia.cornudentata.s..morrisonensis"	0	0	6	0	0	3	0
"Ardisia.quinquegona"	0	0	0	0	1	0	0
"Ardisia.sieboldii"	9	0	0	0	0	20	0
"Ardisia.virens"	0	0	1	0	0	0	0
"Arenga.tremula"	6	0	0	0	0	0	0
"Barthea.barthei"	0	0	0	0	0	0	11
"Beilschmiedia.erythrophloia"	2	0	0	0	1	7	0
"Berberis.kawakamii"	0	3	0	0	0	0	0
"Berberis.mingetsuensis"	0	0	0	0	0	0	1
"Bischofia.javanica"	0	0	0	0	0	0	0
"Blastus.cochinchinensis"	0	0	0	0	0	21	0
"Boehmeria.wattersii"	3	0	0	0	0	0	0
"Bridelia.balansae"	0	0	0	0	0	0	0
"Broussonetia.papyrifera"	2	0	0	0	0	0	0
"Callicarpa.formosana"	1	0	0	0	0	0	0
"Callicarpa.randaiensis"	0	0	0	0	0	1	0
"Camellia.brevistyla"	0	0	9	0	0	4	0
"Camellia.caudata"	0	0	0	0	0	14	0
"Castanopsis.cuspidata.v..carlesii"	0	0	0	0	20	24	0
"Castanopsis.fabri"	0	0	0	0	0	4	0
"Castanopsis.fargesii"	0	0	0	0	0	0	0
"Castanopsis.kawakamii"	0	0	0	0	0	0	0
"Celtis.formosana"	0	0	0	0	0	0	0
"Celtis.sinensis"	1	0	0	0	0	0	0
"Cephalotaxus.wilsoniana"	0	4	0	0	0	0	0
"Chamaecyparis.formosensis"	0	0	0	0	0	0	0
"Chamaecyparis.obtusa.v..formosana"	0	0	0	0	0	0	24
"Champereia.manillana"	0	0	0	0	0	0	0
"Cinnamomum.macrostemon"	0	0	0	0	0	3	0
"Cinnamomum.subavenium"	0	0	0	0	25	0	0
"Clerodendrum.cyrtophyllum"	0	0	0	0	0	12	0
"Cleyera.japonica"	0	0	0	0	1	0	0
"Cleyera.japonica.v..longicarpa"	0	0	0	0	0	0	25
"Cleyera.japonica.v..morii"	0	0	0	0	22	0	0
"Cleyera.japonica.v..taipinensis"	0	0	0	0	0	0	19
"Cordia.dichotoma"	1	0	0	0	0	0	0
"Crateva.adansonii.s..formosensis"	2	0	0	0	0	0	0
"Cryptocarya.chinensis"	0	0	0	0	0	22	0
"Cryptocarya.concinna"	0	0	0	0	0	0	0
"Cunninghamia.lanceolata"	0	0	0	0	3	0	0
"Cyclobalanopsis.glauca"	0	0	0	1	0	0	0
"Cyclobalanopsis.longinux"	0	0	13	0	17	15	0
"Cyclobalanopsis.morii"	0	0	0	11	0	0	0
"Cyclobalanopsis.pachyloma"	0	0	0	0	0	0	0
"Cyclobalanopsis.sessilifolia"	0	0	0	0	0	0	0
"Cyclobalanopsis.stenophylloides"	0	0	0	0	0	0	0
"Damnacanthus.indicus"	0	0	0	1	2	0	0
"Daphne.arisanensis"	0	1	0	0	0	0	0
"Daphniphyllum.glaucescens.s..oldhamii"	0	0	0	0	0	6	0
"Daphniphyllum.himalaense.s..macropodum"	0	0	0	1	0	0	0
"Dendrocnide.meyeniana"	22	0	0	0	0	0	0
"Dendropanax.dentiger"	0	0	0	2	15	0	19
"Deutzia.pulchra"	0	0	0	0	0	0	0
"Diospyros.eriantha"	0	0	0	0	0	0	0
"Diospyros.maritima"	0	0	0	0	0	0	0
"Diospyros.morrisiana"	0	0	0	0	9	9	0
"Diospyros.oldhamii"	0	0	0	0	0	1	0
"Diospyros.philippensis"	0	0	0	0	0	0	0
"Distyliopsis.dunnii"	0	0	0	0	0	0	0
"Dracaena.angustifolia"	0	0	0	0	0	0	0
"Drypetes.littoralis"	0	0	0	0	0	0	0
"Elaeagnus.thunbergii"	0	2	0	0	0	0	0
"Elaeocarpus.japonicus"	0	0	12	0	11	3	1
"Elaeocarpus.sylvestris"	0	0	0	0	0	0	0
"Engelhardia.roxburghiana"	0	0	12	0	15	17	0
"Eriobotrya.deflexa"	0	0	5	0	0	0	0
"Euonymus.laxiflorus"	0	0	0	0	0	12	0
"Euonymus.tashiroi"	0	0	0	0	3	0	0
"Eurya.crenatifolia"	0	0	0	0	0	0	9
"Eurya.glaberrima"	0	0	0	0	0	0	13
"Eurya.hayatae"	0	0	0	0	9	0	0
"Eurya.leptophylla"	0	1	0	11	0	1	0
"Eurya.loquaiana"	0	4	14	10	9	17	0
"Eurya.nitida"	0	0	0	0	0	0	1
"Eurya.strigillosa"	0	0	0	0	3	0	0
"Eustigma.oblongifolium"	0	0	0	0	0	0	0
"Fatsia.polycarpa"	0	0	0	0	0	0	0
"Ficus.ampelas"	1	0	0	0	0	0	0
"Ficus.caulocarpa"	0	0	0	0	0	0	0
"Ficus.erecta.v..beecheyana"	0	0	5	0	0	0	0
"Ficus.fistulosa"	8	0	0	0	0	4	0
"Ficus.formosana"	0	0	0	0	0	2	0
"Ficus.irisana"	21	0	0	0	0	0	0
"Ficus.virgata"	1	0	0	0	0	0	0
"Gardenia.jasminoides"	0	0	0	0	0	0	0
"Gelonium.aequoreum"	0	0	0	0	0	0	0
"Glochidion.acuminatum"	3	0	0	0	0	3	0
"Glochidion.zeylanicum.v..tomentosum"	0	0	0	0	0	5	0
"Glycosmis.citrifolia"	5	0	0	0	0	0	0
"Gonocaryum.calleryanum"	0	0	0	0	0	0	0
"Gordonia.axillaris"	0	0	3	0	1	2	0
"Helicia.formosana"	0	0	0	0	0	25	0
"Helicia.rengetiensis"	0	0	0	0	0	0	0
"Hydrangea.chinensis"	0	0	1	0	0	0	0
"Ilex.bioritsensis"	0	3	0	0	0	0	0
"Ilex.ficoidea"	0	0	10	0	16	4	0
"Ilex.formosana"	0	0	0	0	7	8	0
"Ilex.goshiensis"	0	0	0	0	0	0	0
"Ilex.hayataiana"	0	0	6	18	0	0	0
"Ilex.lonicerifolia"	0	0	5	0	3	0	0
"Ilex.lonicerifolia.v..matsudai"	0	0	0	0	0	3	0
"Ilex.rotunda"	0	0	0	0	0	2	0
"Ilex.suzukii"	0	0	0	0	0	0	8
"Ilex.tugitakayamensis"	0	0	0	10	0	0	0
"Illicium.anisatum"	0	0	0	0	0	0	25
"Illicium.arborescens"	0	0	0	0	19	0	0
"Itea.parviflora"	0	0	9	0	0	0	0
"Koelreuteria.henryi"	0	0	0	0	0	0	0
"Lagerstroemia.subcostata"	2	0	0	0	0	0	0
"Lasianthus.appressihirtus"	0	0	1	0	0	0	0
"Lasianthus.fordii"	0	0	1	0	17	2	0
"Lasianthus.microphyllus"	0	0	0	0	0	15	0
"Lasianthus.obliquinervis"	4	0	0	0	0	0	0
"Lasianthus.wallichii"	0	0	0	0	0	0	0
"Leea.guineensis"	0	0	0	0	0	0	0
"Ligustrum.liukiuense"	0	0	0	0	0	0	1
"Ligustrum.pricei"	0	24	0	0	0	0	0
"Ligustrum.sinense"	0	0	0	0	0	0	0
"Limlia.uraiana"	0	0	0	0	0	0	0
"Lindera.communis"	0	0	0	0	0	1	0
"Lindera.erythrocarpa"	0	0	0	0	0	0	1
"Liodendron.formosanum"	0	0	0	0	0	0	0
"Lithocarpus.amygdalifolius"	0	0	0	0	0	0	0
"Lithocarpus.lepidocarpus"	0	0	0	0	8	0	0
"Litsea.acuminata"	0	0	17	0	25	18	0
"Litsea.cubeba"	0	0	0	0	2	0	0
