	a11	a12	a13	a14	a15	a21	a22	a23	a24	a25	a31	a32	a33	a34	a35	a41	a42	a43	a44	a45	a51	a52	a53	a54	a55
A	0	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	1
B	1	1	1	1	0	1	0	0	0	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	0
C	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1
D	1	1	1	1	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	1	1	1	0
E	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	1	1	1	1
F	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0
G	0	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	1	0	1	1	1	0
H	1	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	1
I	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0
J	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	1	1	0
K	1	0	0	0	1	1	0	0	1	0	1	1	1	0	0	1	0	0	1	0	1	0	0	0	1
L	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1	1
M	1	0	0	0	1	1	1	0	1	1	1	0	1	0	1	1	0	0	0	1	1	0	0	0	1
N	1	0	0	0	1	1	1	0	0	1	1	0	1	0	1	1	0	0	1	1	1	0	0	0	1
O	0	1	1	1	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0
P	1	1	1	1	0	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0
Q	0	1	1	1	0	1	0	0	0	1	1	0	1	0	1	1	0	0	1	0	0	1	1	0	1
R	1	1	1	1	0	1	0	0	0	1	1	1	1	1	0	1	0	0	0	1	1	0	0	0	1
S	0	1	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	1	1	0
T	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0
U	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0
V	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0
W	1	0	0	0	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	1	1	0	0	0	1
X	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1
Y	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0
Z	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	1	1	1
