"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"
"1"	0	0	0	0	0	1	7	11	20	38	0	0	0	1	0	14	16	1	14	26	0	0	0	0	0	0	10	20	65	25	0	0	0	0	0	0	8	40	30	28	0	0	0	0	0	5	2	13	49	10
"2"	0	0	0	1	2	0	13	31	19	14	0	0	0	0	5	3	15	15	5	10	0	0	0	0	1	4	53	25	20	12	0	0	0	0	0	57	32	23	10	7	0	0	0	0	13	16	32	48	6	3
"3"	0	0	0	7	19	34	28	24	7	5	0	0	6	3	7	12	19	4	0	3	0	0	0	0	7	4	31	36	2	0	0	2	4	2	1	15	26	24	1	3	0	0	0	8	17	31	38	48	2	0
"4"	0	4	0	0	32	17	36	7	2	0	0	0	0	13	18	38	18	13	0	0	0	0	0	0	13	19	29	12	0	0	0	2	0	36	37	10	23	1	1	0	0	0	0	5	47	40	23	2	0	0
"5"	0	0	0	4	22	14	34	17	1	2	0	0	2	2	14	31	23	40	0	0	0	1	0	5	24	8	35	8	0	0	0	0	0	34	17	15	22	11	6	0	0	0	1	20	33	24	26	4	0	0
"6"	0	0	0	3	4	25	24	41	0	5	0	0	0	8	9	36	23	15	5	12	0	0	0	1	24	35	22	6	2	5	0	0	1	1	17	33	23	20	2	0	0	6	2	4	22	17	1	6	1	0
"7"	0	0	6	0	33	23	18	4	0	0	0	1	0	9	22	18	5	0	1	0	0	0	3	5	15	44	8	3	0	0	0	0	3	0	47	37	10	5	2	0	0	0	3	2	38	51	33	8	1	0
"8"	0	0	0	4	30	15	13	22	4	0	0	0	0	10	18	21	26	1	0	0	0	0	0	0	13	37	22	6	1	0	0	0	0	3	63	16	13	1	5	0	0	0	1	9	24	54	31	7	0	0
"9"	1	2	11	11	18	28	9	1	0	0	3	1	11	3	20	36	9	7	0	0	0	5	13	1	17	48	7	0	9	0	0	0	0	7	31	22	18	13	0	0	6	5	12	2	19	55	18	4	0	0
"10"	5	19	15	16	24	6	4	1	1	0	23	31	22	2	5	4	0	7	0	0	6	0	14	18	20	20	3	0	0	0	6	8	3	14	23	3	0	0	0	0	16	8	28	16	36	19	8	0	3	0
"11"	21	38	15	3	0	0	0	0	0	0	30	47	31	9	1	1	0	0	0	0	12	22	33	5	4	2	0	0	0	0	6	42	4	9	2	0	2	0	0	0	43	34	15	16	15	5	0	0	0	0
"12"	25	32	33	0	0	0	0	0	0	0	36	58	28	2	0	0	0	0	0	0	25	35	7	6	3	6	0	0	0	0	41	39	13	14	0	0	0	0	0	0	39	23	30	5	0	0	0	0	0	0
"13"	0	0	0	0	0	6	4	36	60	13	0	0	0	2	0	0	6	14	13	36	0	0	0	1	0	1	13	3	62	23	0	0	0	0	0	1	24	28	23	15	0	0	0	0	2	0	10	39	26	28
"14"	0	0	0	0	0	12	9	44	11	3	0	0	0	0	3	27	29	16	5	3	0	0	0	1	1	14	21	27	29	11	0	0	0	0	6	14	63	34	11	11	0	1	0	0	1	14	8	25	14	4
"15"	0	0	0	1	4	12	23	11	2	1	0	4	0	1	1	17	22	27	8	2	0	0	0	0	6	29	54	36	3	0	0	0	0	4	0	21	39	22	16	7	0	0	0	3	10	14	62	21	13	4
"16"	0	0	0	5	23	18	27	38	3	0	0	6	0	4	0	16	17	15	0	5	0	0	0	0	9	4	8	31	5	15	0	0	0	3	13	17	18	37	37	2	0	0	0	4	11	25	30	23	28	2
"17"	0	0	0	0	13	15	25	35	2	0	0	0	0	0	7	14	28	28	1	4	0	0	1	0	7	29	37	18	1	1	0	0	0	5	6	10	48	28	0	0	0	0	0	10	25	25	32	9	22	2
"18"	0	0	1	2	34	13	23	35	5	0	0	0	0	0	8	27	25	19	8	0	2	0	5	4	3	21	20	9	11	1	0	0	6	12	7	19	31	34	3	0	0	0	0	23	10	31	19	16	0	0
