	PlaPol	CarMin	CarTri	VerPyg	VerSub	VerAnt	VerAng	VerMou	VerPus	ColEde	CocLub	CocLul	PupMus	PupPra	AcaAcu	ValCos	ValPul	TruCyl	PunPyg	AliBip	MacTum	MacVen	VesTur	SucPut	SucObl	OxyEle	AegPur	AegMin	PerHam	OxyCel	OxyGla	VitCon	VitCry	VitDia	CecAci	SemSem	VitPel	EucFul	EucAld	ZonNit	DauBre	DauRuf	AriSil	AriSub	DerAgr	DerLae	DerPra	PliLub	PetUni	PerBid	TriHis	MonInc	MonVic	EuoStr	AriArb	CepHor	CepVin
Baladi	0	384	13	146	0	123	131	0	0	2	2	0	0	0	8	0	19	0	29	2	0	0	0	0	171	0	31	0	0	0	0	0	0	0	0	0	0	7	0	0	2	0	0	0	0	0	0	6	0	0	0	15	0	0	1	0	2
Bukovec	0	12	3	0	3	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Cudrak	0	4	11	0	8	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	9	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
Dubcova	0	42	10	3	11	4	11	0	0	0	12	0	0	0	0	0	6	0	4	0	0	0	0	0	0	0	2	0	21	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Grigovci	0	3	7	8	6	3	0	0	0	0	16	0	0	0	0	0	5	0	2	0	0	0	0	26	0	0	1	0	20	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grun	0	138	123	37	0	87	77	31	0	0	36	0	0	0	0	9	10	5	99	0	0	0	0	0	0	9	10	0	0	1	0	6	0	0	0	0	0	31	0	15	3	0	0	0	0	0	0	0	0	0	58	4	0	0	0	0	0
HLplos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLrosn	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hrncarky	0	136	8	27	0	6	7	0	1	0	1	0	0	0	1	0	4	1	27	0	0	0	0	2	0	5	0	1	0	0	0	0	1	5	0	0	0	4	0	0	0	1	0	0	0	0	0	3	0	0	0	5	2	2	0	0	3
HrubBrod	0	4	35	1	3	12	0	0	0	0	8	0	0	0	0	0	6	0	2	0	0	0	0	18	0	0	0	0	18	0	0	0	0	2	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
