p10	vegtype	relev	aspect	slope	elev	convex	row	column
1	2	30	85	6.34	331	-0.27 	1	1
2	2	30	145	6.34	331	-0.02 	1	2
3	2	29	165	6.71	330	-0.14 	1	3
4	2	28	165	7.13	329	-0.51 	1	4
5	2	26	155	8.13	327	-0.47 	1	5
6	1	24	115	21.8	325	-0.70 	1	6
7	1	21	115	21.8	322	-1.14 	1	7
8	1	18	135	18.43	318	-0.63 	1	8
9	1	15	175	18.43	316	0.07 	1	9
10	2	10	175	26.57	312	0.75 	1	10
11	2	6	175	33.69	307	0.68 	1	11
12	4	2	175	33.69	303	-0.66 	1	12
13	4	0	85	8.75	301	-1.95 	1	13
14	3	4	5	26.57	304	-2.16 	1	14
15	3	8	5	26.57	309	-1.82 	1	15
16	3	12	5	33.69	313	-1.51 	1	16
17	3	14	25	33.69	315	-2.28 	1	17
18	3	16	25	33.69	317	-3.41 	1	18
19	3	18	25	26.57	319	-2.57 	1	19
20	3	20	25	21.8	321	-1.18 	1	20
21	2	20	85	21.8	321	-0.93 	1	21
22	2	18	85	21.8	319	-0.71 	1	22
23	2	14	115	26.57	315	-0.97 	1	23
24	3	10	105	21.8	310	-2.53 	1	24
25	3	8	25	26.57	309	-2.96 	1	25
26	3	6	75	33.69	308	-1.95 	1	26
27	3	3	85	21.8	306	-1.74 	1	27
28	4	0	15	9.46	305	-2.08 	1	28
29	2	2	45	15.95	306	-0.31 	1	29
30	2	2	75	14.04	308	0.40 	1	30
31	3	31	85	7.13	332	0.47 	2	1
32	2	30	135	7.13	331	0.17 	2	2
33	2	29	105	11.31	330	-0.21 	2	3
34	2	27	85	15.95	329	-0.41 	2	4
35	1	27	45	11.31	328	0.33 	2	5
36	1	26	115	14.04	327	1.55 	2	6
37	1	24	115	26.57	324	1.47 	2	7
38	1	19	125	26.57	320	0.62 	2	8
39	1	15	125	26.57	316	0.32 	2	9
40	2	10	125	33.69	311	0.39 	2	10
41	3	4	125	33.69	305	-1.09 	2	11
42	4	0	95	8.13	301	-3.03 	2	12
43	4	2	5	26.57	303	-1.69 	2	13
44	3	6	5	33.69	307	0.24 	2	14
45	3	11	5	26.57	312	0.05 	2	15
46	3	16	5	26.57	316	0.43 	2	16
47	3	19	5	26.57	320	1.09 	2	17
48	3	20	25	26.57	322	0.35 	2	18
49	3	23	25	26.57	324	0.16 	2	19
50	2	24	25	18.43	325	0.84 	2	20
51	2	22	85	18.43	324	0.92 	2	21
52	2	20	105	21.8	321	0.49 	2	22
53	2	16	115	26.57	316	-0.62 	2	23
54	3	8	95	18.43	313	-1.26 	2	24
55	3	10	25	18.43	314	0.14 	2	25
56	3	8	115	21.8	313	1.62 	2	26
57	2	2	115	21.8	309	0.10 	2	27
58	3	0	45	11.31	307	-1.96 	2	28
59	3	3	5	26.57	308	-0.50 	2	29
60	2	4	85	15.95	309	0.48 	2	30
61	3	30	85	6.34	333	0.39 	3	1
62	3	28	85	6.34	331	-0.14 	3	2
63	2	28	95	6.34	331	0.22 	3	3
64	1	28	99	6.34	331	0.71 	3	4
65	1	26	165	15.95	329	0.70 	3	5
66	1	24	165	15.95	327	1.16 	3	6
67	1	21	155	26.57	324	1.56 	3	7
68	1	17	155	26.57	320	1.01 	3	8
69	1	12	155	26.57	315	0.54 	3	9
70	2	7	155	45	310	-0.04 	3	10
71	4	2	145	21.8	305	-1.24 	3	11
72	4	0	75	11.31	303	-2.39 	3	12
73	4	4	15	33.69	305	-1.20 	3	13
74	3	9	15	26.57	310	0.73 	3	14
75	3	14	5	26.57	315	0.62 	3	15
76	3	18	5	33.69	320	0.83 	3	16
77	3	23	5	26.57	324	1.47 	3	17
78	3	26	25	26.57	327	1.28 	3	18
79	3	27	45	26.57	328	1.13 	3	19
80	2	27	65	15.95	328	1.14 	3	20
81	2	24	85	18.43	326	0.76 	3	21
82	2	22	95	26.57	323	0.11 	3	22
83	2	15	95	26.57	319	-0.72 	3	23
84	3	12	95	18.43	316	-0.03 	3	24
85	2	12	155	15.95	315	0.57 	3	25
86	3	5	175	26.57	312	-0.05 	3	26
87	3	2	115	12.53	309	-1.13 	3	27
88	2	2	95	12.53	308	-1.13 	3	28
89	3	3	75	10.3	309	0.13 	3	29
90	2	4	175	21.8	308	-0.72 	3	30
91	3	30	85	6.34	333	0.13 	4	1
92	2	30	85	8.75	333	-0.27 	4	2
93	2	29	85	9.46	332	0.17 	4	3
94	1	28	135	11.31	331	0.51 	4	4
95	1	25	145	18.43	328	0.26 	4	5
96	1	22	165	26.57	324	-0.13 	4	6
97	1	17	175	26.57	321	-0.22 	4	7
98	1	13	165	26.57	316	-1.07 	4	8
99	2	10	85	12.53	313	-1.57 	4	9
100	3	8	85	26.57	311	-1.45 	4	10
101	4	2	75	33.69	308	-1.38 	4	11
102	4	0	75	21.8	305	-1.89 	4	12
103	4	4	15	26.57	307	-1.52 	4	13
104	4	8	25	26.57	311	-0.19 	4	14
105	3	13	35	26.57	316	-0.12 	4	15
106	3	17	45	26.57	320	-0.17 	4	16
107	3	22	45	26.57	325	0.45 	4	17
108	2	26	35	18.43	329	1.38 	4	18
109	3	28	45	10.3	331	1.67 	4	19
110	2	28	85	14.04	330	1.05 	4	20
111	2	26	95	15.95	327	0.24 	4	21
112	2	19	85	14.04	326	0.32 	4	22
113	2	16	85	26.57	323	0.67 	4	23
114	2	12	105	26.57	319	0.92 	4	24
115	2	7	95	21.8	314	-0.45 	4	25
116	3	4	35	18.43	312	-1.36 	4	26
117	3	4	35	26.57	312	-0.25 	4	27
118	2	5	45	21.8	312	0.61 	4	28
119	2	4	85	21.8	310	0.54 	4	29
120	2	4	75	18.43	307	-1.20 	4	30
121	2	28	85	6.71	335	0.36 	5	1
122	2	27	85	6.71	334	0.22 	5	2
123	2	26	115	12.53	333	0.75 	5	3
124	1	24	165	21.8	331	0.99 	5	4
125	1	19	165	26.57	327	0.42 	5	5
126	1	15	165	33.69	322	-1.53 	5	6
127	2	12	105	11.31	319	-2.29 	5	7
128	2	10	45	18.43	318	-1.48 	5	8
129	2	10	75	21.8	317	-0.54 	5	9
130	3	8	85	21.8	315	0.39 	5	10
131	3	5	95	21.8	312	0.26 	5	11
132	4	0	75	14.04	309	-1.40 	5	12
133	4	4	15	26.57	309	-1.95 	5	13
134	3	8	15	33.69	313	-0.67 	5	14
135	3	13	15	33.69	318	-0.47 	5	15
136	3	16	5	21.8	321	-1.08 	5	16
137	3	20	35	33.69	325	-0.76 	5	17
138	3	25	35	21.8	330	0.49 	5	18
139	2	30	45	9.46	333	1.15 	5	19
