	Adinform	Alnipter	Ardiquin	Ardisieb	Astrferr	Beileryt	Beiltsan	Bridbala	Cameheng	Castcarl	Castindi	Caststel	Cinnrigi	Cleyjapo	Crypchin	Cyclcham	Cycllong	Cyclpach	Daphglau	Decagrac	Dioseria	Elaesylv	Engeroxb	Euryhaya	Euryjapo	Evodmeli	Evodmerr	Ficufist	Ficurufi	Garcmult	Glocrubr	Gloczeyl	Gordaxil	Heliform	Ilexcoch	Ilexmats	Ilexrotu	Ilextrif	Ilexurai	Illiarbo	Lithamyg	Litsacut	Machobov	Machthun	Machzuih	Magnkach	Mallpani	Melisqui	Michcomp	Micrjapo	Myrssequ	Neolbuis	Neolhiir	Neonreti	Osmamarg	Pasabrev	Pasaform	Pithluci	Podoform	Podophil	Prunphae	Sapidisc	Sauroldh	Scheocto	Schisupe	Sloaform	Sympglom	Sympshil	Symptheo	Syzybuxi	Syzyeuph	Syzykusu	Terngymn	Tricdubi	Wendform	Antihiir	Ardicorn	Callremo	Callremo	Clercyrt	Euonacut	Lasicyan	Lasiobli	Melacand	Psycrubr	Rhapindi	Rhodsims	Taregrac	Wikstaiw
1	0	0	0	0	0	0	2.400000095	0	0	12.89999962	0	1.399999976	0	0	0	0	1	0	3.700000048	3.799999952	0.600000024	2.099999905	1.399999976	0.600000024	0	0	0	0	0	0.899999976	0	0	0	0	2.5	0	0	0.100000001	5.099999905	15.19999981	0	1.799999952	0	1.399999976	0	0.600000024	0	0	2.700000048	2.900000095	0	0	0.600000024	0	8.199999809	2.900000095	0	0	0	0	0	0	0	0	1.700000048	0	1.700000048	0	0.600000024	0	6.900000095	0	0	2.5	0	1.200000048	0	0	0	0	0	0	0	0	0.600000024	0	0	0	0
2	2.400000095	0	1.5	0	0	0	5.400000095	0	0	2.799999952	0	0.400000006	0	0	0	0	10.80000019	6.199999809	4.099999905	2.900000095	1.100000024	0	0.400000006	2.400000095	0	0	0	0	0	0.5	0	0	0	0	3.099999905	0.5	0	5.5	0.5	12.89999962	0.800000012	0.400000006	0	0	0	3.799999952	0	1.600000024	0	0.800000012	0	0	0.899999976	0	2.700000048	0.400000006	0	0	0	0.699999988	0.400000006	0	0	0.899999976	0	0.400000006	0.200000003	0	1.700000048	2.299999952	0.400000006	0	2.299999952	0.800000012	0	1.5	0	0	0	0	0.400000006	0.400000006	0.400000006	0	6.099999905	0	0	0.400000006	0
3	2.200000048	0	0	0	0	0	1.5	0	0	12.89999962	0	0	0	0	0	0	1.899999976	0	4.099999905	0	0.800000012	2.900000095	0.400000006	0.400000006	0	0	0	0	0	0	0	0	0	0	6.400000095	1.700000048	0	0.200000003	3.099999905	21.89999962	0	0	0.200000003	0	0	0	0	0	0	0.800000012	0	0	0.800000012	0	0.400000006	2.200000048	0	0	0	1.799999952	0	0	0	0.600000024	1.799999952	0.600000024	0.5	1.5	0.200000003	0	0	4.5	1.200000048	2.200000048	0	1.100000024	0	0	0	0	0	1.100000024	0.400000006	0	0.800000012	0	0	0.400000006	0
4	0	0	0	0	1.399999976	0	0.5	0	0	7.300000191	0	0	0	0	0	0	0.100000001	0	0	0	0	0	0	0.800000012	0	0	0	0	0	8.100000381	0	0	0.400000006	0	10.19999981	0.5	0	0.800000012	4.199999809	20.70000076	0.600000024	6.900000095	1.100000024	0	0	0.400000006	0	0	0	1.700000048	0	0	0.800000012	0	6.900000095	1.799999952	0	0	0	0.400000006	0	0	0	1.399999976	2.599999905	0.600000024	0	0.400000006	0.400000006	0.100000001	1.399999976	0	0	0.100000001	0	2.599999905	0.800000012	0	0	0	0.899999976	0	0.400000006	0	7.599999905	0	0.400000006	1.799999952	0
5	3.900000095	0	0.699999988	0	0	0	0.800000012	0	2.200000048	10.80000019	0	0.5	0.5	0	0	0	9.100000381	0	0	0	0	0.400000006	0	0.600000024	0	0	0	0	0	0.600000024	0	0	1.899999976	0.400000006	3.5	6.800000191	0	0	0.400000006	9.600000381	0	0.400000006	0.400000006	2.200000048	0	0.5	0.400000006	0	0.400000006	2.099999905	0.400000006	0.699999988	0.400000006	0	9.800000191	0.5	0	0	0	4.300000191	0	5.800000191	0	1.5	0	0	0	0.400000006	1.700000048	1.799999952	0.400000006	0	0	1.399999976	0	2.5	0.699999988	0	1.100000024	0	1.100000024	0.400000006	0	0.400000006	5.900000095	0	0	0	0
6	0	0	0	0	0	0	2.700000048	0	1.799999952	15.5	0	0	0.899999976	0	0	0.300000012	6.900000095	0	6.800000191	0.400000006	1.700000048	0	0.400000006	1.100000024	0	0	0	0	0	0.699999988	0.400000006	0	3.799999952	0	2.700000048	4.599999905	0	1.200000048	0.100000001	8.300000191	0	0.300000012	0	0.300000012	0	0	0	0.699999988	0	0.5	0.400000006	0	0.300000012	0	8.199999809	0.800000012	0	0	0	0	0	0	0	1.100000024	0	0	0.5	0.600000024	2.299999952	0.899999976	0	0	0	0.800000012	0	4.5	0.699999988	0.300000012	0	0	0.300000012	0	0	0	1.600000024	0	1.100000024	0	0
7	0.200000003	0	0	0	1.5	0	0.899999976	0	0	10.10000038	0	0	0.5	0	0	20.20000076	0	0	0.200000003	0.300000012	0	0.300000012	0	0.300000012	0	0	0	0	0	3.299999952	0	0	0.699999988	0	2.5	1.600000024	0	0.300000012	0.300000012	8.699999809	0.699999988	0	0.400000006	0	0	1.100000024	0	0	0	5.5	2.599999905	0.300000012	0	0	1.399999976	0.5	0	0	0	1.799999952	0	0.400000006	0	0.600000024	1.299999952	0	1.200000048	0	0	5.400000095	0	0	0	0	0	4.800000191	1.200000048	0	0	0	0	0	0	0	0	8.800000191	0.699999988	0.300000012	0.300000012
8	0.300000012	0	0	0	4.199999809	0	0.600000024	0	0	14.60000038	0	0	0.400000006	0	0	0.100000001	0	0	3.900000095	1.200000048	0	1.299999952	0.300000012	4.400000095	0	0	0	0	0	2.200000048	0.300000012	0	0.800000012	0	1.5	2.099999905	0	9.600000381	0	11.30000019	4.099999905	0	0.400000006	0	0	0.800000012	0	0	0	4.199999809	5.599999905	0.300000012	0	0	0.400000006	0	0	0	0	0.600000024	0	0	0	0.300000012	2.799999952	0	1.5	0	1.600000024	4.5	0	0	0.400000006	0	0	0.100000001	0	0	0	0	0.699999988	0	0	0	0	10.19999981	0	0	0.400000006
9	0	0	0	0	4.5	0	0	0	0	2.5	0	0	0	0	0	0	2.799999952	0	1.5	0.5	0.600000024	0.600000024	0	5.300000191	0	0	0	0	0	0	0	0	4.400000095	0	2.299999952	6.800000191	0	1.5	2.900000095	10.69999981	0.899999976	0	0	0	0	0.100000001	0	0	0	2.099999905	0.200000003	0	0	0	0.400000006	0	0	0	0	2.400000095	0	0	0	0.600000024	1.200000048	0	1.700000048	2.299999952	0	6.599999905	0	0	0.5	0	0	2.400000095	0	0	0	0	0	0	0	0	0	6.599999905	0	0	0
10	0	0	0	0	0	0.600000024	0	0	0	8.899999619	0	0	0	0	0	0	11.30000019	0	4.599999905	2.599999905	0	0.600000024	0	7.199999809	0	0.800000012	0	0	0	0.600000024	1.899999976	0	0.600000024	0	1.899999976	1.899999976	0	0	4.199999809	20.79999924	3.900000095	0.600000024	0	0	0.600000024	0.800000012	0	0	0	0.699999988	0	0	0	0	4.800000191	3.599999905	0	0	0	0	0	0	0	0.600000024	1.5	0	0.699999988	1.600000024	1.100000024	0.899999976	3.599999905	0	0.600000024	1.299999952	0	1.799999952	0	0	0	0	0	0	0	0	0	0.200000003	0	0	0.600000024
