	vegtype	relev	aspect	slope	elev	convex	row	column	pH_A	N_A	P_A	OC_A	CEC_A	Al_A	K_A	Na_A	Ca_A	Mg_A	BSP_A	pH_B	N_B	P_B	OC_B	CEC_B	Al_B	K_B	Na_B	Ca_B	Mg_B	BSP_B
1	1	30	85	6.34	331	-0.27	1	1	4.34 	49.14 	6.99 	1.05 	5.42 	2.31 	0.16 	2.56 	0.27 	0.30 	61	4.25 	20.16 	3.41 	0.45 	5.22 	3.33 	0.10 	0.63 	0.07 	0.10 	17
2	1	30	145	6.34	331	-0.02	1	2	4.23 	42.84 	8.06 	1.20 	5.79 	2.69 	0.11 	0.64 	0.08 	0.27 	19	4.32 	7.56 	6.56 	0.36 	4.85 	2.73 	0.11 	0.24 	0.05 	0.16 	11
5	3	26	155	8.13	327	-0.47	1	5	4.46 	60.48 	11.30 	1.41 	7.88 	2.73 	0.32 	0.72 	0.81 	1.23 	39	4.50 	40.32 	12.03 	0.75 	7.79 	4.28 	0.27 	0.37 	0.19 	0.92 	23
7	2	21	115	21.8	322	-1.14	1	7	4.61 	32.76 	8.13 	1.50 	7.70 	1.92 	0.19 	0.53 	1.76 	1.23 	48	4.54 	17.64 	6.02 	0.87 	6.75 	3.47 	0.22 	1.43 	0.43 	1.10 	47
14	4	4	5	26.57	304	-2.16	1	14	4.33 	74.84 	13.38 	1.56 	8.45 	2.86 	0.25 	1.75 	0.28 	0.69 	35	4.33 	47.88 	9.76 	0.63 	3.42 	3.24 	0.21 	0.19 	0.13 	0.60 	33
15	3	8	5	26.57	309	-1.82	1	15	4.33 	88.20 	10.34 	1.71 	8.38 	3.60 	0.30 	0.20 	0.39 	1.00 	23	4.26 	52.92 	9.01 	1.02 	7.70 	3.43 	0.22 	0.57 	0.13 	0.81 	23
17	3	14	25	33.69	315	-2.28	1	17	4.27 	42.84 	7.45 	0.93 	7.11 	4.04 	0.30 	2.90 	0.09 	0.29 	50	4.14 	17.64 	3.35 	0.51 	7.12 	4.09 	0.22 	0.16 	0.04 	0.20 	9
32	1	30	135	7.13	331	0.17	2	2	4.36 	37.80 	9.11 	1.20 	5.79 	1.98 	0.14 	2.56 	0.50 	0.69 	67	4.58 	15.20 	11.50 	0.51 	5.79 	2.35 	0.12 	0.90 	0.22 	0.22 	25
33	1	29	105	11.31	330	-0.21	2	3	4.43 	25.20 	6.34 	1.26 	4.46 	2.37 	0.15 	0.16 	0.13 	0.54 	22	4.43 	12.60 	3.65 	0.30 	4.85 	2.69 	0.10 	0.23 	0.04 	0.31 	14
36	2	26	115	14.04	327	1.55	2	6	4.63 	47.89 	14.67 	1.23 	7.41 	2.00 	0.24 	0.37 	1.38 	1.31 	44	4.38 	22.68 	2.50 	0.81 	6.75 	3.51 	0.17 	1.75 	0.19 	0.79 	43
38	2	19	125	26.57	320	0.62	2	8	4.52 	37.80 	5.02 	1.62 	7.79 	2.12 	0.22 	0.37 	1.16 	1.21 	38	4.32 	21.67 	8.29 	0.96 	5.98 	3.33 	0.17 	1.55 	0.24 	0.75 	45
41	3	4	125	33.69	305	-1.09	2	11	4.28 	37.80 	9.01 	1.23 	7.31 	2.38 	0.21 	0.33 	0.27 	0.53 	18	4.21 	50.40 	6.34 	0.96 	7.50 	3.05 	0.19 	0.59 	0.12 	0.43 	18
43	4	2	5	26.57	303	-1.69	2	13	4.36 	70.56 	11.87 	1.32 	8.83 	2.38 	0.38 	0.24 	1.16 	0.89 	30	4.43 	27.72 	6.56 	0.60 	6.55 	2.23 	0.23 	0.41 	0.41 	0.55 	25
46	3	16	5	26.57	316	0.43	2	16	4.36 	68.04 	9.50 	1.41 	8.64 	3.87 	0.24 	0.58 	0.09 	0.75 	19	4.27 	50.40 	7.60 	1.29 	7.70 	4.15 	0.25 	0.52 	0.12 	0.71 	21
48	2	20	25	26.57	322	0.35	2	18	4.20 	63.00 	9.76 	1.20 	9.60 	3.93 	0.29 	0.31 	0.13 	0.69 	15	4.27 	50.40 	7.18 	0.75 	8.27 	4.20 	0.24 	0.64 	0.05 	0.40 	16
61	2	30	85	6.34	333	0.39	3	1	4.48 	40.32 	8.37 	1.17 	5.66 	2.07 	0.22 	2.10 	0.31 	0.87 	62	4.15 	20.16 	4.72 	0.51 	5.13 	3.15 	0.15 	0.66 	0.04 	0.23 	21
62	1	28	85	6.34	331	-0.14	3	2	4.30 	47.88 	6.08 	1.32 	5.79 	2.32 	0.18 	1.75 	0.11 	0.45 	43	4.29 	12.60 	2.28 	0.45 	5.79 	3.14 	0.15 	0.69 	0.06 	0.32 	21
65	3	26	165	15.95	329	0.7	3	5	4.26 	45.36 	8.67 	1.41 	7.12 	2.41 	0.16 	2.17 	0.30 	0.79 	48	4.14 	22.68 	4.50 	0.36 	6.75 	3.14 	0.12 	0.16 	0.05 	0.35 	10
67	2	21	155	26.57	324	1.56	3	7	4.51 	32.76 	5.53 	1.23 	6.17 	1.51 	0.18 	0.29 	1.21 	1.29 	48	4.52 	15.20 	13.83 	0.51 	7.03 	3.33 	0.12 	0.61 	0.18 	0.62 	22
71	2	2	145	21.8	305	-1.24	3	11	4.33 	27.72 	6.41 	0.75 	7.50 	3.29 	0.29 	0.20 	0.53 	0.63 	22	4.22 	32.76 	4.33 	0.66 	6.37 	2.86 	0.13 	0.64 	0.09 	0.41 	20
73	4	4	15	33.69	305	-1.2	3	13	4.51 	52.92 	7.33 	1.35 	7.70 	2.23 	0.32 	0.24 	0.34 	0.76 	21	4.54 	32.76 	9.58 	0.72 	7.31 	2.57 	0.19 	0.66 	0.11 	0.54 	20
75	3	14	5	26.57	315	0.62	3	15	4.20 	65.52 	9.43 	1.50 	9.03 	3.87 	0.30 	0.31 	0.20 	0.67 	16	4.20 	40.32 	6.18 	0.81 	7.88 	4.70 	0.20 	2.56 	0.05 	0.32 	40
77	2	23	5	26.57	324	1.47	3	17	4.28 	70.56 	10.24 	1.26 	9.21 	4.31 	0.31 	0.44 	0.12 	0.46 	14	4.21 	35.28 	5.02 	0.93 	8.64 	4.53 	0.28 	0.57 	0.04 	0.37 	15
91	2	30	85	6.34	333	0.13	4	1	4.71 	52.92 	8.94 	1.26 	6.44 	3.01 	0.20 	0.40 	2.03 	1.19 	59	4.36 	22.68 	4.07 	0.51 	5.42 	1.05 	0.13 	0.62 	0.14 	0.30 	22
93	1	29	85	9.46	332	0.17	4	3	4.25 	45.36 	6.39 	1.41 	6.93 	2.60 	0.19 	0.28 	0.81 	0.54 	26	4.33 	20.16 	4.72 	0.72 	7.54 	3.14 	0.12 	0.33 	0.08 	0.19 	10
96	3	22	165	26.57	324	-0.13	4	6	4.52 	47.88 	7.48 	1.26 	6.17 	1.56 	0.19 	0.33 	1.73 	1.19 	56	4.27 	22.68 	1.98 	0.21 	5.03 	3.17 	0.13 	0.19 	0.08 	0.50 	18
98	2	13	165	26.57	316	-1.07	4	8	5.14 	45.36 	8.40 	1.68 	7.12 	0.35 	0.29 	0.32 	1.42 	1.95 	56	4.60 	35.28 	4.56 	0.96 	8.45 	1.79 	0.23 	0.76 	1.49 	1.54 	48
102	4	0	75	21.8	305	-1.89	4	12	4.66 	55.44 	9.43 	1.56 	7.50 	1.27 	0.28 	0.25 	1.55 	1.19 	44	4.62 	20.16 	3.95 	1.05 	5.03 	1.46 	0.18 	1.43 	0.32 	0.44 	47
