	Adinform	Alnipter	Ardiquin	Ardisieb	Astrferr	Beileryt	Beiltsan	Bridbala	Cameheng	Castcarl	Caststel	Cinnrigi	Cleyjapo	Crypchin	Cyclcham	Cycllong	Cyclpach	Daphglau	Decagrac	Dioseria	Elaesylv	Engeroxb	Euryhaya	Euryjapo	Evodmeli	Evodmerr	Ficufist	Garcmult	Glocrubr	Gloczeyl	Gordaxil	Heliform	Ilexcoch	Ilexmats	Ilexrotu	Ilextrif	Ilexurai	Illiarbo	Lithamyg	Litsacut	Machobov	Machthun	Machzuih	Magnkach	Mallpani	Melisqui	Michcomp	Micrjapo	Myrssequ	Neolbuis	Neolhiir	Osmamarg	Pasabrev	Pasaform	Pithluci	Podophil	Prunphae	Sapidisc	Sauroldh	Scheocto	Schisupe	Sloaform	Sympglom	Sympshil	Symptheo	Syzybuxi	Syzyeuph	Terngymn	Tricdubi	Wendform	Antihiir	Ardicorn	Callremo	Callremo.1	Clercyrt	Euonacut	Lasicyan	Lasiobli	Melacand	Psycrubr	Rhapindi	Rhodsims	Taregrac	Wikstaiw
1	0	0	0	0	0	0	2.400000095	0	0	12.89999962	1.399999976	0	0	0	0	1	0	3.700000048	3.799999952	0.600000024	2.099999905	1.399999976	0.600000024	0	0	0	0	0.899999976	0	0	0	0	2.5	0	0	0.100000001	5.099999905	15.19999981	0	1.799999952	0	1.399999976	0	0.600000024	0	0	2.700000048	2.900000095	0	0	0.600000024	8.199999809	2.900000095	0	0	0	0	0	0	0	1.700000048	0	1.700000048	0	0.600000024	0	6.900000095	0	2.5	0	1.200000048	0	0	0	0	0	0	0	0	0.600000024	0	0	0	0
2	2.400000095	0	1.5	0	0	0	5.400000095	0	0	2.799999952	0.400000006	0	0	0	0	10.80000019	6.199999809	4.099999905	2.900000095	1.100000024	0	0.400000006	2.400000095	0	0	0	0	0.5	0	0	0	0	3.099999905	0.5	0	5.5	0.5	12.89999962	0.800000012	0.400000006	0	0	0	3.799999952	0	1.600000024	0	0.800000012	0	0	0.899999976	2.700000048	0.400000006	0	0	0.699999988	0.400000006	0	0	0.899999976	0	0.400000006	0.200000003	0	1.700000048	2.299999952	0.400000006	2.299999952	0.800000012	0	1.5	0	0	0	0	0.400000006	0.400000006	0.400000006	0	6.099999905	0	0	0.400000006	0
5	3.900000095	0	0.699999988	0	0	0	0.800000012	0	2.200000048	10.80000019	0.5	0.5	0	0	0	9.100000381	0	0	0	0	0.400000006	0	0.600000024	0	0	0	0	0.600000024	0	0	1.899999976	0.400000006	3.5	6.800000191	0	0	0.400000006	9.600000381	0	0.400000006	0.400000006	2.200000048	0	0.5	0.400000006	0	0.400000006	2.099999905	0.400000006	0.699999988	0.400000006	9.800000191	0.5	0	0	4.300000191	0	5.800000191	0	1.5	0	0	0	0.400000006	1.700000048	1.799999952	0.400000006	0	1.399999976	0	2.5	0.699999988	0	1.100000024	0	1.100000024	0.400000006	0	0.400000006	5.900000095	0	0	0	0
7	0.200000003	0	0	0	1.5	0	0.899999976	0	0	10.10000038	0	0.5	0	0	20.20000076	0	0	0.200000003	0.300000012	0	0.300000012	0	0.300000012	0	0	0	0	3.299999952	0	0	0.699999988	0	2.5	1.600000024	0	0.300000012	0.300000012	8.699999809	0.699999988	0	0.400000006	0	0	1.100000024	0	0	0	5.5	2.599999905	0.300000012	0	1.399999976	0.5	0	0	1.799999952	0	0.400000006	0	0.600000024	1.299999952	0	1.200000048	0	0	5.400000095	0	0	0	0	4.800000191	1.200000048	0	0	0	0	0	0	0	0	8.800000191	0.699999988	0.300000012	0.300000012
14	0.899999976	0	0.100000001	0	0	0.100000001	0.699999988	0	0	0	2.700000048	0	0	0	0	0	0	5.699999809	0	1.100000024	0.300000012	0	0	0	0	2.099999905	0	0.100000001	0	2.900000095	0	1.399999976	0.200000003	0	0	0	1.600000024	0	0	2.700000048	0	2.099999905	0	0	0	0	0	0.100000001	0	0	0	0.100000001	0	0	17.10000038	0	2.099999905	0	0	1.100000024	0	0.100000001	0	0	2.400000095	0	0	0	0	0	0.100000001	0	0.100000001	0	0	0	0.100000001	0.100000001	0	14.10000038	0	0	0	0
15	0	0	0	1.799999952	1.799999952	1.899999976	1.799999952	0	0	10.60000038	1.899999976	0	0	0	0	6.099999905	1.799999952	12.10000038	0	5.800000191	0	0	0	0	0	0	0	0	0	0	0	1.799999952	1.799999952	0	0	0	0	0	0	0	0	1.799999952	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	1.899999976	7.699999809	0	3.5	0	2.299999952	0	0	0.200000003	0	0	0	2.099999905	4.300000191	0	0	0	0	0	0	0	0	0	1.799999952	0	0	0	0
17	2.599999905	0	0	0	1.899999976	0	0.899999976	0	0	11.10000038	1.100000024	0	0	0	0	14.10000038	0	5.599999905	0	4.699999809	0	0	0	3.200000048	0	0	0	0	2.099999905	0	0	0.899999976	8.600000381	1.5	0	0	0	0	0	0.400000006	0	2.200000048	0	0	0	0	0	0	0	0	1.899999976	0	1.600000024	0	8.800000191	0	0	0.800000012	0	0	0	0	0	0	1.899999976	0	0	0	1.899999976	0	0	0	0	0.899999976	0.800000012	0	0	0	1.799999952	0.800000012	0	0	0	0
32	6.199999809	0	0	0	0	0	7.800000191	0	0	10.69999981	1.299999952	0	0	0	0	0	2.599999905	8.300000191	1.799999952	0.699999988	0	2.099999905	5.099999905	0	0	0	0	0	1.600000024	0	0	0.699999988	7.099999905	3.599999905	0	0	3.299999952	2.5	5.599999905	1.5	0	0	0	3.200000048	0	0.899999976	0	0	0	0	0.699999988	0.600000024	0	0	0	0	0	6.400000095	0	1.899999976	0	0	0.600000024	0	2.900000095	0	0	0.899999976	0.200000003	0	4.099999905	0	0	0	0	0	0.600000024	0	0.600000024	1.299999952	0	0	0	0
33	1.399999976	0	0	0	0	2.200000048	1.399999976	0	0.699999988	1.899999976	0	0	0	0	0	0	0.699999988	0	0.800000012	0.699999988	0	0	0	0	0	0	0	0	0.800000012	0	6.699999809	0.699999988	8.399999619	0.100000001	0	3.599999905	4.900000095	14.69999981	0	4.199999809	0	0	0.699999988	4.099999905	0	0	0.699999988	0	0	0	0	6.199999809	0	0	0	1.299999952	0	0	0	0.699999988	0	0	0	1.299999952	3.400000095	0	2.400000095	0	0.699999988	0.699999988	0	0.699999988	0	0	0	1.399999976	0	0	0	4.099999905	0	0	0	0
36	0	0	0	0	0	0	0.400000006	0	4.599999905	11.80000019	0	0.600000024	5.099999905	0	0.300000012	0	0	2.400000095	0	0	1.5	0	6.5	0	0	0	0	0.899999976	0	0	1.899999976	0	1.899999976	6.699999809	0	2.299999952	0.300000012	8.800000191	0	0	0.300000012	0	0	0	0	0.699999988	0	2.400000095	0	0.800000012	0	5.099999905	0	0.300000012	0	1.799999952	0	0	0	0.600000024	0	0	0.899999976	0	0.300000012	15.5	0	0.600000024	0	0	1.799999952	0.5	0	0	0	0	0	0	0.300000012	0	9.899999619	1.299999952	0.300000012	0.300000012
