SPE	LIGHT	TEMP	CONT	MOIST	SOIL_REACT	NUTR
Ajuga genevensis	8	NA	NA	3	7	2
Anthericum ramosum	7	5	4	3	7	3
Astragalus glycyphyllos	6	6	4	4	7	3
Betonica officinalis	7	6	5	NA	NA	3
Brachypodium pinnatum	6	5	5	4	7	4
Brachypodium sylvaticum	3	5	3	5	6	6
Bromus inermis	8	NA	7	4	8	5
Bupleurum falcatum	6	6	6	3	9	3
Calamagrostis arundinacea	6	5	4	5	4	5
Campanula persicifolia	5	5	4	4	8	3
Campanula rapunculoides	6	6	4	4	7	4
Carex curvata	9	6	6	3	NA	4
Carex humilis	7	6	5	2	8	3
Carex michelii	7	6	5	3	6	3
Carex montana	5	NA	4	4	6	3
Cirsium sp.	8	5	NA	NA	NA	7
Clinopodium vulgare	7	NA	3	4	7	3
Convallaria majalis	5	NA	3	4	NA	4
Dactylis polygama	5	6	4	5	6	5
Dictamnus albus	7	8	4	3	8	2
Elytrigia intermedia	7	6	6	3	7	3
Elytrigia repens	7	6	7	NA	NA	7
Euphorbia cyparissias	8	NA	4	3	NA	3
Fallopia convolvulus	7	6	NA	5	NA	6
Festuca rupicola	9	7	7	3	8	2
Fragaria moschata	6	6	4	5	6	6
Fragaria vesca	7	NA	5	5	NA	6
Galium album ssp. album	7	NA	3	5	7	5
Galium glaucum	8	7	6	2	9	2
Galium odoratum	2	5	2	5	6	5
Galium sylvaticum	5	5	4	5	6	5
Geranium sanguineum	7	6	4	3	8	3
Geum urbanum	4	5	5	5	NA	7
Glechoma hederacea	6	6	3	6	NA	7
Hieracium bauhini	9	7	4	3	7	1
Hieracium laevigatum	7	5	3	5	2	2
Hieracium lachenalii	5	5	NA	4	4	2
Hieracium murorum	4	NA	3	5	5	4
Hieracium pilosella	7	NA	3	4	NA	2
Hieracium sabaudum	5	6	3	4	4	2
Hieracium umbellatum	6	6	NA	4	4	2
Hylotelephium maximum	8	6	4	3	5	3
Hypericum perforatum	7	6	5	4	6	4
Chenopodium album	NA	NA	NA	4	NA	7
Inula hirta	7	6	6	3	8	3
Lathyrus niger	5	6	4	3	7	3
Lathyrus vernus	4	6	4	5	8	4
Ligustrum vulgare	7	6	3	4	8	3
Lithospermum purpurocaeruleum	5	7	4	4	7	4
Luzula luzuloides	4	NA	4	5	3	4
Medicago lupulina	7	5	NA	4	8	NA
Melampyrum pratense	NA	NA	3	NA	3	2
Melica nutans	4	NA	3	4	NA	3
Melica uniflora	3	5	2	5	6	6
Melittis melissophyllum	5	7	2	4	6	3
Peucedanum alsaticum	7	7	6	4	9	3
Peucedanum cervaria	7	6	4	3	7	3
Poa angustifolia	7	6	NA	NA	NA	3
Poa nemoralis	5	NA	5	5	5	4
Polygonatum odoratum	7	5	5	3	7	3
Pulmonaria mollis	5	5	4	5	8	5
Pyrethrum corymbosum	6	7	5	4	7	4
Scrophularia nodosa	4	5	3	6	6	7
Serratula tinctoria	6	6	5	NA	7	3
Silene nutans	7	NA	5	3	7	3
Silene vulgaris	8	NA	NA	4	7	4
Solidago virgaurea ssp. virgaurea	5	NA	NA	5	NA	4
Teucrium chamaedrys	7	6	4	2	8	1
Trifolium alpestre	7	6	4	3	6	3
Veronica chamaedrys	6	NA	NA	5	NA	NA
Veronica officinalis	6	NA	3	4	3	4
Vicia pisiformis	6	7	4	4	8	3
Vincetoxicum hirundinaria	6	5	5	3	7	3
Viola hirta	6	5	5	3	8	3
Viola mirabilis	4	5	4	5	8	NA
Viola riviniana	5	NA	3	4	4	NA
