FIELD_N	X	Y	AUTOR	TREE	MD	Z	ASPECT_NE	SLOPE	RADIATION	HEAT	E3	E2	COND_I	COND_II	pH	TC_S	TOC	TC	IC	TN	C/N	Ca	Mg	K	Fe	P	Fe_M	PCAN_OP	PSIT_OP	LAI_4	LAI_5	TRA_DIR	TRA_DIF	TRA_TOT	PTRA_DIR	PTRA_DIF	PTRA_TOT
00, 00                        	0	0	Marketa	0	0	0	171	18	0.918372738	0.944985154	30	0	75.3	49.6	4.52	20.5	146.5	150.6	4.1	20	7.5	5.7	5.5	6.6	6.51	5.6	408.8	14.28	14.27	2.23	1.94	5.2	3.82	8.84	26.5	21.18	23.9
00, 10                        	0	10	Marketa	0	0	2.614	171	19	0.919441992	0.947479787	35	1	90.4	63.8	5.49	23.6	195.1	200.1	5	28.4	7	19.2	8.4	7.1	1.86	7.2	266.5	12.95	12.81	2.32	2.6	2.74	3.23	5.97	14.48	17.89	16.15
00, 20                        	0	20	Marketa	0	0	5.353	171	23	0.921948478	0.955598082	30	0	60.9	34.9	4.89	17.3	127	135	8	15.1	9	7.1	2.9	4	1.56	6.5	309.6	11.75	11.71	2.44	2.22	3.99	3.22	7.2	21.9	17.9	19.53
00, 30                        	0	30	Marketa	1	1	7.642	143	16	0.939785672	0.914325906	30	0	86.9	48.4	4.57	19.9	190.7	199.1	8.4	18.2	10.9	8.7	4.9	6.1	2.66	5.7	365.6	13.83	13.81	2.14	1.99	5.87	3.53	9.4	31.3	19.65	25.48
00, 40                        	0	40	Marketa	1	0	9.981	173	18	0.915243938	0.945708707	40	1	57.7	34.9	4.8	23.6	146.9	150.8	3.9	13.1	11.5	7.8	3.4	4.4	2.35	6.2	351.3	14.66	14.6	2.6	1.93	4.43	3.61	8.4	23.42	20.7	21.79
00, 50                        	0	50	Marketa	0	0	12.378	153	18	0.939528983	0.930584766	25	0	130	142.1	4.89	95.5	519.8	533	13.2	68.9	7.7	44	21.1	22.9	5.3	13.8	458.2	13.87	13.82	2.17	1.99	5.24	3.55	8.79	27.62	19.57	23.68
00, 60                        	0	60	David	1	1	14.531	151	17	0.938581805	0.926371942	40	15	222	159.9	7.98	44.5	393.5	453.5	60	54.7	8.3	81	21.6	16.6	3.32	16.2	169.5	11.97	11.95	2.26	2.19	4.9	3.24	7.32	21.57	17.83	19.74
00, 70                        	0	70	David	1	0	16.866	151	18	0.941049006	0.928144012	60	5	143	69.1	7.2	32.5	220	244.5	24.5	28.1	8.7	28.8	11.5	7.8	8.8	9.2	248	11.67	11.66	2.34	2.23	2.49	3.12	5.61	13.15	17.21	15.13
00, 80                        	0	80	David	0	0	18.847	155	18	0.937836374	0.932863831	70	20	209	120.5	7.39	45.8	366.2	407.8	41.6	41.9	9.7	55.5	18.9	14.1	1.4	11.5	210.6	12.62	12.62	2.19	2.8	4.53	3.21	7.74	23.83	17.48	20.71
00, 90                        	0	90	David	0	0	20.859	155	13	0.92455631	0.920936512	20	0	52.6	41.4	5.6	27.3	189.5	204.9	15.4	15.3	13.4	12.3	5.1	5.9	2.39	6.7	304	12.8	12.8	2.27	2.6	3.84	3.31	7.15	20.19	18.2	19.12
10, 00                        	10	0	Marketa	1	1	1.678	169	23	0.925719001	0.954456569	25	3	223	128.5	7.93	36.5	198.2	249.8	51.6	40	6.3	60	11.7	9.6	4.46	7.4	111.9	13.73	13.63	2.28	1.99	4.15	3.53	7.68	21.93	19.55	20.77
10, 10                        	10	10	Marketa	0	0	4.163	171	23	0.921948478	0.955598082	45	0	78	56.2	4.98	24.1	193.8	208.1	14.3	21.4	9.7	12	6.3	7.1	3.39	5.7	318.9	14.42	14.39	2.16	1.93	5.46	3.47	8.93	28.84	19.25	24.16
10, 20                        	10	20	Marketa	0	0	6.546	169	18	0.921354726	0.944082368	35	0	70	49.3	4.9	19.9	154.7	167.9	13.2	18.8	8.9	14	7.5	7	11.59	5.1	357.1	15.65	15.62	2.5	1.83	5.1	3.87	8.88	26.51	21.51	24.7
10, 30                        	10	30	Marketa	1	0	8.654	155	16	0.933066359	0.928630944	20	7	202	116	7.63	33.3	197.5	230.5	33	49.1	4.7	49	11.8	6	1.9	8.2	166	15.7	15.45	2.9	1.85	4.79	3.74	8.53	25.35	20.78	23.12
10, 40                        	10	40	Marketa	0	1	11.215	163	15	0.923330551	0.932481914	35	3	201	133.2	7.81	39.8	254.8	305.8	51	42.1	7.3	61.5	14.7	7	0.74	7.8	92.8	15.59	15.52	2.12	1.83	4.13	3.9	8.3	21.84	21.68	21.76
10, 50                        	10	50	Marketa	0	0	13.423	145	14	0.932833277	0.913516769	25	15	210	124.9	7.88	37.8	189.3	237.3	48.1	40.9	5.8	59	13.1	6.6	0.76	5.6	112.1	14.54	14.45	2.9	2	5.19	3.37	8.55	27.37	18.55	23.5
10, 60                        	10	60	Marketa	0	0	15.725	145	19	0.947027755	0.921032423	20	0	55.4	39.7	4.52	26.7	212.3	227.8	15.5	16.1	14.1	5.3	4.3	7.9	3.73	5.8	433.2	13.23	13.19	2.26	2.1	5.2	3.25	8.46	27.45	17.92	22.79
10, 70                        	10	70	Marketa	1	0	18.788	145	14	0.932833277	0.913516769	50	5	239	117.7	7.66	28.8	201.8	263.9	62.1	18.9	14	52.5	14.9	6.8	8.33	8.2	227.6	13.71	13.71	2.18	1.98	4.6	3.29	7.89	24.2	17.89	21.1
10, 80                        	10	80	Marketa	0	0	20.499	135	16	0.941078629	0.902165655	45	5	206	102	7.59	39.8	307.9	348	40.1	30.8	11.3	54	20.4	10.4	14.44	11	237.3	12.57	12.57	2.26	2.8	4.69	3.9	7.78	24.68	16.79	20.8
10, 90                        	10	90	Marketa	1	0	22.457	135	13	0.931095222	0.899337863	40	15	214	126.7	7.72	29.9	244.1	301.8	57.6	31.1	9.7	59.5	14.4	9.9	1.13	8.9	152.3	14.1	14.9	2.12	1.95	5.62	3.56	9.18	29.64	19.61	24.73
20, 00                        	20	0	Marketa	0	1	3.402	141	22	0.955082707	0.915833226	35	1	99.9	61.9	5.4	30.2	234.6	257.3	22.7	25.5	10.1	20.6	8.4	5.7	1.33	6.1	276.7	11.75	11.74	2.37	2.2	4.79	3.21	8	25.25	17.72	21.57
20, 10                        	20	10	Marketa	0	0	5.584	153	15	0.931827192	0.924335909	30	1	88.4	37.6	5.62	26.1	112	116.2	4.2	15.9	7.3	10.7	4.2	3	1.54	6.1	290.8	12.25	12.24	2.29	2.2	4.6	3.4	8	24.26	18.72	21.55
20, 20                        	20	20	Marketa	1	1	7.802	161	17	0.929778667	0.936363235	35	3	101.5	54.4	5.49	27.9	156.5	171.8	15.2	26	6.6	14	7.1	5.9	2.82	6.6	285.3	12.39	12.37	2.24	2.17	3.95	3.39	7.34	20.84	18.79	19.84
20, 30                        	20	30	Marketa	0	1	10.426	157	11	0.916839242	0.916224975	15	2	220	106.7	7.93	30.3	163.9	203.5	39.6	33.3	6.1	46.2	11.1	5.6	0.9	9.9	110.5	9.96	9.93	2.73	2.43	4.26	2.75	7.1	22.51	15.2	18.94
