FIELD_N	Ajuga genevensis_6	Anthericum ramosum_6	Astragalus glycyphyllos_6	Betonica officinalis_6	Brachypodium pinnatum_6	Brachypodium sylvaticum_6	Bromus inermis_6	Bupleurum falcatum_6	Calamagrostis arundinacea_6	Campanula persicifolia_6	Campanula rapunculoides_6	Carex curvata_6	Carex humilis_6	Carex michelii_6	Carex montana_6	Cirsium species_6	Clinopodium vulgare_6	Convallaria majalis_6	Dactylis polygama_6	Dictamnus albus_6	Elytrigia intermedia ssp. intermedia_6	Elytrigia repens_6	Euphorbia cyparissias_6	Fallopia convolvulus_6	Festuca rupicola_6	Fragaria moschata_6	Fragaria vesca_6	Galium album_6	Galium glaucum_6	Galium odoratum_6	Galium sylvaticum_6	Geranium sanguineum_6	Geum urbanum_6	Glechoma hederacea_6	Hieracium bauhini_6	Hieracium laevigatum_6	Hieracium lachenalii_6	Hieracium murorum_6	Hieracium pilosella_6	Hieracium sabaudum_6	Hieracium umbellatum_6	Hylotelephium maximum_6	Hypericum perforatum_6	Chenopodium album agg._6	Inula hirta_6	Lathyrus niger_6	Lathyrus vernus_6	Lithospermum purpurocaeruleum_6	Luzula luzuloides_6	Medicago lupulina_6	Melampyrum pratense_6	Melica nutans_6	Melica uniflora_6	Melittis melissophyllum_6	Peucedanum alsaticum_6	Peucedanum cervaria_6	Poa angustifolia_6	Poa nemoralis_6	Polygonatum odoratum_6	Pulmonaria mollis_6	Pyrethrum corymbosum_6	Scrophularia nodosa_6	Serratula tinctoria_6	Silene nutans_6	Silene vulgaris_6	Solidago virgaurea_6	Taraxacum sect. Ruderalia_6	Teucrium chamaedrys_6	Trifolium alpestre_6	Veronica chamaedrys agg._6	Veronica officinalis_6	Vicia pisiformis_6	Vincetoxicum hirundinaria_6	Viola hirta_6	Viola mirabilis_6	Viola riviniana_6
00, 00                        	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0
00, 10                        	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0
00, 20                        	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	2	2	2	0	1	1	0	0
00, 30                        	0	0	0	0	0	0	0	0	0	0	0	2	3	2	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
00, 40                        	0	0	0	0	3	0	0	0	0	2	0	2	8	3	0	0	0	0	2	0	0	0	0	0	2	3	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0
00, 50                        	0	0	0	0	3	1	0	0	0	0	0	0	0	8	3	0	0	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	2	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0
00, 60                        	0	0	0	0	2	0	0	0	0	0	0	0	0	3	4	0	0	0	3	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00, 70                        	0	0	2	0	4	0	0	1	0	0	0	0	3	4	3	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0
00, 80                        	0	0	0	0	4	0	0	0	0	0	0	0	0	3	18	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	3	2	0	2	0	0	0	0	0	1	0	0	0	2	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
00, 90                        	1	0	0	1	4	0	0	0	0	0	0	0	0	3	8	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	3	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0
10, 00                        	0	1	0	0	8	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0
10, 10                        	0	0	0	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	3	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
10, 20                        	0	0	0	0	3	0	0	0	0	0	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0
10, 30                        	0	0	0	0	8	0	0	0	0	0	0	2	2	2	2	0	0	0	2	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	1	0	0	2	0	0	2	1	0	0	0	0	0	0	3	0	1	0	0	0	2	0	0
10, 40                        	0	1	0	2	8	0	0	0	0	0	0	0	0	2	8	0	0	2	2	2	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0
10, 50                        	0	0	0	2	2	0	0	0	0	0	0	0	0	2	3	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
10, 60                        	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0
10, 70                        	0	0	0	0	3	0	2	0	0	0	0	0	0	3	3	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	2	0	1	1	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0
