gradient1	gradient2	groups
1	500	500	2
2	1000	500	2
3	1500	500	2
4	2000	500	2
5	2500	500	2
6	3000	500	4
7	3500	500	4
8	4000	500	4
9	4500	500	4
10	5000	500	4
11	500	1000	2
12	1000	1000	2
13	1500	1000	2
14	2000	1000	2
15	2500	1000	2
16	3000	1000	4
17	3500	1000	4
18	4000	1000	4
19	4500	1000	4
20	5000	1000	4
21	500	1500	2
22	1000	1500	2
23	1500	1500	2
24	2000	1500	2
25	2500	1500	2
26	3000	1500	2
27	3500	1500	4
28	4000	1500	4
29	4500	1500	4
30	5000	1500	4
31	500	2000	1
32	1000	2000	1
33	1500	2000	2
34	2000	2000	2
35	2500	2000	2
36	3000	2000	2
37	3500	2000	4
38	4000	2000	4
39	4500	2000	4
40	5000	2000	4
41	500	2500	1
42	1000	2500	1
43	1500	2500	1
44	2000	2500	1
45	2500	2500	2
46	3000	2500	3
47	3500	2500	3
48	4000	2500	4
49	4500	2500	4
50	5000	2500	4
51	500	3000	1
52	1000	3000	1
53	1500	3000	1
54	2000	3000	1
55	2500	3000	1
56	3000	3000	3
57	3500	3000	3
58	4000	3000	4
59	4500	3000	4
60	5000	3000	4
61	500	3500	1
62	1000	3500	1
63	1500	3500	1
64	2000	3500	1
65	2500	3500	1
66	3000	3500	3
67	3500	3500	3
68	4000	3500	3
69	4500	3500	3
70	5000	3500	3
