gradient1	gradient2	groups
1	100	100	4
2	200	100	4
3	300	100	4
4	400	100	4
5	500	100	4
6	600	100	1
7	700	100	1
8	800	100	1
9	900	100	1
10	1000	100	1
11	100	200	4
12	200	200	4
13	300	200	4
14	400	200	4
15	500	200	4
16	600	200	1
17	700	200	1
18	800	200	1
19	900	200	1
20	1000	200	1
21	100	300	4
22	200	300	4
23	300	300	4
24	400	300	4
25	500	300	4
26	600	300	1
27	700	300	1
28	800	300	1
29	900	300	1
30	1000	300	1
31	100	400	4
32	200	400	4
33	300	400	4
34	400	400	4
35	500	400	2
36	600	400	2
37	700	400	2
38	800	400	1
39	900	400	3
40	1000	400	1
41	100	500	4
42	200	500	4
43	300	500	4
44	400	500	4
45	500	500	2
46	600	500	2
47	700	500	2
48	800	500	3
49	900	500	3
50	1000	500	3
51	100	600	4
52	200	600	4
53	300	600	4
54	400	600	4
55	500	600	4
56	600	600	2
57	700	600	2
58	800	600	3
59	900	600	3
60	1000	600	3
61	100	700	4
62	200	700	4
63	300	700	4
64	400	700	4
65	500	700	4
66	600	700	2
67	700	700	2
68	800	700	3
69	900	700	3
70	1000	700	3
