gradient	groups
1	14	4
2	24	4
3	33	4
4	49	4
5	61	4
6	78	4
7	88	4
8	95	4
9	107	4
10	114	4
11	123	4
12	124	4
13	144	4
14	152	4
15	172	4
16	179	4
17	182	4
18	205	4
19	218	4
20	219	4
21	228	4
22	252	4
23	256	4
24	279	4
25	282	4
26	287	4
27	309	4
28	310	4
29	317	4
30	318	4
31	328	4
32	340	4
33	360	4
34	380	4
35	388	4
36	431	4
37	438	4
38	441	4
39	446	4
40	466	4
41	499	4
42	520	4
43	529	4
44	534	4
45	538	4
46	544	4
47	548	4
48	552	4
49	560	4
50	581	4
51	586	4
52	587	4
53	594	4
54	616	4
55	619	4
56	638	4
57	652	4
58	658	4
59	670	4
60	684	4
61	685	4
62	694	4
63	704	4
64	714	4
65	715	4
66	723	4
67	725	4
68	731	4
69	734	4
70	736	4
71	747	4
72	763	4
73	811	4
74	829	4
75	830	4
76	833	4
77	837	4
78	847	4
79	850	4
80	853	4
81	860	4
82	886	4
83	901	4
84	916	4
85	934	4
86	947	4
87	954	4
88	965	4
89	973	4
90	981	4
91	985	4
92	987	4
93	997	4
94	1007	4
95	1013	4
96	1026	4
97	1027	4
98	1045	4
99	1052	4
100	1076	4
101	1083	4
102	1102	4
103	1123	3
104	1136	4
105	1138	4
106	1146	4
107	1157	3
108	1173	4
109	1176	4
110	1189	3
111	1193	3
112	1200	4
113	1214	3
114	1217	4
115	1235	3
116	1238	3
117	1245	3
118	1258	3
119	1286	3
120	1291	3
121	1297	3
122	1298	3
123	1305	3
124	1309	3
125	1330	3
126	1331	3
127	1343	3
128	1345	3
129	1368	3
130	1381	3
131	1384	3
132	1390	3
133	1395	3
134	1405	3
135	1416	3
136	1429	3
137	1443	3
138	1448	3
139	1463	3
140	1475	3
141	1496	3
142	1497	3
143	1502	3
144	1505	3
145	1509	3
146	1517	3
147	1538	3
148	1547	3
149	1554	3
150	1560	3
151	1561	3
152	1563	3
153	1566	3
154	1583	3
155	1597	3
156	1601	3
157	1602	3
158	1603	3
159	1606	3
160	1630	3
161	1638	3
162	1645	3
163	1648	3
164	1665	3
165	1675	3
166	1687	3
167	1690	3
168	1698	3
169	1758	3
170	1759	3
171	1762	3
172	1776	3
173	1779	3
174	1783	3
175	1784	3
176	1795	3
177	1801	3
178	1828	3
179	1838	3
180	1839	3
181	1852	3
182	1867	3
183	1870	3
184	1872	3
185	1882	3
186	1883	3
187	1893	3
188	1921	3
189	1943	3
190	1951	3
191	1956	3
192	1963	3
193	1965	3
194	1978	3
195	1986	3
196	1997	3
197	2013	3
198	2055	3
199	2061	3
200	2077	3
201	2078	3
202	2108	3
203	2115	3
204	2125	3
205	2131	3
206	2138	3
207	2144	3
208	2146	3
209	2153	3
210	2157	3
211	2182	3
212	2189	3
213	2222	3
214	2248	3
215	2311	3
216	2312	1
217	2313	1
218	2324	3
219	2326	3
220	2356	1
221	2367	1
222	2379	1
223	2403	1
224	2404	1
225	2409	1
226	2420	1
227	2422	1
228	2430	1
229	2438	1
230	2460	1
231	2485	1
232	2491	1
233	2512	1
234	2516	1
235	2519	1
236	2520	1
237	2524	1
238	2536	1
239	2563	1
240	2575	1
241	2579	1
242	2585	1
243	2588	1
244	2593	1
245	2595	1
246	2602	1
247	2605	1
248	2611	1
249	2627	1
250	2646	1
251	2656	1
252	2664	1
253	2668	1
254	2671	1
255	2678	1
256	2684	1
257	2692	1
258	2701	1
259	2725	1
260	2736	1
261	2755	1
262	2791	1
263	2792	1
264	2801	1
265	2809	1
266	2817	1
267	2822	1
268	2823	1
269	2833	1
270	2835	1
271	2872	1
272	2876	1
273	2893	1
274	2900	1
275	2905	1
276	2916	1
277	2918	1
278	2924	1
279	2926	1
280	2941	1
281	2949	1
282	2971	1
283	2979	1
284	2982	1
285	2989	1
286	3012	1
287	3027	1
288	3035	1
289	3040	1
290	3045	1
291	3054	1
292	3075	1
293	3077	1
294	3080	1
295	3085	1
296	3091	1
297	3125	1
298	3126	1
299	3145	1
300	3146	1
301	3161	1
302	3166	1
303	3174	1
304	3180	1
305	3189	1
306	3192	1
307	3196	1
308	3206	1
309	3209	1
310	3210	1
311	3215	1
312	3217	1
313	3226	1
314	3229	1
315	3230	1
316	3257	1
317	3289	1
318	3323	1
319	3366	1
320	3374	1
321	3378	1
322	3410	1
323	3425	1
324	3428	1
325	3438	1
326	3454	1
327	3462	2
328	3482	1
329	3483	1
330	3485	1
331	3494	1
332	3508	1
333	3529	1
334	3545	1
335	3555	2
336	3561	2
337	3567	1
338	3569	1
339	3572	2
340	3580	1
