	optimum1	niche.width1	optimum2	niche.width2
spec_1	3525	3282	1757	611
spec_2	382	2703	1298	1873
spec_3	4157	1856	819	607
spec_4	933	1532	1214	1478
spec_5	630	3412	913	873
spec_6	805	1084	1183	1554
spec_7	1386	261	1820	359
spec_8	210	1527	1621	288
spec_9	848	3082	1715	1039
spec_10	879	1189	627	1268
spec_11	4013	3791	1174	2000
spec_12	2946	1696	407	2000
spec_13	2733	3393	425	2000
spec_14	3953	759	126	236
spec_15	4554	2267	132	742
spec_16	264	390	1159	2000
spec_17	523	2673	1792	1879
spec_18	1962	3826	1860	1343
spec_19	310	2568	1861	523
spec_20	4039	3946	865	2000
spec_21	2296	1729	700	2000
spec_22	4205	2222	728	1037
spec_23	3752	1968	1853	383
spec_24	4401	2178	1485	1866
spec_25	715	2087	1165	2000
spec_26	2609	3941	1582	1223
spec_28	3364	3484	1529	593
spec_29	3934	2310	1728	367
spec_30	4561	2318	490	318
spec_31	2065	1974	838	1403
spec_32	930	1405	1707	1901
spec_33	2343	1197	1549	2000
spec_34	4439	4060	1079	2000
spec_35	4678	1925	1898	940
spec_36	1048	215	759	1798
spec_37	2964	2311	798	1514
spec_38	2315	4252	366	1301
spec_39	3668	4083	562	2000
spec_40	2566	4730	1730	596
spec_41	635	1534	130	1509
spec_42	3438	3582	1976	140
spec_43	1298	2820	659	1932
spec_44	3931	2019	1538	773
spec_45	2636	2823	871	2000
spec_46	167	1726	948	1161
spec_47	556	1810	1725	923
spec_48	1608	237	570	1536
spec_49	1153	917	407	789
spec_50	945	202	696	2000
spec_51	461	3336	1237	915
spec_54	2742	3913	310	1600
spec_55	2615	309	688	1313
spec_56	4855	2577	559	2000
spec_57	4024	464	1728	1774
spec_58	1277	210	192	1551
spec_59	2188	4131	527	747
spec_60	2325	453	1736	831
spec_61	4289	2747	1380	1410
spec_62	30	626	1926	116
spec_63	1552	1752	445	803
spec_64	2242	1220	1161	1655
spec_65	3024	2559	950	665
spec_66	1835	740	1544	1238
spec_67	326	804	244	415
spec_68	4015	2299	492	344
spec_69	2915	2881	1225	1411
spec_70	4993	4774	343	635
spec_71	3871	1668	1918	704
spec_72	4232	1132	675	1463
spec_73	1095	1665	1931	2000
spec_74	4875	2297	875	344
spec_75	2467	3548	651	1111
spec_76	1863	2241	1165	331
spec_77	44	1454	208	712
spec_78	2758	4025	1826	1367
spec_79	3405	1582	11	2000
spec_80	4585	607	429	1179
spec_81	1575	424	736	1718
spec_82	98	222	689	2000
spec_83	3084	829	203	1859
spec_84	4788	1627	1525	927
spec_85	1041	4313	284	1525
spec_86	2092	112	1110	2000
spec_87	3838	2273	223	2000
spec_88	1253	1858	221	1358
spec_89	1079	242	1727	770
spec_90	1763	1138	1491	1178
spec_91	1963	4353	1328	111
spec_92	2298	3278	1232	2000
spec_93	2235	2528	783	2000
spec_94	4571	2287	1378	984
spec_95	1206	1573	1783	246
spec_96	567	3118	1841	1057
spec_97	4110	2215	1184	1498
spec_98	4582	1488	228	1591
spec_99	2885	1287	554	2000
spec_100	3302	721	1545	1700
spec_101	3896	2302	1775	869
spec_102	4225	2358	431	303
spec_103	2686	1274	463	350
spec_104	4431	1832	1134	1156
spec_105	285	656	1137	2000
spec_106	4852	881	143	1507
spec_107	1746	761	1049	1930
spec_108	2610	4545	1700	572
spec_109	4885	2408	747	1277
spec_110	4308	3203	97	1116
spec_111	3725	3522	1699	1914
spec_113	142	679	1752	465
spec_114	1578	686	335	1171
spec_115	1707	1244	1378	1591
spec_116	1564	3614	1518	1615
spec_117	2106	4203	1868	454
spec_120	1384	3794	214	867
spec_121	4336	1740	1296	106
spec_122	2511	4311	1826	480
spec_123	4161	1188	626	1319
spec_124	1437	2863	106	303
spec_125	681	1356	664	479
spec_126	2039	2084	333	438
spec_127	404	661	1005	319
spec_128	4163	1419	1514	705
spec_129	2541	2401	1761	1458
spec_130	4516	736	1240	1432
spec_131	1624	2466	570	2000
spec_132	1295	1960	558	1214
spec_134	4390	1435	525	1415
spec_135	1642	1611	491	760
spec_136	4055	1382	768	1804
spec_137	1820	3642	20	1775
spec_138	2695	1409	1797	406
spec_139	4726	560	1855	1652
spec_140	4605	2393	1677	717
spec_141	1255	3843	708	303
spec_142	44	879	216	1030
spec_143	3555	2615	1894	107
spec_144	341	826	1783	2000
spec_145	4369	1380	1994	2000
spec_146	3998	472	1553	1337
spec_147	68	660	928	1727
spec_148	3922	1403	598	1980
spec_149	3590	990	1220	2000
spec_150	3757	2390	400	1427
spec_151	4914	738	1875	890
spec_152	2506	3099	1403	1838
spec_153	3788	3758	1783	77
spec_154	1215	1678	130	186
spec_155	1022	478	1871	2000
spec_156	4323	2323	217	889
spec_157	3175	76	25	2000
spec_158	2772	2120	1111	2000
spec_159	4176	599	135	1233
spec_160	171	2377	182	2000
spec_161	3900	2528	172	2000
spec_162	2646	942	1839	1222
spec_163	1464	1492	1356	1968
spec_164	816	1888	1832	699
spec_165	3818	1864	943	1443
spec_166	235	1565	1437	1847
spec_167	1191	3853	1865	247
spec_168	261	2684	633	2000
spec_169	2957	2013	815	854
spec_170	1767	1126	1032	2000
spec_171	4511	1324	819	2000
spec_172	763	2733	1080	427
spec_173	332	2151	1143	2000
spec_174	974	2375	702	2000
spec_175	1234	854	1596	1751
spec_176	1565	1267	1135	2000
spec_177	2107	2507	1332	2000
spec_179	199	1401	1686	1116
spec_180	951	2384	387	987
spec_181	3051	3952	794	977
spec_182	4460	1948	1557	2000
spec_183	3329	2243	219	36
spec_184	4137	2983	929	902
spec_185	187	2346	1669	2000
spec_186	4510	1621	765	1083
spec_187	3522	216	475	1982
spec_188	3711	2486	109	838
spec_189	103	477	201	1960
spec_190	537	1610	920	2000
spec_191	1197	1112	418	586
spec_192	2701	2354	1844	955
spec_193	3382	2223	1795	1296
spec_194	1315	1846	1048	1225
spec_195	646	1341	901	1705
spec_196	510	2550	1716	1514
spec_197	3527	1227	1105	890
spec_198	915	2048	183	1934
spec_199	2183	1019	1702	2000
spec_200	73	650	450	778
spec_201	2358	3246	1448	1756
spec_202	4021	4536	263	712
spec_203	3692	2094	510	2000
spec_204	4667	716	1365	2000
spec_205	3715	1527	1772	567
spec_206	3392	2832	535	2000
spec_207	3211	2604	552	2000
spec_208	2449	412	111	2000
spec_209	4351	2239	661	2000
spec_210	3312	4188	1943	949
spec_211	3368	1993	699	2000
spec_212	2368	1125	1946	784
spec_213	3804	1830	1868	2000
spec_214	3055	2264	1191	2000
spec_215	4126	2182	416	2000
spec_216	1236	151	1484	853
spec_217	330	748	1522	1422
spec_218	2233	3846	349	1689
spec_219	2566	4046	1176	941
spec_220	195	1869	1451	755
spec_221	3457	1820	1571	608
spec_222	2785	803	1555	2000
spec_223	3818	1922	943	1470
spec_224	399	1716	1291	2000
spec_225	4136	1879	626	1312
spec_226	3557	1600	849	1632
spec_230	3342	2929	110	178
spec_231	3572	3032	1981	1952
spec_232	1209	2859	159	1783
spec_233	1879	3732	707	68
spec_234	1875	517	511	1088
spec_235	3141	2447	79	2000
spec_236	2760	1045	1132	2000
spec_237	3745	3777	1566	2000
spec_238	2264	464	1221	1942
spec_239	2738	94	38	1712
spec_240	1634	1076	1586	1952
spec_242	4098	3555	536	1507
spec_244	1362	1308	1018	2000
spec_246	3811	3424	1177	1373
spec_247	4421	890	1494	1758
spec_248	1878	3741	272	338
spec_249	2472	4071	662	742
spec_250	4225	2755	571	996
spec_251	4198	1610	1346	353
spec_252	762	1062	1279	2000
spec_253	97	998	966	1315
spec_254	2051	2766	1118	1546
spec_255	4460	971	503	2000
spec_256	2064	853	333	2000
spec_257	1239	1564	1929	121
spec_259	484	2882	1572	1985
spec_260	984	2973	1792	1450
spec_261	1862	1827	1175	1811
spec_262	3885	4695	468	2000
spec_263	2722	2188	816	2000
spec_264	692	3307	1355	2000
spec_265	2793	2389	748	1563
spec_267	991	1880	1870	530
spec_268	3621	835	1960	109
spec_269	3442	2795	1527	1988
spec_270	4367	3957	644	665
spec_271	1108	848	567	2000
spec_272	1371	2181	1120	2000
spec_274	2352	4605	28	2000
spec_275	3170	3221	1406	527
spec_276	49	1235	179	1591
spec_277	4524	890	834	2000
spec_278	3028	3038	956	75
spec_279	1647	1956	956	1675
spec_280	4163	2054	1984	90
spec_281	2952	2501	984	361
spec_282	2119	1537	973	1883
spec_283	1201	1924	1553	1803
spec_284	4686	1320	1783	795
spec_285	2302	2047	562	623
spec_286	1149	3599	374	1598
spec_287	599	2091	602	747
spec_288	1292	2394	678	2000
spec_289	4378	2302	1626	809
spec_290	2194	1878	605	1396
spec_291	399	4847	1316	2000
spec_292	2842	281	1330	747
spec_293	3426	3831	772	2000
spec_294	4185	2188	1957	1136
spec_295	2846	2735	1854	856
spec_296	4185	452	1915	1052
spec_297	4354	2884	1994	1962
spec_299	2723	3292	1646	1348
spec_300	2942	2774	1541	225
