"";"gradient1";"gradient2"
"1";2387;2457
"2";2466;787
"3";1910;2416
"4";214;2757
"5";2139;2021
"6";4948;2977
"7";1612;1625
"8";2529;1248
"9";1835;714
"10";382;3288
"11";959;2806
"12";3947;2028
"13";989;2415
"14";2532;3838
"15";156;766
"16";4941;1013
"17";465;1143
"18";1740;1545
"19";4687;276
"20";1231;3305
"21";1234;2471
"22";4002;20
"23";2013;686
"24";2148;1348
"25";3103;905
"26";1254;3543
"27";4198;1752
"28";4616;1762
"29";729;4046
"30";1799;3814
"31";1485;1818
"32";437;1971
"33";305;4492
"34";974;4853
"35";3459;2996
"36";297;1822
"37";4874;2284
"38";4686;3231
"39";3783;68
"40";546;4568
"41";2615;3367
"42";3834;3250
"43";4974;780
"44";662;2676
"45";4544;4210
"46";2741;4968
"47";1433;2618
"48";177;4358
"49";1505;2292
"50";2428;2268
"51";2170;804
"52";2332;1836
"53";1211;2435
"54";2548;2282
"55";3091;1429
"56";3825;111
"57";1436;1468
"58";4568;3457
"59";238;1746
"60";4085;1103
"61";2044;4187
"62";1678;1279
"63";2861;287
"64";1101;3113
"65";3319;853
"66";4481;3097
"67";798;2336
"68";4668;602
"69";2521;3800
"70";1767;554
"71";4700;2623
"72";3436;2163
"73";3144;326
"74";27;4466
"75";949;4760
"76";633;318
"77";2848;1244
"78";131;366
"79";1105;4294
"80";4095;3723
"81";3689;1673
"82";1087;2617
"83";501;3291
"84";3070;1071
"85";1871;3391
"86";4170;3660
"87";3268;4039
"88";721;3070
"89";4867;932
"90";4750;1396
"91";1663;1714
"92";530;3764
"93";4544;2899
"94";2282;1166
"95";306;4663
"96";3110;3705
"97";1541;4815
"98";4325;3485
"99";4307;686
"100";2825;4543
"101";2549;3679
"102";2768;3294
"103";2356;1456
"104";1473;637
"105";3806;2273
"106";3103;3912
"107";1032;4545
"108";4916;2167
"109";2768;4276
"110";2213;1117
"111";877;3835
"112";1233;1906
"113";4858;1038
"114";20;4697
"115";4906;3630
"116";2347;2396
"117";2656;538
"118";1804;1195
"119";2120;4923
"120";1359;535
"121";4191;1162
"122";458;119
"123";830;4255
"124";4754;4470
"125";736;1254
"126";3989;2710
"127";2034;1066
"128";1058;1135
"129";4894;1666
"130";794;1395
"131";2247;1995
"132";1856;1485
"133";2317;4873
"134";2975;91
"135";4551;1676
"136";3653;2537
"137";4223;1006
"138";368;928
"139";3181;1705
"140";4037;129
"141";4225;822
"142";4304;3458
"143";785;295
"144";2565;738
"145";1878;2509
"146";1480;2926
"147";3949;291
"148";1733;3851
"149";120;608
"150";4306;2167
"151";2212;4920
"152";774;946
"153";1410;1495
"154";2915;3488
"155";369;3495
"156";1006;1825
"157";4550;819
"158";1318;3060
"159";3736;2343
"160";3082;4799
"161";3922;583
"162";1855;4055
"163";1972;3475
"164";3885;3315
"165";3467;7
"166";1669;3588
"167";4285;1231
"168";4328;384
"169";2956;4490
"170";4295;3185
"171";709;3523
"172";4857;1905
"173";4917;2926
"174";196;2224
"175";2989;2686
"176";477;3163
"177";4875;289
"178";4310;1053
"179";3790;589
"180";2627;148
"181";1897;3030
"182";2844;796
"183";3075;3767
"184";2975;338
"185";178;982
"186";1188;189
"187";4703;3772
"188";1533;3723
"189";4679;4447
"190";2477;278
"191";3765;700
"192";2382;1258
"193";3456;3347
"194";65;4278
"195";4046;763
"196";1477;2706
"197";4057;1592
"198";607;4787
"199";2713;3515
"200";365;1994
"201";2083;2241
"202";3312;3501
"203";542;4476
"204";1620;844
"205";1268;4016
"206";665;2310
"207";3379;968
"208";3595;4315
"209";4766;4671
"210";2124;1246
"211";4738;654
"212";669;747
"213";4432;4023
"214";2251;3630
"215";2497;2789
"216";4102;1033
"217";4041;2969
"218";4468;3515
"219";1068;496
"220";1730;3628
"221";4809;4784
"222";1508;1899
"223";3951;2636
"224";4466;3142
"225";819;1204
"226";4262;3137
"227";4223;3336
"228";1557;904
"229";4390;4828
"230";3224;605
"231";849;3024
"232";4167;1067
"233";3298;1051
"234";1747;3251
"235";372;4820
"236";4653;4480
"237";1312;3495
"238";2586;4191
"239";691;2539
"240";3448;697
"241";2707;1190
"242";1318;4501
"243";3661;4385
"244";2975;1480
"245";2701;2136
"246";739;519
"247";1543;1570
"248";2116;2992
"249";555;629
"250";1310;3352
"251";451;296
"252";3517;371
"253";2322;2511
"254";4495;1397
"255";3017;1453
"256";3001;4263
"257";1689;1911
"258";3491;2584
"259";3483;2678
"260";1286;3348
"261";4709;716
"262";1300;3788
"263";3961;973
"264";2564;1348
"265";2014;2227
"266";581;2618
"267";332;1889
"268";2964;736
"269";2855;4161
"270";372;3761
"271";2393;2693
"272";4959;2057
"273";471;2567
"274";146;3726
"275";4635;4807
"276";692;4744
"277";922;4362
"278";2935;2899
"279";4683;3386
"280";3713;3701
"281";2533;2686
"282";4960;3514
"283";3525;2839
"284";2710;3514
"285";3741;4123
"286";1311;198
"287";2325;1862
"288";3838;4280
"289";3776;114
"290";1796;374
"291";4021;4583
"292";2441;2078
"293";2222;431
"294";3417;1423
"295";2507;3364
"296";830;3772
"297";409;1753
"298";4992;3587
"299";2400;69
"300";3404;3616
"301";3264;1469
"302";2833;4626
"303";4854;1012
"304";3444;3062
"305";4350;1138
"306";1177;1234
"307";4603;888
"308";2593;1023
"309";327;882
"310";2272;2219
"311";1994;135
"312";1365;3158
"313";2202;2561
"314";1267;1053
"315";193;3607
"316";1543;2468
"317";2440;1594
"318";3439;1834
"319";1672;2288
"320";1455;4534
"321";1832;1078
"322";1548;1399
"323";4641;942
"324";1829;4414
"325";4728;830
"326";2876;1168
"327";3422;4108
