gradient1	gradient2	groups
1	2387	2457	1
2	2466	787	3
3	1910	2416	1
4	214	2757	1
5	2139	2021	1
6	4948	2977	4
7	1612	1625	1
8	2529	1248	3
9	1835	714	1
10	382	3288	1
11	959	2806	1
12	3947	2028	3
13	989	2415	1
14	2532	3838	2
15	156	766	1
16	4941	1013	3
17	465	1143	1
18	1740	1545	1
19	4687	276	3
20	1231	3305	1
21	1234	2471	1
22	4002	20	3
23	2013	686	3
24	2148	1348	1
25	3103	905	3
26	1254	3543	2
27	4198	1752	3
28	4616	1762	3
29	729	4046	2
30	1799	3814	2
31	1485	1818	1
32	437	1971	1
33	305	4492	2
34	974	4853	2
35	3459	2996	4
36	297	1822	1
37	4874	2284	3
38	4686	3231	4
39	3783	68	3
40	546	4568	2
41	2615	3367	2
42	3834	3250	4
43	4974	780	3
44	662	2676	1
45	4544	4210	2
46	2741	4968	2
47	1433	2618	1
48	177	4358	2
49	1505	2292	1
50	2428	2268	1
51	2170	804	3
52	2332	1836	3
53	1211	2435	1
54	2548	2282	1
55	3091	1429	3
56	3825	111	3
57	1436	1468	1
58	4568	3457	4
59	238	1746	1
60	4085	1103	3
61	2044	4187	2
62	1678	1279	1
63	2861	287	3
64	1101	3113	1
65	3319	853	3
66	4481	3097	4
67	798	2336	1
68	4668	602	3
69	2521	3800	2
70	1767	554	1
71	4700	2623	4
72	3436	2163	3
73	3144	326	3
74	27	4466	2
75	949	4760	2
76	633	318	1
77	2848	1244	3
78	131	366	1
79	1105	4294	2
80	4095	3723	4
81	3689	1673	3
82	1087	2617	1
83	501	3291	1
84	3070	1071	3
85	1871	3391	1
86	4170	3660	2
87	3268	4039	2
88	721	3070	1
89	4867	932	3
90	4750	1396	3
91	1663	1714	1
92	530	3764	1
93	4544	2899	4
94	2282	1166	3
95	306	4663	2
96	3110	3705	2
97	1541	4815	2
98	4325	3485	4
99	4307	686	3
100	2825	4543	2
101	2549	3679	2
102	2768	3294	2
103	2356	1456	3
104	1473	637	1
105	3806	2273	3
106	3103	3912	2
107	1032	4545	2
108	4916	2167	3
109	2768	4276	2
110	2213	1117	3
111	877	3835	2
112	1233	1906	1
113	4858	1038	3
