Transect;Year
Y81R1;1981
Y81R2;1981
Y81R3;1981
Y81R4;1981
Y81R5;1981
Y81R6;1981
Y81R7;1981
Y81R8;1981
Y81R9;1981
Y81R10;1981
Y83R1;1983
Y83R2;1983
Y83R3;1983
Y83R4;1983
Y83R5;1983
Y83R6;1983
Y83R7;1983
Y83R8;1983
Y83R9;1983
Y83R10;1983
Y84R1;1984
Y84R2;1984
Y84R3;1984
Y84R4;1984
Y84R5;1984
Y84R6;1984
Y84R7;1984
Y84R8;1984
Y84R9;1984
Y84R10;1984
Y85R1;1985
Y85R2;1985
Y85R3;1985
Y85R4;1985
Y85R5;1985
Y85R6;1985
Y85R7;1985
Y85R8;1985
Y85R9;1985
Y85R10;1985
Y87R1;1987
Y87R2;1987
Y87R3;1987
Y87R4;1987
Y87R5;1987
Y87R6;1987
Y87R7;1987
Y87R8;1987
Y87R9;1987
Y87R10;1987
Y88R1;1988
Y88R2;1988
Y88R3;1988
Y88R4;1988
Y88R5;1988
Y88R6;1988
Y88R7;1988
Y88R8;1988
Y88R9;1988
Y88R10;1988
