	Psammocora contigua	Psammocora digitata	Pocillopora damicornis	Pocillopora verrucosa	Stylopora pistillata	Acropora bruegemanni	Acropora robusta	Acropora grandis	Acropora intermedia	Acropora formosa	Acropora splendida	Acropora aspera	Acropora hyacinthus	Acropora palifera	Acropora cytherea	Acropora tenuis	Acropora pulchra	Acropora nasuta	Acropora humilis	Acropora diversa	Acropora digitifera	Acropora divaricata	Acropora subglabra	Acropora cerealis	Acropora valida	Acropora acuminata	Acropora elsevi	Acropora millepora	Montipora monasteriata	Montipora tuberculosa	Montipora hispida	Montipora digitata	Montipora foliosa	Montipora verrucosa	Fungia fungites	Fungia paumotensis	Fungia concina	Fungia scutaria	Halomitra limax	Pavona varians	Pavona venosa	Pavona cactus	Coeloseris mayeri	Galaxea fascicularis	Symphyllia radians	Lobophyllia corymbosa	Lobophyllia hemprichii	Porites cylindrica	Porites lichen	Porites lobata	Porites lutea	Porites nigrescens	Porites solida	Porites stephensoni	Goniopora lobata	Favia pallida	Favia speciosa	Favia stelligera	Favia rotumana	Favites abdita	Favites chinensis	Goniastrea rectiformis	Goniastrea pectinata	Goniastrea sp	Dulophyllia crispa	Platygyra daedalea	Platygyra sinensis	Hydnopora rigida	Leptastrea purpurea	Leptastrea pruinosa	Cyphastrea serailia	Millepora platyphylla	Millepora dichotoma	Millepora intrincata	Heliopora coerulea
Y81R1	0	0	7.9	3.2	0	0	0	0	3	7.5	0	1.7	14.1	3.2	10.8	0	0	4.3	3.1	2.2	3	0	5.1	0	0	2	3	1.7	6	0	0	0	0	0	0	0	0	0	0	3	0	0	2	5.1	0	0	0	6.1	0	3.6	3	0	0	0	0	1	0	0	0	3.3	0	0	0	0	0	0	4.7	0	0	0	0	3	2.1	2.4	46.1
Y81R2	0	0	5.1	2.1	0	4.4	3.5	0	0	0	2.2	1.8	3.4	0	3.3	2.5	0	2.1	2.5	1.9	0	3.2	0	7.5	0	0	0	1.4	0	1.5	0	0	0	0	0	3.3	0	0	0	0	2.4	0	0	2.7	0	0	0	2.4	4.7	0	0	0	0	0	0	2	0	0	0	4.1	4.4	0	0	0	0	2.7	2.7	0	0	0	0	0	0	0	27.1
Y81R3	0	0	4.2	3.5	0	0	4	0	0	1.5	0	0.9	5.5	4.4	1.4	0	1.5	1.9	0	2	0	5.5	0	0	0	7.1	0	0	0	1.5	0	0	0	3	1.8	0	0	0	0	0	0	0	1.5	3.1	0	0	0	0	4.9	0	0	0	1	0	0	0	3	0	0	2.3	7.8	0	0	0	0	5.5	5.6	0	0	0	0	0	0	0	22.1
Y81R4	0	0	1.5	0	0	1.1	0	0	0	0	3.1	0.8	5.4	0	12.2	0	5.2	0	1.9	1.3	0	0	4.4	0	3	0	0	2	0	0	3.2	0	0	0	1.7	0	0	0	0	0	0	0	0	2.4	0	0	0	2	0	0	0	2.1	0	0	0	0	0	0	0	2.7	6.1	0	0	0	0	0	2.6	0	0	0	0	0	0	0	15.4
Y81R5	0	0	0.9	0	0	0.9	0	0	0	12.5	0	2.3	0	1.7	0	0	6.2	0	0	2.3	0	0	1.5	0	0	1.5	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	1.7	0	0	0	0	0	0	9.1	4.4	0	0	0	0	7.1	0	0	0	0	0	0	0	0	0
Y81R6	0	0	7.2	0	0	1	0	0	0	0	0.9	0	0	0	0	2.2	3.3	0	0	1.4	0	0	0	0	0	0	0	0	0	0	2.4	7.7	7.1	0	0	0	0	0	0	0	0	0	1.9	1.3	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	6.3	0	0	0	0	0	7.4	0	0	0	0	0	0	0	0	0
Y81R7	0	0	0	4.1	0	0	0	6	0	0	1.6	1.7	0	0	0	2.8	0	1	0	0	0	0	0	0	0	2.5	0	0	0	0	0	8.4	6.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	3.1	0	0	0	0	0	0	7.2	5.5	0	0	0	0	5.5	0	0	0	0	0	0	0	0	0
Y81R8	0	0	1.6	2.5	0	0	0	0	0	0	0	1.3	0	0	0.8	0	0	0	0	1.2	0	0	2.5	0	0	2.5	0	0	0	0	0	5.3	8.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.1	3	0	0	0	0	0	4.8	3	0	0	0	0	4.8	0	0	0	0	0	0	0	0	0
Y81R9	0	0	0	3.8	0	0	0	0	0	1	0	1.6	0	0	0	0	2.4	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	7.1	2.4	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	4.5	0	0	0	0	0	0	0	7.1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y81R10	0	0	1.6	0	0	3.7	0	0	0	0	2	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6	0	0	0	0	0	0	0	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y83R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2	0	0	0	3	0	0	0	0.9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	1.9	0	0	0	0
Y83R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4	0	0	0	0	0.9	2	1	0	0	0	0	0	0	0	0	1.2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2.1	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0
