	AbiAlba	AceSpJu	AgrCani	AgrCapi	AgrStol	AchMill	AjuRept	AlcVulg	AlnSpJu	AloPrat	AneNemo	AngSylv	AntOdor	AntSylv	AquVulg	ArrElat	AvePube	BetPend	BlyComp	BraPinn	BriMedi	BroErec	CalEpig	CalPalu	CamPatu	CarAmar	CarPrat	CarAcut	CarCane	CarDava	CarDemi	CarDian	CarDist	CarEchi	CarFlac	CarFlav	CarHirt	CarLepi	CarLepo	CarNigr	CarPall	CarPani	CarPani	CarRost	CarSylv	CarTome	CarBetu	CenJace	CerHolo	CirCanu	CirOler	CirPalu	CirRivu	ColAutu	CorSang	CraSpec	CrePalu	CruGlab	CynCris	DacGlom	DacFuch	DacInca	DacMaja	DanDecu	DauCaro	DesCesp	DroRotu	EleQuin	EpiObsc	EpiPalu	EpiParv	EppPalu	EquArve	EquFluv	EquPalu	EquSylv	EquTelm	EquVari	EriAngu	EriLati	EupCann	EupRost	FagSylv	FesPrat	FesRubr	FilUlma	FilVulg	FraVesc	FraAlnu	FraExce	GalAlbu	GalBore	GalElon	GalPalu	GalUlig	GalVeru	GerPalu	GeuRiva	GlaImbr	GleHede	GlyNota	GymDens	HieSpec	HolLana	HydVulg	HypMacu	HypTetr	ChaHirs	ImpNoli	InuSali	JunArti	JunBulb	JunCong	JunEffu	JunInfl	JunComm	LatPrat	LeoHisp	LeuVulg	LigVulg	LinCath	LipLoes	LisOvat	LotCorn	LotPedu	LuzCamp	LuzMult	LycEuro	LycFlos	LysNemo	LysNumm	LysVulg	LytSali	MaiBifo	MenAqua	MenArve	MenLong	MenVert	MenTrif	MolArun	MyoLaxi	MyoNemo	NarStri	OdoVulg	OphHolo	ParPalu	PedSylv	PetHybr	PhrAust	PicAbie	PinVulg	PlaLanc	PoaPalu	PoaPrat	PoaTriv	PolAmar	PolVulg	PotErec	PotRept	PriElat	PruVulg	PruAviu	QuePetr	RanAcri	RanAuri	RanFlam	RanRepe	RhiMino	RosSpec	RumAcet	SalCapr	SalCine	SalFrag	SalRosm	SanOffi	SciSylv	SelCarv	SerTinc	SisBerm	SucPrat	SymOffi	TarPalu	TarRude	TepCris	TetMari	TilCord	TriPrat	TriRepe	TriPalu	TusFarf	UrtDioi	ValDioi	ValOffi	ValSimp	VerCham	VerScut	VibOpul	VicCrac	VicSati	VicSepi	VioCani	VioPalu	VioRivi
Baladi	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	5	2	0	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	3	0	0	0	7	6	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Bukovec	0	0	6	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	2	0	2	2	0	0	0	0	0	0	5	0	0	0	0	2	7	3	6	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	2	0	0	0	2	0	0	3	0	0	0	3	0	0	2	0	2	2	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	2	0	5	2	0	0	0	2	0	0	2	0	0	2	5	3	2	0	2	1	0	3	1	0	0	3	0	2	0	0	0	5	2	0	0	2	0	0	0	0	0	5	0	2	0	0	0	2	0	0	2	0	0	5	0	2	2	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2	0	2	1	0	0	3	0
Cudrak	0	0	2	2	0	2	0	5	0	0	0	0	2	0	0	0	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	0	5	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5	3	0	5	0	0	0	2	6	0	1	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	2	0	2	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0	3	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Dubcova	0	0	0	0	0	0	2	2	0	0	3	0	2	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	2	3	0	0	0	3	0	7	0	0	0	0	1	2	0	0	0	0	6	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	5	2	3	0	0	0	0	5	6	0	0	0	0	3	0	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	0	0	0	2	2	0	1	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grigovci	0	0	2	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0	0	2	0	0	1	0	0	0	2	0	0	0	2	3	0	0	0	5	5	0	3	0	0	2	2	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	1	0	0	3	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	6	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0
Grun	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	7	0	0	0	0	5	5	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	3	0	0	0	2	1	2	0	0	0	0	6	3	5	0	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	6	2	0	3	0	0	0	0	0	0	0	0	0	0	0
HLplos	0	0	4	0	0	1	0	0	0	0	0	3	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	5	0	2	0	0	0	5	0	6	0	0	0	0	0	0	0	0	0	5	2	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	2	0	2	0	0	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	2	1	2	1	0	0	0	0	2	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
HLrosn	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
Hrncarky	0	1	0	0	2	0	3	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	0	0	2	0	6	2	0	2	0	0	0	0	2	0	0	3	2	1	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	7	0	6	2	3	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	2	0	0	0	3	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	2	0	2	0	0	0	0	0	0	2	5	0	6	0	0	0	0	2	0	0	0	0	0	0
HrubBrod	0	2	0	1	0	2	3	4	1	0	2	0	2	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	2	0	0	0	0	2	0	2	0	0	0	5	0	5	0	0	0	0	0	2	0	0	0	1	3	0	0	0	2	3	0	0	0	0	3	0	0	0	0	0	1	0	1	3	2	0	2	0	0	0	6	5	0	0	0	2	2	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	2	0	2	0	0	0	2	5	3	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	2	0	0	0	2	0	3	0	2	3	0	0	3	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
