PLOT	ELEVATION	SLOPE	ASPSSW	HEAT.LOAD	SURFSL	SURFIS	LITHIC	SKELETIC	CAMBISOL	FLUVISOL	SOILDPT	pH	COVERE3	COVERE2	COVERE1	COVERE0	COVERE32	GROUP	SPEC.NO	TBV.NO	TRANSECT	LIGHT	TEMP	CONT	MOIST	REACT	NUTR
1	440	30	157.5	0.95	1	1	0	0	1	0	18.00	5.10	35	15	40	1	44.75	1	33	555439	1	6.35	5.45	4.22	3.96	5.59	3.17
2	420	37	177.5	1.016	0	-1	1	0	1	0	11.00	4.09	50	20	15	15	60	1	33	555442	1	6.72	5.67	4.14	3.85	5.43	3.1
3	440	30	137.5	0.859	1	1	0	0	1	0	28.17	4.10	60	30	70	10	72	1	36	555440	2	6.56	5.55	4.39	4.04	6.05	3.9
4	425	50	147.5	0.93	0	1	1	0	1	0	15.33	4.15	15	15	15	30	27.75	1	26	555441	2	6.64	5.53	4.14	3.86	5.65	3
5	405	50	137.5	0.85	-1	-1	0	1	0	1	44.67	5.35	80	60	100	1	92	2	29	555607	2	6.19	5.5	3.77	6.52	6.71	6.46
6	435	5	137.5	0.699	-1	0	0	1	1	1	32.50	5.09	80	50	95	10	90	2	43	555608	3	5.73	5.44	3.91	6.75	6.75	7.1
7	450	35	147.5	0.931	0	1	0	1	1	0	12.67	3.58	70	15	20	5	74.5	3	14	555609	3	4.86	5.3	4.29	5.1	5.17	5.82
8	475	35	137.5	0.871	1	1	0	0	1	0	8.00	3.77	20	40	30	5	52	3	22	555610	3	5.86	5.23	4	5	5.36	5.44
9	440	65	177.5	0.955	1	-1	1	0	1	0	8.50	3.75	5	8	20	25	12.6	1	28	555611	4	6.18	5.63	4.09	4.8	5	3.32
10	460	70	127.5	0.624	1	1	1	0	0	0	3.83	3.81	7	10	5	50	16.3	1	21	555612	4	6.57	5.83	4.06	3.69	4.25	2.87
11	435	15	172.5	0.827	-1	0	0	1	0	1	35.17	4.28	90	40	70	5	94	2	43	555613	5	5.48	5.43	3.53	6.63	6.11	6.45
12	450	35	172.5	0.988	0	0	1	0	1	0	5.00	3.81	40	20	10	10	52	1	24	555614	5	6.13	5.77	3.79	4.38	4.77	3.74
13	475	30	117.5	0.731	-1	0	0	0	1	0	20.50	4.83	15	30	80	1	40.5	3	41	555615	6	6.79	5.55	3.93	4.18	5.8	3.97
14	455	30	117.5	0.731	0	0	0	0	1	0	32.33	4.02	60	40	40	5	76	3	36	555616	6	6.41	5.67	3.93	4.43	5.32	3.97
15	435	5	147.5	0.706	0	0	0	1	0	1	42.67	4.61	90	40	80	15	94	2	37	555617	7	5.91	5.63	3.85	6.84	6.5	6.43
16	450	55	147.5	0.911	-1	-1	1	1	0	0	18.17	4.27	70	70	30	40	91	3	33	555618	7	5.22	5.41	3.7	5.22	5.53	5.73
17	470	30	127.5	0.798	0	-1	0	1	0	0	19.00	4.66	70	30	60	5	79	1	30	555619	7	5.55	5.37	3.96	5.04	6.17	5.79
18	495	15	112.5	0.7	0	1	1	0	1	0	14.17	3.82	60	15	60	5	66	1	26	555620	8	5.2	5.43	3.64	4.79	4.77	5.05
19	485	55	127.5	0.732	1	-1	1	0	1	0	16.67	3.75	40	5	15	20	43	1	17	555621	8	5.63	5.22	3.79	4.5	4.83	4.07
20	470	40	157.5	0.993	0	-1	1	1	0	0	21.50	4.16	70	15	15	50	74.5	3	17	555622	8	5.19	5.67	3.5	5.33	5	5.79
21	450	35	137.5	0.871	0	-1	1	0	0	0	0.50	3.44	5	2	1	10	6.9	1	12	555623	8	5.08	5.25	3.75	5.71	4.14	4.89
22	435	10	137.5	0.742	-1	0	0	0	1	1	38.00	4.01	85	60	80	5	94	2	34	555624	8	5.75	5.48	3.79	6.5	5.9	6.33
23	445	30	107.5	0.663	0	-1	1	1	0	0	12.50	3.75	50	10	70	60	55	3	21	555625	9	4.71	5.6	3.65	5.12	4.82	5.55
24	465	35	147.5	0.931	0	-1	1	0	1	0	13.33	3.60	75	5	30	30	76.25	1	29	555626	9	5.48	5.33	3.8	5	4.31	4.52
25	485	30	167.5	0.973	0	-1	1	0	1	0	15.67	3.55	50	30	45	20	65	1	17	555627	9	5.88	5.33	4.07	4.8	3.83	5.23
26	515	45	87.5	0.441	0	-1	0	1	1	0	29.67	3.95	70	60	60	10	88	4	15	555628	10	4.6	5.1	3.64	5	6.25	6.46
