	Abiealb23	Acerpla23	Acerpse23	Alnuglu23	Alnuinc23	Berbvul23	Betupen23	Carpbet23	Coryave23	Cratspe23	Euoneur23	Fagusyl23	Franaln23	Fraxexc23	Junicom23	Liguvul23	Lonixyl23	Piceabi23	Pinusyl23	Poputre23	Prunavi23	Prunpad23	Prunspi23	Pyrupyr23	Querpet23	Querrob23	Reynjap23	Rhamcat23	Ribeuva23	Rosacan23	Rosapen23	Rosaspe23	Rubufru23	Rubuida23	Salifra23	Salitri23	Salivim23	Sambnig23	Sambrac23	Sorbauc23	Tilicor23	Tilipla23	Ulmugla23	Achimil1	Achitan1	Aconlyc1	Aconvar1	Actaspi1	Aegopod1	Aethcyn1	Agrocan1	Agrocap1	Agrosto1	Ajuggen1	Ajugrep1	Alispla1	Allipet1	Allisen1	Allispe1	Anemnem1	Angesyl1	Anthram1	Anthsyl1	Arrhela1	Artevul1	Asareur1	Asplsep1	Aspltri1	Astrgly1	Athyfil1	Aurisax1	Avenfle1	Betooff1	Bidefro1	Bidetri1	Bracpin1	Bromben1	Calaaru1	Calaepi1	Callvul1	Caltpal1	Calysep1	Camppat1	Campper1	Camprap1	Camprot1	Camptra1	Cardama1	Cardfle1	Cardimp1	Cardare1	Cardper1	Cardspe1	Careacu1	Carebri1	Carebue1	Caredig1	Caremur1	Carespe1	Chaehir1	Chaetem1	Chelmaj1	Circalp1	Cirsole1	Clemvit1	Clinvul1	Convmaj1	Convarv1	Cusceur1	Cymbmur1	Cystfra1	Cytinig1	Dactglo1	Dantdec1	Descces1	Diancar1	Diandel1	Digigra1	Doroaus1	Dryocar1	Dryodil1	Dryoexp1	Dryofil1	Elymcan1	Epilang1	Epilcol1	Epilhir1	Epilmon1	Epilros1	Epilspe1	Equiarv1	Equipal1	Euphcyp1	Euphdul1	Fallcon1	Falldum1	Festgig1	Festhet1	Festovi1	Festpal1	Festrub1	Filiulm1	Fragmos1	Fragves1	Galemon1	Galebif1	Galepub1	Galespe1	Galespc1	Galialb1	Galiapa1	Galiodo1	Galipal1	Galirot1	Galisyl1	Galiuli1	Geniger1	Genitin1	Gerarob1	Geumurb1	Gleched1	Glycflu1	Glycmax1	Gymndry1	Hedehel1	Hepanob1	Herasph1	Hierlac1	Hiermur1	Hierpil1	Hiersab1	Hierumb1	Holclan1	Humulup1	Hylomax1	Hypemon1	Hypeper1	Impagla1	Impanol1	Impapar1	Irispse1	Juncart1	Junceff1	Knauarv1	Knaudip1	Koelpyr1	Lactser1	Lamimac1	Lapscom1	Lathver1	Lilimar1	Lunared1	Luzuluz1	Luzupil1	Lychvis1	Lycoeur1	Lysivul1	Lythsal1	Melanem1	Melapra1	Melinut1	Mentlon1	Mentx v1	Mercper1	Milieff1	Moehtri1	Mycemur1	Myospal1	Myossyl1	Myosaqu1	Origvul1	Oxalace1	Pariqua1	Persamp1	Pershyd1	Phalaru1	Pimpsax1	Planlan1	Poa ang1	Poa nem1	Poa pal1	Poa tri1	Polymul1	Polyodo1	Polyvul1	Prenpur1	Pulmobs1	Ranulan1	Ranurep1	Rumeace1	Rumeaqu1	Rumecon1	Rumeobt1	Salvglu1	Scronod1	Scutgal1	Secuvar1	Seneger1	Seneova1	Senevis1	Silenut1	Silespe1	Silevul1	Soladul1	Solivir1	Stacpal1	Stacsyl1	Stelgra1	Stelhol1	Stelmed1	Stelnem1	Sympoff1	Taraspe1	Thympul1	Torijap1	Trifalp1	Urtidio1	Vaccmyr1	Vaccvit1	Valeexc1	Verbden1	Verbnig1	Verbspe1	Verobec1	Verocha1	Verooff1	Vicidum1	Vicispe1	Vicisyl1	Vinchir1	Violcol1	Violrei1	Violspe1	Violtri1
1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	18	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	38	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	3	2	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0
3	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	38	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	2	0	0	3	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	3	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	3	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
5	0	0	0	40	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	38	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	18	1	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	3	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	49	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	3	0	0	63	0	3	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	8	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	2	0	3	0	0	0	0	0	0	0	0	2	8	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	3	0	2	0	0	0	0	2	0	0	0	0	2	0	4	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	2	3	0	2	2	0	0	3	0	0	0	1	0	0	0	0	8	0	3	2	0	0	0	3	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	2	0	0	0	0	38	8	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	4	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	2	0	0	0	0	0	18	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
9	0	2	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	4	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	2	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
10	0	0	0	0	0	0	2	0	3	0	0	0	0	0	2	0	0	0	6	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
