Station	ALA	AWP	BBM	BBP	BBW	BGW	BLB	BLS	BNB	BRB	BRD	BVB	CLT	CPO	CSE	FBB	FFP	FFW	FHP	FLT	FMB	FMF	FMY	FRF	GBT	GNB	GTM	ILT	JAY	JBR	LBC	LHC	LSB	MBW	MKP	MLB	NTC	NTH	ORC	PGW	RBF	RHB	RHT	RLT	RSB	STB	SWB	SWP	THF	VRF	WBB	WBW	WBY	WES	WNB	WRN	WTB	YBW	YLT
1	0	0	0.29	0.13	0	0	0	0	0	0	0.21	0	0	0	0	0	1.82	2.32	0	0	0	0	13.16	0	1.16	1.17	2.55	0.21	0	0	0.11	0.06	0	0	0	0.22	0	0	0	0	2.34	1.27	2.95	0	0.05	4.46	0	0	1.99	0	0	0	6.3	3.02	9.95	0	2.32	0	0.17
2	0	0	0	0	0	0	0.37	0	0	0	2.34	0	0	0	0	0	3.65	7.46	0	0	0	0	12.74	0	1.66	1.38	2.44	0.21	0	0	0.05	0.09	0	0	0	0.15	0	0.29	0	0	2.02	1.49	1.18	0	0.05	3.72	0	0	2.82	0	0	0.11	2.65	3.83	13.27	0	1.99	0	1.16
3	0	0	0.29	0.05	0	0	0	0	0	0	2.55	0	0	0	0.11	0	3.15	4.64	0	0	0	0	9.98	0	1.66	2.55	2.65	0.42	0	0	0	0.07	0.07	0	0	0.52	0	0.59	0	0.11	1.91	1.59	2.36	2.36	0.05	4.88	0	0	0.5	0	0	0	1.33	4.57	5.64	0	1.49	0	0.83
4	0	0	0	0	0	0	0	0	0	0	1.91	0	0	0	0	0.29	2.49	4.15	0.03	0	0	0	13.69	0	0.33	0.32	1.59	0	0	0	0	0.11	0	0	0	0.37	0	0.59	0	0.11	3.18	2.34	1.18	3.83	0	2.65	0	0	1.99	0	0	0.21	0.66	3.46	10.62	0	0.5	0	1.33
5	0	0	0	0	0	0	0	0	0	0	1.91	0	0	0	0	0	2.16	6.14	0.03	0	0	0	7.64	0	1	0.32	0.64	0	0	0	0	0.09	0.07	0	0	0.29	0	0.29	0	0.11	2.23	1.38	0	1.18	0	2.97	0	0	1.49	0	0	0.11	2.32	2.88	17.91	0	4.98	0	0.83
6	0	0	0	0	0	0	0	0	0	0	1.27	0	0	0	0	0	2.65	5.97	0	0	0	0	12.1	0	0	0.74	1.7	0	0	0	0	0.09	0.07	0	0	0.59	0	0	0	0	1.7	1.59	2.06	0	0	4.25	0	0	0.33	0	0	0.21	3.98	3.61	15.92	0	1.99	0	0.83
7	0	0	0	0	0	0	0	0	0	0	1.91	0	0	0.06	0	0	2.49	4.73	0	0	0	0	21.02	0	1.99	0.64	3.18	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7	0.64	0	0	0	1.11	0	0	1.99	0	0	0	0	2.1	9.95	0	2.74	0	0.75
8	0	0	0	0	0	0	0	0.22	0	0.64	0.96	0	0	0	0	0	8.21	5.72	0.08	0	0	0	23.57	0	0	0.32	1.59	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49	1.59	0	0	0	1.43	1.27	0	0	0	0	0	0	3.32	6.97	0	4.23	0	0
9	0	0	0	0.08	0	0	0	0	0	1.27	0.96	0	0	0	0	0	5.47	4.48	0	0	0	0	12.74	0	0	0.48	3.82	0	0	0	0.04	0	0	0	0	0	0	0.44	0	0	0.93	1.43	1.33	0	0	1.91	0.64	0	0.25	0	0	0	0	3.21	5.22	0	4.48	0	0
10	0	0	0	0.12	0.11	0	0	0	0	0	0.32	0	0	0.16	0	0	3.11	2.86	0	0	0	0	11.54	0	1.37	1.35	2.71	0.24	0.48	0	0	0.1	0.06	0.22	0	0.55	0	3.1	0	0	2.63	1.83	3.32	0	0.08	5.97	0	0	1	0	0	0.16	1.49	4.2	3.48	0	1.62	0	0
